prompt,custom_prompt_A,custom_prompt_B,custom_prompt_C
{} chair in snowy ice, a chair, snowy ice, NA
{} chair surrounded by blooming sunflower field, a chair, blooming sunflower field, NA
{} chair on a boat in the sea, a chair, a boat in the sea, NA
{} chair on top of a mountain, a chair, on top of a mountain, NA
{} chair made of crochet, a chair, made of crochet, NA
{} chair in a garden, a chair, a garden, NA
a floor lamp on the side of {} chair, a chair, a floor lamp, NA
{} chair and a table with chocolate cake on it, a chair, a table with chocolate cake on it, NA
a puppy sitting on a {} chair, a chair, a puppy, NA
a cat sitting on a {} chair, a chair, a cat, NA
a squirrel sitting on a {} chair, a chair, a squirrel, NA
a deer grazing near a {} chair, a chair, a deer grazing, NA
a teddy bear on a {} chair, a chair, a teddy bear, NA
a photo of a {} chair in Van Gogh style, a chair, Van Gogh style, NA
