prompt_index,prompt,image_index,score
0,{} table in snowy ice,0,29.843524932861328
0,{} table in snowy ice,1,30.89127540588379
0,{} table in snowy ice,2,31.98329734802246
0,{} table in snowy ice,3,20.868061065673828
0,{} table in snowy ice,4,31.692426681518555
0,{} table in snowy ice,5,30.20782470703125
0,{} table in snowy ice,6,25.579952239990234
0,{} table in snowy ice,7,27.798473358154297
0,{} table in snowy ice,8,30.040390014648438
0,{} table in snowy ice,9,29.493267059326172
0,{} table in snowy ice,10,31.3046932220459
0,{} table in snowy ice,11,29.850460052490234
0,{} table in snowy ice,12,30.080142974853516
0,{} table in snowy ice,13,29.998594284057617
0,{} table in snowy ice,14,28.417226791381836
0,{} table in snowy ice,15,28.41118621826172
0,{} table in snowy ice,16,28.705495834350586
0,{} table in snowy ice,17,33.39201354980469
0,{} table in snowy ice,18,28.904033660888672
0,{} table in snowy ice,19,30.97062110900879
0,{} table in snowy ice,20,30.706893920898438
0,{} table in snowy ice,21,30.698284149169922
0,{} table in snowy ice,22,25.55324363708496
0,{} table in snowy ice,23,26.34202766418457
0,{} table in snowy ice,24,28.0191650390625
0,{} table in snowy ice,25,29.87348747253418
0,{} table in snowy ice,26,31.763427734375
0,{} table in snowy ice,27,31.975025177001953
0,{} table in snowy ice,28,31.714588165283203
0,{} table in snowy ice,29,31.66448402404785
0,{} table in snowy ice,30,31.090957641601562
0,{} table in snowy ice,31,30.18079376220703
0,{} table in snowy ice,32,31.740951538085938
0,{} table in snowy ice,33,31.047130584716797
0,{} table in snowy ice,34,29.757246017456055
0,{} table in snowy ice,35,32.042903900146484
0,{} table in snowy ice,36,30.624385833740234
0,{} table in snowy ice,37,30.10025405883789
0,{} table in snowy ice,38,30.363428115844727
0,{} table in snowy ice,39,29.071823120117188
0,{} table in snowy ice,40,30.976259231567383
0,{} table in snowy ice,41,32.63284683227539
0,{} table in snowy ice,42,29.943159103393555
0,{} table in snowy ice,43,30.482229232788086
0,{} table in snowy ice,44,28.42850112915039
0,{} table in snowy ice,45,30.655563354492188
0,{} table in snowy ice,46,29.571269989013672
0,{} table in snowy ice,47,23.545276641845703
0,{} table in snowy ice,48,30.30606460571289
0,{} table in snowy ice,49,31.916015625
1,{} table surrounded by blooming sunflower field,0,16.636709213256836
1,{} table surrounded by blooming sunflower field,1,23.437530517578125
1,{} table surrounded by blooming sunflower field,2,23.56581687927246
1,{} table surrounded by blooming sunflower field,3,23.19605255126953
1,{} table surrounded by blooming sunflower field,4,25.45233917236328
1,{} table surrounded by blooming sunflower field,5,23.842090606689453
1,{} table surrounded by blooming sunflower field,6,24.04421043395996
1,{} table surrounded by blooming sunflower field,7,23.08370018005371
1,{} table surrounded by blooming sunflower field,8,22.932418823242188
1,{} table surrounded by blooming sunflower field,9,23.878643035888672
1,{} table surrounded by blooming sunflower field,10,24.41792869567871
1,{} table surrounded by blooming sunflower field,11,21.70024299621582
1,{} table surrounded by blooming sunflower field,12,21.40496063232422
1,{} table surrounded by blooming sunflower field,13,23.204540252685547
1,{} table surrounded by blooming sunflower field,14,24.00735092163086
1,{} table surrounded by blooming sunflower field,15,24.610429763793945
1,{} table surrounded by blooming sunflower field,16,22.54174041748047
1,{} table surrounded by blooming sunflower field,17,29.994497299194336
1,{} table surrounded by blooming sunflower field,18,30.51169776916504
1,{} table surrounded by blooming sunflower field,19,23.47955322265625
1,{} table surrounded by blooming sunflower field,20,23.56448745727539
1,{} table surrounded by blooming sunflower field,21,30.567035675048828
1,{} table surrounded by blooming sunflower field,22,21.006975173950195
1,{} table surrounded by blooming sunflower field,23,24.30677604675293
1,{} table surrounded by blooming sunflower field,24,30.479103088378906
1,{} table surrounded by blooming sunflower field,25,23.258573532104492
1,{} table surrounded by blooming sunflower field,26,24.402145385742188
1,{} table surrounded by blooming sunflower field,27,28.83191680908203
1,{} table surrounded by blooming sunflower field,28,25.411605834960938
1,{} table surrounded by blooming sunflower field,29,23.869901657104492
1,{} table surrounded by blooming sunflower field,30,30.151573181152344
1,{} table surrounded by blooming sunflower field,31,22.97370147705078
1,{} table surrounded by blooming sunflower field,32,23.330934524536133
1,{} table surrounded by blooming sunflower field,33,22.962766647338867
1,{} table surrounded by blooming sunflower field,34,22.553972244262695
1,{} table surrounded by blooming sunflower field,35,33.06815719604492
1,{} table surrounded by blooming sunflower field,36,23.181875228881836
1,{} table surrounded by blooming sunflower field,37,23.258581161499023
1,{} table surrounded by blooming sunflower field,38,23.283769607543945
1,{} table surrounded by blooming sunflower field,39,23.365365982055664
1,{} table surrounded by blooming sunflower field,40,22.90176773071289
1,{} table surrounded by blooming sunflower field,41,24.51011848449707
1,{} table surrounded by blooming sunflower field,42,23.605960845947266
1,{} table surrounded by blooming sunflower field,43,23.740182876586914
1,{} table surrounded by blooming sunflower field,44,24.268903732299805
1,{} table surrounded by blooming sunflower field,45,28.19012451171875
1,{} table surrounded by blooming sunflower field,46,23.602794647216797
1,{} table surrounded by blooming sunflower field,47,22.72962188720703
1,{} table surrounded by blooming sunflower field,48,23.89463996887207
1,{} table surrounded by blooming sunflower field,49,23.725608825683594
2,{} table on a boat in the sea,0,24.083139419555664
2,{} table on a boat in the sea,1,25.64761734008789
2,{} table on a boat in the sea,2,24.00739860534668
2,{} table on a boat in the sea,3,26.181819915771484
2,{} table on a boat in the sea,4,19.753568649291992
2,{} table on a boat in the sea,5,23.76692008972168
2,{} table on a boat in the sea,6,22.807527542114258
2,{} table on a boat in the sea,7,24.806419372558594
2,{} table on a boat in the sea,8,25.960865020751953
2,{} table on a boat in the sea,9,18.832435607910156
2,{} table on a boat in the sea,10,22.243432998657227
2,{} table on a boat in the sea,11,28.094894409179688
2,{} table on a boat in the sea,12,25.20879554748535
2,{} table on a boat in the sea,13,27.412473678588867
2,{} table on a boat in the sea,14,23.641923904418945
2,{} table on a boat in the sea,15,27.961467742919922
2,{} table on a boat in the sea,16,25.366670608520508
2,{} table on a boat in the sea,17,31.325468063354492
2,{} table on a boat in the sea,18,21.738292694091797
2,{} table on a boat in the sea,19,24.873138427734375
2,{} table on a boat in the sea,20,24.945337295532227
2,{} table on a boat in the sea,21,25.596405029296875
2,{} table on a boat in the sea,22,26.65620994567871
2,{} table on a boat in the sea,23,24.705867767333984
2,{} table on a boat in the sea,24,28.154647827148438
2,{} table on a boat in the sea,25,24.705951690673828
2,{} table on a boat in the sea,26,28.50360870361328
2,{} table on a boat in the sea,27,24.600845336914062
2,{} table on a boat in the sea,28,22.10087776184082
2,{} table on a boat in the sea,29,21.207204818725586
2,{} table on a boat in the sea,30,24.95115089416504
2,{} table on a boat in the sea,31,19.80202293395996
2,{} table on a boat in the sea,32,25.728347778320312
2,{} table on a boat in the sea,33,24.371910095214844
2,{} table on a boat in the sea,34,25.774002075195312
2,{} table on a boat in the sea,35,24.711639404296875
2,{} table on a boat in the sea,36,25.178516387939453
2,{} table on a boat in the sea,37,23.670923233032227
2,{} table on a boat in the sea,38,24.461097717285156
2,{} table on a boat in the sea,39,24.163272857666016
2,{} table on a boat in the sea,40,25.957447052001953
2,{} table on a boat in the sea,41,23.7940616607666
2,{} table on a boat in the sea,42,26.810625076293945
2,{} table on a boat in the sea,43,27.28955841064453
2,{} table on a boat in the sea,44,23.564762115478516
2,{} table on a boat in the sea,45,26.928653717041016
2,{} table on a boat in the sea,46,26.149105072021484
2,{} table on a boat in the sea,47,22.367961883544922
2,{} table on a boat in the sea,48,24.50925636291504
2,{} table on a boat in the sea,49,25.768247604370117
