prompt_index,prompt,image_index,score
0, grand canyon,0,18.02541160583496
0, grand canyon,1,22.667070388793945
0, grand canyon,2,17.15613555908203
0, grand canyon,3,19.7874813079834
0, grand canyon,4,19.730487823486328
0, grand canyon,5,17.783447265625
0, grand canyon,6,17.92790985107422
0, grand canyon,7,18.10944366455078
0, grand canyon,8,21.6097469329834
0, grand canyon,9,21.027751922607422
0, grand canyon,10,19.031129837036133
0, grand canyon,11,21.163185119628906
0, grand canyon,12,18.38469123840332
0, grand canyon,13,20.208166122436523
0, grand canyon,14,21.74970817565918
0, grand canyon,15,19.766185760498047
0, grand canyon,16,19.631776809692383
0, grand canyon,17,21.016923904418945
0, grand canyon,18,22.535926818847656
0, grand canyon,19,21.530719757080078
0, grand canyon,20,22.421846389770508
0, grand canyon,21,19.68143653869629
0, grand canyon,22,20.76657485961914
0, grand canyon,23,20.408367156982422
0, grand canyon,24,17.019054412841797
0, grand canyon,25,19.415456771850586
0, grand canyon,26,17.660808563232422
0, grand canyon,27,16.01255226135254
0, grand canyon,28,20.760997772216797
0, grand canyon,29,19.72246551513672
0, grand canyon,30,15.284546852111816
0, grand canyon,31,20.792743682861328
0, grand canyon,32,21.177139282226562
0, grand canyon,33,20.685935974121094
0, grand canyon,34,19.802257537841797
0, grand canyon,35,18.533220291137695
0, grand canyon,36,17.626628875732422
0, grand canyon,37,20.489076614379883
0, grand canyon,38,19.372516632080078
0, grand canyon,39,22.151180267333984
0, grand canyon,40,22.434459686279297
0, grand canyon,41,20.957067489624023
0, grand canyon,42,19.502384185791016
0, grand canyon,43,20.944726943969727
0, grand canyon,44,20.9954891204834
0, grand canyon,45,15.618544578552246
0, grand canyon,46,19.612131118774414
0, grand canyon,47,21.64479637145996
0, grand canyon,48,21.20977210998535
0, grand canyon,49,19.065080642700195
1, beach with a view of the sea,0,17.174537658691406
1, beach with a view of the sea,1,18.2080078125
1, beach with a view of the sea,2,18.09473419189453
1, beach with a view of the sea,3,18.032917022705078
1, beach with a view of the sea,4,18.337186813354492
1, beach with a view of the sea,5,16.878284454345703
1, beach with a view of the sea,6,17.5992488861084
1, beach with a view of the sea,7,18.45523452758789
1, beach with a view of the sea,8,17.816560745239258
1, beach with a view of the sea,9,18.744590759277344
1, beach with a view of the sea,10,18.70195770263672
1, beach with a view of the sea,11,18.13846778869629
1, beach with a view of the sea,12,17.85856056213379
1, beach with a view of the sea,13,18.43659210205078
1, beach with a view of the sea,14,17.946842193603516
1, beach with a view of the sea,15,17.339582443237305
1, beach with a view of the sea,16,18.401247024536133
1, beach with a view of the sea,17,17.68404769897461
1, beach with a view of the sea,18,16.80618667602539
1, beach with a view of the sea,19,17.75847816467285
1, beach with a view of the sea,20,17.749187469482422
1, beach with a view of the sea,21,18.027633666992188
1, beach with a view of the sea,22,18.020435333251953
1, beach with a view of the sea,23,17.606395721435547
1, beach with a view of the sea,24,19.18682861328125
1, beach with a view of the sea,25,18.329986572265625
1, beach with a view of the sea,26,18.25578498840332
1, beach with a view of the sea,27,18.42269515991211
1, beach with a view of the sea,28,17.631921768188477
1, beach with a view of the sea,29,17.232717514038086
1, beach with a view of the sea,30,17.723217010498047
1, beach with a view of the sea,31,17.067407608032227
1, beach with a view of the sea,32,18.465717315673828
1, beach with a view of the sea,33,19.232192993164062
1, beach with a view of the sea,34,17.11155891418457
1, beach with a view of the sea,35,18.587629318237305
1, beach with a view of the sea,36,18.282373428344727
1, beach with a view of the sea,37,18.461332321166992
1, beach with a view of the sea,38,18.58897590637207
1, beach with a view of the sea,39,18.559730529785156
1, beach with a view of the sea,40,18.835084915161133
1, beach with a view of the sea,41,16.520523071289062
1, beach with a view of the sea,42,18.140857696533203
1, beach with a view of the sea,43,17.708650588989258
1, beach with a view of the sea,44,17.515350341796875
1, beach with a view of the sea,45,17.933734893798828
1, beach with a view of the sea,46,18.23482894897461
1, beach with a view of the sea,47,17.406930923461914
1, beach with a view of the sea,48,16.789541244506836
1, beach with a view of the sea,49,17.766328811645508
2, times square,0,18.62233543395996
2, times square,1,19.24070930480957
2, times square,2,17.273239135742188
2, times square,3,16.020315170288086
2, times square,4,16.099367141723633
2, times square,5,12.642940521240234
2, times square,6,19.837697982788086
2, times square,7,13.675501823425293
2, times square,8,16.50603485107422
2, times square,9,16.35307502746582
2, times square,10,13.189019203186035
2, times square,11,19.464466094970703
2, times square,12,20.250864028930664
2, times square,13,13.236385345458984
2, times square,14,16.001611709594727
2, times square,15,18.37886619567871
2, times square,16,15.091268539428711
2, times square,17,19.219558715820312
2, times square,18,19.237211227416992
2, times square,19,12.534114837646484
2, times square,20,13.111736297607422
2, times square,21,16.92621612548828
2, times square,22,12.126352310180664
2, times square,23,16.875320434570312
2, times square,24,18.776859283447266
2, times square,25,17.469566345214844
2, times square,26,18.67561912536621
2, times square,27,13.725306510925293
2, times square,28,19.278650283813477
2, times square,29,14.673614501953125
2, times square,30,12.109976768493652
2, times square,31,17.500877380371094
2, times square,32,12.56093692779541
2, times square,33,16.478912353515625
2, times square,34,18.029096603393555
2, times square,35,16.206668853759766
2, times square,36,18.474586486816406
2, times square,37,14.499963760375977
2, times square,38,12.827067375183105
2, times square,39,15.82009220123291
2, times square,40,14.474437713623047
2, times square,41,19.853153228759766
2, times square,42,12.349217414855957
2, times square,43,16.98356056213379
2, times square,44,13.602259635925293
2, times square,45,20.58743667602539
2, times square,46,12.992776870727539
2, times square,47,13.388496398925781
2, times square,48,12.211241722106934
2, times square,49,13.745427131652832
3, wearing sunglasses,0,21.443649291992188
3, wearing sunglasses,1,21.526901245117188
3, wearing sunglasses,2,21.28983497619629
3, wearing sunglasses,3,20.40789794921875
3, wearing sunglasses,4,20.343503952026367
3, wearing sunglasses,5,20.482006072998047
3, wearing sunglasses,6,20.066776275634766
3, wearing sunglasses,7,20.38341522216797
3, wearing sunglasses,8,21.593971252441406
3, wearing sunglasses,9,20.894983291625977
3, wearing sunglasses,10,21.1542911529541
3, wearing sunglasses,11,21.632217407226562
3, wearing sunglasses,12,22.115663528442383
3, wearing sunglasses,13,22.16143226623535
3, wearing sunglasses,14,20.637556076049805
3, wearing sunglasses,15,20.10055160522461
3, wearing sunglasses,16,20.20707130432129
3, wearing sunglasses,17,20.283357620239258
3, wearing sunglasses,18,18.700368881225586
3, wearing sunglasses,19,22.797380447387695
3, wearing sunglasses,20,21.084247589111328
3, wearing sunglasses,21,21.3461971282959
3, wearing sunglasses,22,20.459190368652344
3, wearing sunglasses,23,21.474069595336914
3, wearing sunglasses,24,22.105310440063477
3, wearing sunglasses,25,21.597198486328125
3, wearing sunglasses,26,20.499975204467773
3, wearing sunglasses,27,21.596473693847656
3, wearing sunglasses,28,21.160362243652344
3, wearing sunglasses,29,20.484710693359375
3, wearing sunglasses,30,21.21011734008789
3, wearing sunglasses,31,18.794584274291992
3, wearing sunglasses,32,22.41473388671875
3, wearing sunglasses,33,20.71827507019043
3, wearing sunglasses,34,22.048133850097656
3, wearing sunglasses,35,18.885953903198242
3, wearing sunglasses,36,20.450437545776367
3, wearing sunglasses,37,20.926685333251953
3, wearing sunglasses,38,20.426950454711914
3, wearing sunglasses,39,20.84282875061035
3, wearing sunglasses,40,21.61423683166504
3, wearing sunglasses,41,21.14115333557129
3, wearing sunglasses,42,20.471969604492188
3, wearing sunglasses,43,21.50335693359375
3, wearing sunglasses,44,20.433101654052734
3, wearing sunglasses,45,20.805360794067383
3, wearing sunglasses,46,20.64896011352539
3, wearing sunglasses,47,21.50452995300293
3, wearing sunglasses,48,20.88726806640625
3, wearing sunglasses,49,19.216814041137695
4, working on the laptop,0,16.33913803100586
4, working on the laptop,1,15.735570907592773
4, working on the laptop,2,17.690349578857422
4, working on the laptop,3,16.051921844482422
4, working on the laptop,4,18.096033096313477
4, working on the laptop,5,16.871122360229492
4, working on the laptop,6,15.038257598876953
4, working on the laptop,7,17.34919548034668
4, working on the laptop,8,18.555259704589844
4, working on the laptop,9,17.382863998413086
4, working on the laptop,10,15.545921325683594
4, working on the laptop,11,16.088848114013672
4, working on the laptop,12,17.663803100585938
4, working on the laptop,13,14.978151321411133
4, working on the laptop,14,16.88775062561035
4, working on the laptop,15,16.705093383789062
4, working on the laptop,16,17.9967041015625
4, working on the laptop,17,16.36948585510254
4, working on the laptop,18,16.031856536865234
4, working on the laptop,19,16.12982940673828
4, working on the laptop,20,16.574501037597656
4, working on the laptop,21,17.296293258666992
4, working on the laptop,22,16.299291610717773
4, working on the laptop,23,16.291833877563477
4, working on the laptop,24,17.4307861328125
4, working on the laptop,25,16.91358184814453
4, working on the laptop,26,17.088470458984375
4, working on the laptop,27,16.80082893371582
