prompt_index,prompt,image_index,score
0,{} dog in grand canyon,0,31.437551498413086
0,{} dog in grand canyon,1,31.599515914916992
0,{} dog in grand canyon,2,31.86408233642578
0,{} dog in grand canyon,3,31.144041061401367
0,{} dog in grand canyon,4,28.090099334716797
0,{} dog in grand canyon,5,30.94367027282715
0,{} dog in grand canyon,6,30.778053283691406
0,{} dog in grand canyon,7,29.583534240722656
0,{} dog in grand canyon,8,30.29533576965332
0,{} dog in grand canyon,9,30.792089462280273
0,{} dog in grand canyon,10,30.18553924560547
0,{} dog in grand canyon,11,30.52346420288086
0,{} dog in grand canyon,12,28.572589874267578
0,{} dog in grand canyon,13,28.363353729248047
0,{} dog in grand canyon,14,30.68636131286621
0,{} dog in grand canyon,15,31.057716369628906
0,{} dog in grand canyon,16,30.107391357421875
0,{} dog in grand canyon,17,30.610509872436523
0,{} dog in grand canyon,18,30.305421829223633
0,{} dog in grand canyon,19,28.725360870361328
0,{} dog in grand canyon,20,30.386632919311523
0,{} dog in grand canyon,21,28.50259780883789
0,{} dog in grand canyon,22,28.77507209777832
0,{} dog in grand canyon,23,30.594072341918945
0,{} dog in grand canyon,24,29.811399459838867
0,{} dog in grand canyon,25,28.203901290893555
0,{} dog in grand canyon,26,28.90578842163086
0,{} dog in grand canyon,27,29.28910255432129
0,{} dog in grand canyon,28,30.20322036743164
0,{} dog in grand canyon,29,29.58172607421875
0,{} dog in grand canyon,30,29.21576499938965
0,{} dog in grand canyon,31,28.867889404296875
0,{} dog in grand canyon,32,28.83615493774414
0,{} dog in grand canyon,33,30.544340133666992
0,{} dog in grand canyon,34,31.618127822875977
0,{} dog in grand canyon,35,30.700088500976562
0,{} dog in grand canyon,36,29.866207122802734
0,{} dog in grand canyon,37,28.29174041748047
0,{} dog in grand canyon,38,30.72568702697754
0,{} dog in grand canyon,39,28.590696334838867
0,{} dog in grand canyon,40,31.298831939697266
0,{} dog in grand canyon,41,31.204479217529297
0,{} dog in grand canyon,42,30.365022659301758
0,{} dog in grand canyon,43,30.34897804260254
0,{} dog in grand canyon,44,29.942068099975586
0,{} dog in grand canyon,45,29.011150360107422
0,{} dog in grand canyon,46,29.621488571166992
0,{} dog in grand canyon,47,28.429344177246094
0,{} dog in grand canyon,48,29.507577896118164
0,{} dog in grand canyon,49,29.536224365234375
1,{} dog sitting at the beach with a view of the sea,0,23.73347282409668
1,{} dog sitting at the beach with a view of the sea,1,25.24932098388672
1,{} dog sitting at the beach with a view of the sea,2,25.087913513183594
1,{} dog sitting at the beach with a view of the sea,3,23.314998626708984
1,{} dog sitting at the beach with a view of the sea,4,25.332202911376953
1,{} dog sitting at the beach with a view of the sea,5,25.534582138061523
1,{} dog sitting at the beach with a view of the sea,6,27.69546127319336
1,{} dog sitting at the beach with a view of the sea,7,25.67827606201172
1,{} dog sitting at the beach with a view of the sea,8,24.630529403686523
1,{} dog sitting at the beach with a view of the sea,9,24.744693756103516
1,{} dog sitting at the beach with a view of the sea,10,26.053577423095703
1,{} dog sitting at the beach with a view of the sea,11,24.026620864868164
1,{} dog sitting at the beach with a view of the sea,12,24.98388671875
1,{} dog sitting at the beach with a view of the sea,13,23.665115356445312
1,{} dog sitting at the beach with a view of the sea,14,25.085678100585938
1,{} dog sitting at the beach with a view of the sea,15,26.110309600830078
1,{} dog sitting at the beach with a view of the sea,16,24.659543991088867
1,{} dog sitting at the beach with a view of the sea,17,24.395469665527344
1,{} dog sitting at the beach with a view of the sea,18,25.435203552246094
1,{} dog sitting at the beach with a view of the sea,19,25.033891677856445
1,{} dog sitting at the beach with a view of the sea,20,23.550289154052734
1,{} dog sitting at the beach with a view of the sea,21,24.84224510192871
1,{} dog sitting at the beach with a view of the sea,22,25.57149314880371
1,{} dog sitting at the beach with a view of the sea,23,25.454708099365234
1,{} dog sitting at the beach with a view of the sea,24,24.3414363861084
1,{} dog sitting at the beach with a view of the sea,25,25.428850173950195
1,{} dog sitting at the beach with a view of the sea,26,24.620271682739258
1,{} dog sitting at the beach with a view of the sea,27,25.339534759521484
1,{} dog sitting at the beach with a view of the sea,28,25.826740264892578
1,{} dog sitting at the beach with a view of the sea,29,24.243276596069336
1,{} dog sitting at the beach with a view of the sea,30,25.615894317626953
1,{} dog sitting at the beach with a view of the sea,31,24.849964141845703
1,{} dog sitting at the beach with a view of the sea,32,25.643056869506836
1,{} dog sitting at the beach with a view of the sea,33,25.38491439819336
1,{} dog sitting at the beach with a view of the sea,34,26.415115356445312
1,{} dog sitting at the beach with a view of the sea,35,25.12522315979004
1,{} dog sitting at the beach with a view of the sea,36,25.769901275634766
1,{} dog sitting at the beach with a view of the sea,37,24.31110954284668
1,{} dog sitting at the beach with a view of the sea,38,24.930850982666016
1,{} dog sitting at the beach with a view of the sea,39,24.802396774291992
1,{} dog sitting at the beach with a view of the sea,40,25.19003677368164
1,{} dog sitting at the beach with a view of the sea,41,24.234697341918945
1,{} dog sitting at the beach with a view of the sea,42,24.48900604248047
1,{} dog sitting at the beach with a view of the sea,43,25.81856918334961
1,{} dog sitting at the beach with a view of the sea,44,24.338512420654297
1,{} dog sitting at the beach with a view of the sea,45,24.522010803222656
1,{} dog sitting at the beach with a view of the sea,46,27.127765655517578
1,{} dog sitting at the beach with a view of the sea,47,24.751333236694336
1,{} dog sitting at the beach with a view of the sea,48,25.52134132385254
1,{} dog sitting at the beach with a view of the sea,49,26.188575744628906
2,{} dog in times square,0,28.146728515625
2,{} dog in times square,1,28.436487197875977
2,{} dog in times square,2,24.274057388305664
2,{} dog in times square,3,30.234771728515625
2,{} dog in times square,4,22.281187057495117
2,{} dog in times square,5,18.82834815979004
2,{} dog in times square,6,22.6407527923584
2,{} dog in times square,7,28.929567337036133
2,{} dog in times square,8,28.30771255493164
2,{} dog in times square,9,30.515892028808594
2,{} dog in times square,10,25.439416885375977
2,{} dog in times square,11,18.473085403442383
2,{} dog in times square,12,27.436983108520508
2,{} dog in times square,13,27.400875091552734
2,{} dog in times square,14,27.0234317779541
2,{} dog in times square,15,30.25802993774414
2,{} dog in times square,16,22.439226150512695
2,{} dog in times square,17,26.796632766723633
2,{} dog in times square,18,23.213735580444336
2,{} dog in times square,19,23.53025245666504
2,{} dog in times square,20,25.53944969177246
2,{} dog in times square,21,17.74390411376953
2,{} dog in times square,22,28.46891212463379
2,{} dog in times square,23,20.309738159179688
2,{} dog in times square,24,19.596986770629883
2,{} dog in times square,25,28.707578659057617
2,{} dog in times square,26,17.926057815551758
2,{} dog in times square,27,17.37944793701172
2,{} dog in times square,28,25.820415496826172
2,{} dog in times square,29,26.3707275390625
2,{} dog in times square,30,27.953533172607422
2,{} dog in times square,31,12.634675025939941
2,{} dog in times square,32,22.99576759338379
2,{} dog in times square,33,20.53092384338379
2,{} dog in times square,34,24.299978256225586
2,{} dog in times square,35,29.08439064025879
2,{} dog in times square,36,27.33980941772461
2,{} dog in times square,37,28.24903106689453
2,{} dog in times square,38,30.461156845092773
2,{} dog in times square,39,16.481185913085938
2,{} dog in times square,40,28.736724853515625
2,{} dog in times square,41,26.09054946899414
2,{} dog in times square,42,20.277366638183594
2,{} dog in times square,43,27.60695457458496
2,{} dog in times square,44,28.037702560424805
2,{} dog in times square,45,21.796430587768555
2,{} dog in times square,46,21.663654327392578
2,{} dog in times square,47,20.71014404296875
2,{} dog in times square,48,20.952978134155273
2,{} dog in times square,49,28.968746185302734
3,{} dog wearing sunglasses,0,27.084928512573242
3,{} dog wearing sunglasses,1,27.868492126464844
3,{} dog wearing sunglasses,2,27.74375343322754
3,{} dog wearing sunglasses,3,27.597457885742188
3,{} dog wearing sunglasses,4,28.663188934326172
3,{} dog wearing sunglasses,5,27.251863479614258
3,{} dog wearing sunglasses,6,27.102991104125977
3,{} dog wearing sunglasses,7,25.8818416595459
3,{} dog wearing sunglasses,8,28.869211196899414
3,{} dog wearing sunglasses,9,27.428890228271484
3,{} dog wearing sunglasses,10,28.771739959716797
3,{} dog wearing sunglasses,11,29.592418670654297
3,{} dog wearing sunglasses,12,29.38527488708496
3,{} dog wearing sunglasses,13,27.191513061523438
3,{} dog wearing sunglasses,14,26.43042755126953
3,{} dog wearing sunglasses,15,28.796667098999023
3,{} dog wearing sunglasses,16,27.0388126373291
3,{} dog wearing sunglasses,17,14.604801177978516
3,{} dog wearing sunglasses,18,26.794082641601562
3,{} dog wearing sunglasses,19,29.66245460510254
3,{} dog wearing sunglasses,20,23.986900329589844
3,{} dog wearing sunglasses,21,28.224018096923828
3,{} dog wearing sunglasses,22,28.757902145385742
3,{} dog wearing sunglasses,23,27.140743255615234
3,{} dog wearing sunglasses,24,27.168411254882812
3,{} dog wearing sunglasses,25,26.417076110839844
3,{} dog wearing sunglasses,26,27.68817901611328
3,{} dog wearing sunglasses,27,24.782045364379883
3,{} dog wearing sunglasses,28,28.009456634521484
3,{} dog wearing sunglasses,29,27.856430053710938
3,{} dog wearing sunglasses,30,27.396034240722656
3,{} dog wearing sunglasses,31,26.431638717651367
3,{} dog wearing sunglasses,32,26.18427848815918
3,{} dog wearing sunglasses,33,27.661375045776367
3,{} dog wearing sunglasses,34,25.267093658447266
3,{} dog wearing sunglasses,35,28.479389190673828
3,{} dog wearing sunglasses,36,26.7265625
3,{} dog wearing sunglasses,37,27.517101287841797
3,{} dog wearing sunglasses,38,28.18024444580078
3,{} dog wearing sunglasses,39,27.107196807861328
3,{} dog wearing sunglasses,40,26.68627166748047
3,{} dog wearing sunglasses,41,27.590816497802734
3,{} dog wearing sunglasses,42,27.480920791625977
3,{} dog wearing sunglasses,43,27.918550491333008
3,{} dog wearing sunglasses,44,26.79360580444336
3,{} dog wearing sunglasses,45,26.021831512451172
3,{} dog wearing sunglasses,46,27.68230438232422
3,{} dog wearing sunglasses,47,27.770782470703125
3,{} dog wearing sunglasses,48,24.639162063598633
3,{} dog wearing sunglasses,49,26.944202423095703
4,{} dog working on the laptop,0,23.587766647338867
4,{} dog working on the laptop,1,26.062414169311523
4,{} dog working on the laptop,2,21.88335418701172
4,{} dog working on the laptop,3,19.48724365234375
4,{} dog working on the laptop,4,26.784276962280273
4,{} dog working on the laptop,5,24.444887161254883
4,{} dog working on the laptop,6,24.113168716430664
4,{} dog working on the laptop,7,20.715856552124023
4,{} dog working on the laptop,8,26.634048461914062
4,{} dog working on the laptop,9,17.042572021484375
4,{} dog working on the laptop,10,24.20618438720703
4,{} dog working on the laptop,11,22.842636108398438
4,{} dog working on the laptop,12,24.906564712524414
4,{} dog working on the laptop,13,24.031158447265625
4,{} dog working on the laptop,14,23.69283103942871
4,{} dog working on the laptop,15,26.674610137939453
4,{} dog working on the laptop,16,24.45151710510254
4,{} dog working on the laptop,17,26.179779052734375
4,{} dog working on the laptop,18,24.258522033691406
4,{} dog working on the laptop,19,23.608642578125
4,{} dog working on the laptop,20,26.38030433654785
4,{} dog working on the laptop,21,24.500244140625
4,{} dog working on the laptop,22,23.401763916015625
4,{} dog working on the laptop,23,24.38947296142578
4,{} dog working on the laptop,24,22.263273239135742
4,{} dog working on the laptop,25,24.898841857910156
4,{} dog working on the laptop,26,24.74215316772461
4,{} dog working on the laptop,27,24.75811767578125
4,{} dog working on the laptop,28,22.51698112487793
4,{} dog working on the laptop,29,24.83561897277832
4,{} dog working on the laptop,30,24.020357131958008
4,{} dog working on the laptop,31,24.904390335083008
4,{} dog working on the laptop,32,24.037765502929688
4,{} dog working on the laptop,33,24.142541885375977
4,{} dog working on the laptop,34,25.039390563964844
4,{} dog working on the laptop,35,24.115087509155273
4,{} dog working on the laptop,36,24.671445846557617
4,{} dog working on the laptop,37,25.097238540649414
4,{} dog working on the laptop,38,25.141679763793945
4,{} dog working on the laptop,39,17.568071365356445
4,{} dog working on the laptop,40,25.858667373657227
4,{} dog working on the laptop,41,22.46272850036621
4,{} dog working on the laptop,42,21.677209854125977
4,{} dog working on the laptop,43,25.187604904174805
4,{} dog working on the laptop,44,22.352798461914062
4,{} dog working on the laptop,45,21.64080810546875
4,{} dog working on the laptop,46,25.249073028564453
4,{} dog working on the laptop,47,23.201614379882812
4,{} dog working on the laptop,48,23.012893676757812
4,{} dog working on the laptop,49,15.417798042297363
5,{} dog on a boat in the sea,0,28.093994140625
5,{} dog on a boat in the sea,1,26.375791549682617
5,{} dog on a boat in the sea,2,25.78655433654785
5,{} dog on a boat in the sea,3,26.38656997680664
5,{} dog on a boat in the sea,4,27.490211486816406
5,{} dog on a boat in the sea,5,29.68532943725586
5,{} dog on a boat in the sea,6,28.93589210510254
