prompt,custom_prompt_A,custom_prompt_B,custom_prompt_C
{} in grand canyon, a dog, grand canyon, NA
{} sitting at the beach with a view of the sea, a dog, beach with a view of the sea, NA
{} in times square, a dog, times square, NA
{} wearing sunglasses, a dog, wearing sunglasses, NA
{} working on the laptop, a dog, working on the laptop, NA
{} on a boat in the sea, a dog, a boat in the sea, NA
{} wearing headphones, a dog, wearing headphones, NA
{} in a construction outfit, a dog, construction outfit, NA
{} on top of a mountain, a dog, on top of a mountain, NA
a koala in the style of {}, a dog, a koala, NA
a backpack in the style of {}, a dog, a backpack, NA
{} made of crochet, a dog, made of crochet, NA
a sweater in the style of {}, a dog, a sweater, NA
a photo of a {} in Van Gogh style, a dog, Van Gogh style, NA
