prompt_index,prompt,image_index,score
0, grand canyon,0,24.712942123413086
0, grand canyon,1,24.957408905029297
0, grand canyon,2,25.774669647216797
0, grand canyon,3,23.2316951751709
0, grand canyon,4,24.23552703857422
0, grand canyon,5,21.71893310546875
0, grand canyon,6,23.541309356689453
0, grand canyon,7,25.333463668823242
0, grand canyon,8,24.179920196533203
0, grand canyon,9,21.175310134887695
0, grand canyon,10,23.398357391357422
0, grand canyon,11,23.141780853271484
0, grand canyon,12,24.20479965209961
0, grand canyon,13,23.647937774658203
0, grand canyon,14,24.487749099731445
0, grand canyon,15,24.119863510131836
0, grand canyon,16,23.730009078979492
0, grand canyon,17,24.93677520751953
0, grand canyon,18,23.432025909423828
0, grand canyon,19,23.757003784179688
0, grand canyon,20,24.623275756835938
0, grand canyon,21,24.83136749267578
0, grand canyon,22,23.924468994140625
0, grand canyon,23,24.045188903808594
0, grand canyon,24,24.979421615600586
0, grand canyon,25,24.527847290039062
0, grand canyon,26,24.06447410583496
0, grand canyon,27,24.265792846679688
0, grand canyon,28,24.34339141845703
0, grand canyon,29,24.712717056274414
0, grand canyon,30,23.70924949645996
0, grand canyon,31,24.76616859436035
0, grand canyon,32,24.581649780273438
0, grand canyon,33,23.291706085205078
0, grand canyon,34,23.68833351135254
0, grand canyon,35,24.907371520996094
0, grand canyon,36,23.596105575561523
0, grand canyon,37,25.079076766967773
0, grand canyon,38,24.388002395629883
0, grand canyon,39,25.67084503173828
0, grand canyon,40,24.300533294677734
0, grand canyon,41,24.069780349731445
0, grand canyon,42,14.970512390136719
0, grand canyon,43,23.476877212524414
0, grand canyon,44,21.820816040039062
0, grand canyon,45,25.664770126342773
0, grand canyon,46,24.808862686157227
0, grand canyon,47,24.481006622314453
0, grand canyon,48,20.52181053161621
0, grand canyon,49,19.62523078918457
1, beach with a view of the sea,0,21.07464599609375
1, beach with a view of the sea,1,19.69033432006836
1, beach with a view of the sea,2,23.22116470336914
1, beach with a view of the sea,3,20.805908203125
1, beach with a view of the sea,4,22.923725128173828
1, beach with a view of the sea,5,22.923019409179688
1, beach with a view of the sea,6,20.709930419921875
1, beach with a view of the sea,7,22.10016632080078
1, beach with a view of the sea,8,20.349197387695312
1, beach with a view of the sea,9,18.807849884033203
1, beach with a view of the sea,10,21.689847946166992
1, beach with a view of the sea,11,21.55585479736328
1, beach with a view of the sea,12,22.3851375579834
1, beach with a view of the sea,13,23.36067771911621
1, beach with a view of the sea,14,19.319448471069336
1, beach with a view of the sea,15,19.020915985107422
1, beach with a view of the sea,16,21.534839630126953
1, beach with a view of the sea,17,21.700454711914062
1, beach with a view of the sea,18,20.038537979125977
1, beach with a view of the sea,19,20.49135971069336
1, beach with a view of the sea,20,20.36356544494629
1, beach with a view of the sea,21,20.627971649169922
1, beach with a view of the sea,22,20.50870704650879
1, beach with a view of the sea,23,19.38890838623047
1, beach with a view of the sea,24,20.428569793701172
1, beach with a view of the sea,25,22.86393928527832
1, beach with a view of the sea,26,18.845727920532227
1, beach with a view of the sea,27,19.547555923461914
1, beach with a view of the sea,28,20.53217887878418
1, beach with a view of the sea,29,19.935400009155273
1, beach with a view of the sea,30,21.337800979614258
1, beach with a view of the sea,31,22.93584632873535
1, beach with a view of the sea,32,21.003103256225586
1, beach with a view of the sea,33,21.32354736328125
1, beach with a view of the sea,34,21.29075813293457
1, beach with a view of the sea,35,21.793184280395508
1, beach with a view of the sea,36,20.75155258178711
1, beach with a view of the sea,37,22.109392166137695
1, beach with a view of the sea,38,19.961824417114258
1, beach with a view of the sea,39,20.121292114257812
1, beach with a view of the sea,40,17.914817810058594
1, beach with a view of the sea,41,21.2982177734375
1, beach with a view of the sea,42,23.098615646362305
1, beach with a view of the sea,43,17.382844924926758
1, beach with a view of the sea,44,23.39871597290039
1, beach with a view of the sea,45,20.520544052124023
1, beach with a view of the sea,46,20.090356826782227
1, beach with a view of the sea,47,20.217552185058594
1, beach with a view of the sea,48,19.178298950195312
1, beach with a view of the sea,49,20.840505599975586
2, times square,0,23.995920181274414
2, times square,1,23.398662567138672
2, times square,2,23.472822189331055
2, times square,3,22.876359939575195
2, times square,4,24.911212921142578
2, times square,5,23.521366119384766
2, times square,6,22.80122947692871
2, times square,7,23.897323608398438
2, times square,8,22.384544372558594
2, times square,9,23.45070457458496
2, times square,10,24.803152084350586
2, times square,11,22.14417839050293
2, times square,12,23.410093307495117
2, times square,13,23.383926391601562
2, times square,14,21.115488052368164
2, times square,15,23.275699615478516
2, times square,16,23.770841598510742
2, times square,17,23.075092315673828
2, times square,18,23.404638290405273
2, times square,19,22.725845336914062
2, times square,20,23.440523147583008
2, times square,21,22.555126190185547
2, times square,22,22.743446350097656
2, times square,23,23.10415267944336
2, times square,24,23.868459701538086
2, times square,25,23.381954193115234
2, times square,26,23.11812400817871
2, times square,27,21.737035751342773
2, times square,28,23.772180557250977
2, times square,29,23.196496963500977
2, times square,30,21.233394622802734
2, times square,31,23.252408981323242
2, times square,32,23.599079132080078
2, times square,33,24.10968780517578
2, times square,34,24.418386459350586
2, times square,35,21.720623016357422
2, times square,36,24.368677139282227
2, times square,37,23.68183135986328
2, times square,38,24.234952926635742
2, times square,39,23.767391204833984
2, times square,40,23.649974822998047
2, times square,41,23.631534576416016
2, times square,42,21.855998992919922
2, times square,43,22.833797454833984
2, times square,44,23.283151626586914
2, times square,45,23.33327293395996
2, times square,46,24.757566452026367
2, times square,47,23.45232391357422
2, times square,48,22.354476928710938
2, times square,49,23.598491668701172
3, wearing sunglasses,0,22.830183029174805
3, wearing sunglasses,1,22.77806282043457
3, wearing sunglasses,2,23.63789176940918
3, wearing sunglasses,3,23.784847259521484
3, wearing sunglasses,4,24.89434814453125
3, wearing sunglasses,5,22.37356185913086
3, wearing sunglasses,6,23.093284606933594
3, wearing sunglasses,7,23.282365798950195
3, wearing sunglasses,8,23.204776763916016
3, wearing sunglasses,9,22.332500457763672
3, wearing sunglasses,10,23.475418090820312
3, wearing sunglasses,11,23.619281768798828
3, wearing sunglasses,12,24.433921813964844
3, wearing sunglasses,13,23.82468605041504
3, wearing sunglasses,14,23.359712600708008
3, wearing sunglasses,15,23.19219207763672
3, wearing sunglasses,16,17.126283645629883
3, wearing sunglasses,17,23.570798873901367
3, wearing sunglasses,18,22.816804885864258
3, wearing sunglasses,19,23.970762252807617
3, wearing sunglasses,20,23.186569213867188
3, wearing sunglasses,21,24.45368194580078
3, wearing sunglasses,22,22.588518142700195
3, wearing sunglasses,23,22.84417152404785
3, wearing sunglasses,24,23.56831932067871
