prompt,custom_prompt_A,custom_prompt_B,custom_prompt_C
{} cat in grand canyon, a cat, grand canyon, NA
{} cat sitting at the beach with a view of the sea, a cat, beach with a view of the sea, NA
{} cat in times square, a cat, times square, NA
{} cat wearing sunglasses, a cat, wearing sunglasses, NA
{} cat working on the laptop, a cat, working on the laptop, NA
{} cat on a boat in the sea, a cat, a boat in the sea, NA
{} cat wearing headphones, a cat, wearing headphones, NA
{} cat in a construction outfit, a cat, construction outfit, NA
{} cat on top of a mountain, a cat, on top of a mountain, NA
a koala in the style of {} cat, a cat, a koala, NA
a backpack in the style of {} cat, a cat, a backpack, NA
{} cat made of crochet, a cat, made of crochet, NA
a sweater in the style of {} cat, a cat, a sweater, NA
a photo of a {} cat in Van Gogh style, a cat, Van Gogh style, NA
