prompt_index,prompt,image_index,score
0, grand canyon,0,23.287668228149414
0, grand canyon,1,21.461687088012695
0, grand canyon,2,21.317922592163086
0, grand canyon,3,23.938491821289062
0, grand canyon,4,21.80392074584961
0, grand canyon,5,16.075565338134766
0, grand canyon,6,21.010889053344727
0, grand canyon,7,22.952789306640625
0, grand canyon,8,22.39930534362793
0, grand canyon,9,16.632259368896484
0, grand canyon,10,22.368061065673828
0, grand canyon,11,22.012033462524414
0, grand canyon,12,20.752012252807617
0, grand canyon,13,21.225845336914062
0, grand canyon,14,23.409381866455078
0, grand canyon,15,22.821081161499023
0, grand canyon,16,21.880186080932617
0, grand canyon,17,21.621204376220703
0, grand canyon,18,23.535263061523438
0, grand canyon,19,22.977378845214844
0, grand canyon,20,23.041099548339844
0, grand canyon,21,21.166828155517578
0, grand canyon,22,22.871902465820312
0, grand canyon,23,21.68355369567871
0, grand canyon,24,23.011653900146484
0, grand canyon,25,21.304065704345703
0, grand canyon,26,22.77311134338379
0, grand canyon,27,21.668363571166992
0, grand canyon,28,21.504348754882812
0, grand canyon,29,23.822242736816406
0, grand canyon,30,22.629562377929688
0, grand canyon,31,21.58280372619629
0, grand canyon,32,22.475719451904297
0, grand canyon,33,22.865142822265625
0, grand canyon,34,21.1713809967041
0, grand canyon,35,23.028568267822266
0, grand canyon,36,21.739500045776367
0, grand canyon,37,20.82046890258789
0, grand canyon,38,21.243148803710938
0, grand canyon,39,22.208541870117188
0, grand canyon,40,23.778898239135742
0, grand canyon,41,20.70652961730957
0, grand canyon,42,19.332134246826172
0, grand canyon,43,20.94961929321289
0, grand canyon,44,21.674768447875977
0, grand canyon,45,22.34741973876953
0, grand canyon,46,23.071882247924805
0, grand canyon,47,21.004384994506836
0, grand canyon,48,20.743898391723633
0, grand canyon,49,21.30029296875
1, beach with a view of the sea,0,17.86252784729004
1, beach with a view of the sea,1,12.37944507598877
1, beach with a view of the sea,2,18.851551055908203
1, beach with a view of the sea,3,16.97193145751953
1, beach with a view of the sea,4,18.374465942382812
1, beach with a view of the sea,5,19.928146362304688
1, beach with a view of the sea,6,16.342098236083984
1, beach with a view of the sea,7,17.602148056030273
1, beach with a view of the sea,8,19.904003143310547
1, beach with a view of the sea,9,15.459686279296875
1, beach with a view of the sea,10,18.208402633666992
1, beach with a view of the sea,11,18.072195053100586
1, beach with a view of the sea,12,15.113200187683105
1, beach with a view of the sea,13,18.568635940551758
1, beach with a view of the sea,14,18.522907257080078
1, beach with a view of the sea,15,14.192008972167969
1, beach with a view of the sea,16,17.880247116088867
1, beach with a view of the sea,17,17.085187911987305
1, beach with a view of the sea,18,17.439939498901367
1, beach with a view of the sea,19,19.41381072998047
1, beach with a view of the sea,20,16.098031997680664
1, beach with a view of the sea,21,17.591323852539062
1, beach with a view of the sea,22,14.424456596374512
1, beach with a view of the sea,23,18.402259826660156
1, beach with a view of the sea,24,18.970251083374023
1, beach with a view of the sea,25,17.261489868164062
1, beach with a view of the sea,26,16.281341552734375
1, beach with a view of the sea,27,17.494997024536133
1, beach with a view of the sea,28,14.265179634094238
1, beach with a view of the sea,29,17.478116989135742
1, beach with a view of the sea,30,18.059778213500977
1, beach with a view of the sea,31,16.563385009765625
1, beach with a view of the sea,32,18.30657386779785
1, beach with a view of the sea,33,17.444965362548828
1, beach with a view of the sea,34,16.867212295532227
1, beach with a view of the sea,35,17.183982849121094
1, beach with a view of the sea,36,19.511764526367188
1, beach with a view of the sea,37,17.51301383972168
1, beach with a view of the sea,38,12.481419563293457
1, beach with a view of the sea,39,18.81439781188965
1, beach with a view of the sea,40,13.292566299438477
1, beach with a view of the sea,41,18.200288772583008
1, beach with a view of the sea,42,20.184141159057617
1, beach with a view of the sea,43,15.738618850708008
1, beach with a view of the sea,44,18.970256805419922
1, beach with a view of the sea,45,20.066781997680664
1, beach with a view of the sea,46,17.39307403564453
1, beach with a view of the sea,47,17.21883201599121
1, beach with a view of the sea,48,16.37504005432129
1, beach with a view of the sea,49,18.005722045898438
2, times square,0,22.150922775268555
2, times square,1,21.209081649780273
2, times square,2,21.148326873779297
2, times square,3,22.058326721191406
2, times square,4,19.727201461791992
2, times square,5,19.627023696899414
2, times square,6,22.291034698486328
2, times square,7,19.776573181152344
2, times square,8,20.845327377319336
2, times square,9,19.842418670654297
2, times square,10,19.647653579711914
2, times square,11,20.195842742919922
2, times square,12,20.66083335876465
2, times square,13,20.194217681884766
2, times square,14,20.170482635498047
2, times square,15,19.47821617126465
2, times square,16,19.86610221862793
2, times square,17,20.9322509765625
2, times square,18,20.867151260375977
2, times square,19,22.801515579223633
2, times square,20,19.113985061645508
2, times square,21,18.162805557250977
2, times square,22,20.470443725585938
2, times square,23,22.640165328979492
2, times square,24,20.236469268798828
2, times square,25,20.744640350341797
2, times square,26,18.97057342529297
2, times square,27,19.20720672607422
2, times square,28,20.943222045898438
2, times square,29,20.755117416381836
2, times square,30,21.065635681152344
2, times square,31,19.430166244506836
2, times square,32,19.55719566345215
2, times square,33,17.305465698242188
2, times square,34,21.273889541625977
2, times square,35,20.481800079345703
2, times square,36,20.750486373901367
2, times square,37,21.358816146850586
2, times square,38,20.792198181152344
2, times square,39,20.900327682495117
2, times square,40,21.93377685546875
2, times square,41,19.69105339050293
2, times square,42,22.687320709228516
2, times square,43,22.63260841369629
2, times square,44,20.199153900146484
2, times square,45,21.222469329833984
2, times square,46,20.84161376953125
2, times square,47,20.833030700683594
2, times square,48,19.42057991027832
2, times square,49,21.54161834716797
3, wearing sunglasses,0,20.722978591918945
3, wearing sunglasses,1,17.744827270507812
3, wearing sunglasses,2,20.89735984802246
3, wearing sunglasses,3,19.228458404541016
3, wearing sunglasses,4,22.025394439697266
3, wearing sunglasses,5,20.80331802368164
3, wearing sunglasses,6,20.18548583984375
3, wearing sunglasses,7,20.79183578491211
