prompt_index,prompt,image_index,score
0,{} flower growing in the desert,0,68.38129425048828
0,{} flower growing in the desert,1,76.8487319946289
0,{} flower growing in the desert,2,66.8320541381836
0,{} flower growing in the desert,3,67.53852081298828
0,{} flower growing in the desert,4,61.41706848144531
0,{} flower growing in the desert,5,81.18978881835938
0,{} flower growing in the desert,6,70.14749145507812
0,{} flower growing in the desert,7,70.57137298583984
0,{} flower growing in the desert,8,56.318145751953125
0,{} flower growing in the desert,9,70.70982360839844
0,{} flower growing in the desert,10,70.10084533691406
0,{} flower growing in the desert,11,70.36527252197266
0,{} flower growing in the desert,12,70.20246887207031
0,{} flower growing in the desert,13,69.34308624267578
0,{} flower growing in the desert,14,65.92523956298828
0,{} flower growing in the desert,15,67.66329193115234
0,{} flower growing in the desert,16,58.59867858886719
0,{} flower growing in the desert,17,67.2078857421875
0,{} flower growing in the desert,18,65.6133804321289
0,{} flower growing in the desert,19,64.58443450927734
0,{} flower growing in the desert,20,63.717002868652344
0,{} flower growing in the desert,21,69.7015151977539
0,{} flower growing in the desert,22,61.49288558959961
0,{} flower growing in the desert,23,74.01304626464844
0,{} flower growing in the desert,24,70.1474609375
0,{} flower growing in the desert,25,70.54191589355469
0,{} flower growing in the desert,26,68.62255096435547
0,{} flower growing in the desert,27,73.58540344238281
0,{} flower growing in the desert,28,69.36028289794922
0,{} flower growing in the desert,29,71.98666381835938
0,{} flower growing in the desert,30,64.29159545898438
0,{} flower growing in the desert,31,57.3932991027832
0,{} flower growing in the desert,32,62.636619567871094
0,{} flower growing in the desert,33,60.0331916809082
0,{} flower growing in the desert,34,75.7979965209961
0,{} flower growing in the desert,35,78.3559341430664
0,{} flower growing in the desert,36,64.1754379272461
0,{} flower growing in the desert,37,66.82097625732422
0,{} flower growing in the desert,38,67.64805603027344
0,{} flower growing in the desert,39,65.9422836303711
0,{} flower growing in the desert,40,62.507484436035156
0,{} flower growing in the desert,41,61.632164001464844
0,{} flower growing in the desert,42,73.11112976074219
0,{} flower growing in the desert,43,72.66932678222656
0,{} flower growing in the desert,44,72.083984375
0,{} flower growing in the desert,45,72.30524444580078
0,{} flower growing in the desert,46,62.70404052734375
0,{} flower growing in the desert,47,76.60150146484375
0,{} flower growing in the desert,48,84.86506652832031
0,{} flower growing in the desert,49,60.439048767089844
1,{} flower at a beach with a view of the seashore,0,71.04778289794922
1,{} flower at a beach with a view of the seashore,1,72.16260528564453
1,{} flower at a beach with a view of the seashore,2,60.94086837768555
1,{} flower at a beach with a view of the seashore,3,69.67134094238281
1,{} flower at a beach with a view of the seashore,4,66.08554077148438
1,{} flower at a beach with a view of the seashore,5,62.47868347167969
1,{} flower at a beach with a view of the seashore,6,65.68414306640625
1,{} flower at a beach with a view of the seashore,7,69.63288116455078
1,{} flower at a beach with a view of the seashore,8,65.6814956665039
1,{} flower at a beach with a view of the seashore,9,68.09585571289062
1,{} flower at a beach with a view of the seashore,10,71.161376953125
1,{} flower at a beach with a view of the seashore,11,66.85574340820312
1,{} flower at a beach with a view of the seashore,12,75.03271484375
1,{} flower at a beach with a view of the seashore,13,70.49217224121094
1,{} flower at a beach with a view of the seashore,14,66.64517211914062
1,{} flower at a beach with a view of the seashore,15,67.63256072998047
1,{} flower at a beach with a view of the seashore,16,68.78712463378906
1,{} flower at a beach with a view of the seashore,17,72.31562042236328
1,{} flower at a beach with a view of the seashore,18,70.84036254882812
1,{} flower at a beach with a view of the seashore,19,68.28606414794922
1,{} flower at a beach with a view of the seashore,20,71.24628448486328
1,{} flower at a beach with a view of the seashore,21,60.7823371887207
1,{} flower at a beach with a view of the seashore,22,69.22160339355469
1,{} flower at a beach with a view of the seashore,23,59.84248352050781
1,{} flower at a beach with a view of the seashore,24,65.95884704589844
1,{} flower at a beach with a view of the seashore,25,62.264930725097656
1,{} flower at a beach with a view of the seashore,26,63.90494155883789
1,{} flower at a beach with a view of the seashore,27,65.81863403320312
1,{} flower at a beach with a view of the seashore,28,75.14376831054688
1,{} flower at a beach with a view of the seashore,29,73.57881164550781
1,{} flower at a beach with a view of the seashore,30,70.17523956298828
1,{} flower at a beach with a view of the seashore,31,63.388614654541016
1,{} flower at a beach with a view of the seashore,32,77.00052642822266
1,{} flower at a beach with a view of the seashore,33,66.30136108398438
1,{} flower at a beach with a view of the seashore,34,63.78710174560547
1,{} flower at a beach with a view of the seashore,35,70.05794525146484
1,{} flower at a beach with a view of the seashore,36,68.92333984375
1,{} flower at a beach with a view of the seashore,37,70.1541748046875
1,{} flower at a beach with a view of the seashore,38,70.748046875
1,{} flower at a beach with a view of the seashore,39,64.2288818359375
1,{} flower at a beach with a view of the seashore,40,68.25817108154297
1,{} flower at a beach with a view of the seashore,41,77.90264129638672
1,{} flower at a beach with a view of the seashore,42,60.91489791870117
1,{} flower at a beach with a view of the seashore,43,75.825439453125
1,{} flower at a beach with a view of the seashore,44,69.6602783203125
1,{} flower at a beach with a view of the seashore,45,69.08496856689453
1,{} flower at a beach with a view of the seashore,46,68.70777893066406
1,{} flower at a beach with a view of the seashore,47,69.1756591796875
1,{} flower at a beach with a view of the seashore,48,74.77908325195312
1,{} flower at a beach with a view of the seashore,49,68.2803955078125
2,{} flower on top of a mountain with sunrise in the background,0,72.20423889160156
2,{} flower on top of a mountain with sunrise in the background,1,67.45049285888672
2,{} flower on top of a mountain with sunrise in the background,2,73.21410369873047
2,{} flower on top of a mountain with sunrise in the background,3,69.6414566040039
2,{} flower on top of a mountain with sunrise in the background,4,73.20624542236328
2,{} flower on top of a mountain with sunrise in the background,5,66.68364715576172
2,{} flower on top of a mountain with sunrise in the background,6,61.44292449951172
2,{} flower on top of a mountain with sunrise in the background,7,61.8128776550293
2,{} flower on top of a mountain with sunrise in the background,8,61.850894927978516
2,{} flower on top of a mountain with sunrise in the background,9,68.70240020751953
2,{} flower on top of a mountain with sunrise in the background,10,68.08029174804688
2,{} flower on top of a mountain with sunrise in the background,11,65.17869567871094
2,{} flower on top of a mountain with sunrise in the background,12,73.52751159667969
2,{} flower on top of a mountain with sunrise in the background,13,67.23974609375
2,{} flower on top of a mountain with sunrise in the background,14,74.880859375
2,{} flower on top of a mountain with sunrise in the background,15,67.4193344116211
2,{} flower on top of a mountain with sunrise in the background,16,66.82557678222656
2,{} flower on top of a mountain with sunrise in the background,17,73.10969543457031
2,{} flower on top of a mountain with sunrise in the background,18,72.93659210205078
2,{} flower on top of a mountain with sunrise in the background,19,72.87731170654297
2,{} flower on top of a mountain with sunrise in the background,20,69.97503662109375
2,{} flower on top of a mountain with sunrise in the background,21,73.91558837890625
2,{} flower on top of a mountain with sunrise in the background,22,65.1703872680664
2,{} flower on top of a mountain with sunrise in the background,23,67.44480895996094
2,{} flower on top of a mountain with sunrise in the background,24,72.4551773071289
2,{} flower on top of a mountain with sunrise in the background,25,68.4039306640625
2,{} flower on top of a mountain with sunrise in the background,26,67.8608169555664
2,{} flower on top of a mountain with sunrise in the background,27,71.40489196777344
2,{} flower on top of a mountain with sunrise in the background,28,63.90119171142578
2,{} flower on top of a mountain with sunrise in the background,29,72.40308380126953
2,{} flower on top of a mountain with sunrise in the background,30,62.55962371826172
2,{} flower on top of a mountain with sunrise in the background,31,67.45777893066406
2,{} flower on top of a mountain with sunrise in the background,32,71.25918579101562
2,{} flower on top of a mountain with sunrise in the background,33,62.33944320678711
2,{} flower on top of a mountain with sunrise in the background,34,70.17665100097656
2,{} flower on top of a mountain with sunrise in the background,35,62.97432327270508
2,{} flower on top of a mountain with sunrise in the background,36,74.25009155273438
2,{} flower on top of a mountain with sunrise in the background,37,74.72126770019531
2,{} flower on top of a mountain with sunrise in the background,38,73.2618637084961
2,{} flower on top of a mountain with sunrise in the background,39,71.67709350585938
2,{} flower on top of a mountain with sunrise in the background,40,64.89876556396484
2,{} flower on top of a mountain with sunrise in the background,41,64.18576049804688
2,{} flower on top of a mountain with sunrise in the background,42,73.80763244628906
2,{} flower on top of a mountain with sunrise in the background,43,71.030029296875
2,{} flower on top of a mountain with sunrise in the background,44,66.61803436279297
2,{} flower on top of a mountain with sunrise in the background,45,65.43020629882812
2,{} flower on top of a mountain with sunrise in the background,46,70.556396484375
