prompt_index,prompt,image_index,score
0,{} dog in grand canyon,0,29.04347801208496
0,{} dog in grand canyon,1,29.090913772583008
0,{} dog in grand canyon,2,31.443918228149414
0,{} dog in grand canyon,3,29.633485794067383
0,{} dog in grand canyon,4,29.191654205322266
0,{} dog in grand canyon,5,28.57074737548828
0,{} dog in grand canyon,6,29.575092315673828
0,{} dog in grand canyon,7,30.285024642944336
0,{} dog in grand canyon,8,27.43893814086914
0,{} dog in grand canyon,9,28.90993881225586
0,{} dog in grand canyon,10,29.749738693237305
0,{} dog in grand canyon,11,20.492889404296875
0,{} dog in grand canyon,12,29.537349700927734
0,{} dog in grand canyon,13,28.79832649230957
0,{} dog in grand canyon,14,29.525178909301758
0,{} dog in grand canyon,15,27.471464157104492
0,{} dog in grand canyon,16,30.598575592041016
0,{} dog in grand canyon,17,29.441940307617188
0,{} dog in grand canyon,18,29.68681526184082
0,{} dog in grand canyon,19,29.149930953979492
0,{} dog in grand canyon,20,28.253482818603516
0,{} dog in grand canyon,21,28.375316619873047
0,{} dog in grand canyon,22,29.24283790588379
0,{} dog in grand canyon,23,29.236492156982422
0,{} dog in grand canyon,24,26.247251510620117
0,{} dog in grand canyon,25,28.39810562133789
0,{} dog in grand canyon,26,27.947919845581055
0,{} dog in grand canyon,27,28.461589813232422
0,{} dog in grand canyon,28,30.652978897094727
0,{} dog in grand canyon,29,27.622425079345703
0,{} dog in grand canyon,30,30.697954177856445
0,{} dog in grand canyon,31,28.499845504760742
0,{} dog in grand canyon,32,28.35289192199707
0,{} dog in grand canyon,33,29.259925842285156
0,{} dog in grand canyon,34,27.68545150756836
0,{} dog in grand canyon,35,29.254003524780273
0,{} dog in grand canyon,36,29.739147186279297
0,{} dog in grand canyon,37,29.14164924621582
0,{} dog in grand canyon,38,29.735868453979492
0,{} dog in grand canyon,39,30.05918312072754
0,{} dog in grand canyon,40,29.537826538085938
0,{} dog in grand canyon,41,29.77753257751465
0,{} dog in grand canyon,42,29.290250778198242
0,{} dog in grand canyon,43,27.724815368652344
0,{} dog in grand canyon,44,29.290653228759766
0,{} dog in grand canyon,45,29.903629302978516
0,{} dog in grand canyon,46,29.115665435791016
0,{} dog in grand canyon,47,28.71512222290039
0,{} dog in grand canyon,48,28.738433837890625
0,{} dog in grand canyon,49,29.05162811279297
1,{} dog sitting at the beach with a view of the sea,0,25.428390502929688
