path,prompt
./celebA/342/416.jpg,"Close-up portrait of a handsome man with light skin, short wavy dark brown hair, light blue eyes, and light stubble. He wears a black shirt and looks confidently at the camera. Soft, warm lighting highlights his facial features. The background is solid black."
./celebA/342/2304.jpg,"Portrait of a young man with fair skin, short curly dark brown hair, light stubble, and light blue eyes. He wears an ornate, patterned outfit with golden and black tones. The lighting is warm and soft, enhancing his calm and regal expression. Background is softly blurred, suggesting an indoor setting with medieval or fantasy elements."
./celebA/342/2485.jpg,"Moody portrait of a man with fair skin, short dark wavy hair, light stubble, and soft facial features. He has calm blue eyes and wears a dark shirt. The lighting is low and dramatic, casting soft shadows across his face. Background is dim and warm-toned, creating a cinematic atmosphere."
./celebA/342/2531.jpg,"Professional headshot of a young man with very short buzzcut, blue eyes, and subtle smile. Clean-shaven with slight jawline stubble. Warm lighting, blurred background, formal attire. High-quality portrait with sharp focus on facial features."
./celebA/342/2936.jpg,"Close-up portrait of a young man with short dark wavy hair, bright blue-green eyes, defined eyebrows, and clean-shaven face. Neutral expression with slight smile. Indoor lighting with warm tones and softly blurred background."
./celebA/342/3246.jpg,"Young man with curly dark hair, bright smile showing teeth, blue-green eyes, and defined jawline. Professional photograph with warm lighting at formal event. Blurred background with soft bokeh lights."
./celebA/342/3303.jpg,"Close-up portrait of a man with tousled dark curly hair, light blue-green eyes, and subtle smile. Strong jawline, wearing formal attire with white collar visible. Professional photography with soft evening lighting and dark blurred background."
./celebA/342/3362.jpg,"Portrait of a man with dark curly hair, blue eyes, and defined jawline at Comic-Con event. Slight smile, light stubble, wearing white shirt. Background shows Comic-Con International banners with yellow accents."
./celebA/342/4259.jpg,"Close-up portrait of a man with dark curly hair, short beard and mustache, intense blue eyes, and defined cheekbones. Wearing formal attire at a premiere event. Warm lighting with blurred promotional backdrop."
./celebA/342/4677.jpg,"Dramatic portrait of a man with short dark hair in dim lighting. Face has blood streaks and a cut on cheek, intense expression with slightly parted lips. Gritty cinematic scene with dark moody atmosphere."
./celebA/342/5294.jpg,"Side profile portrait of a man with dark hair and defined jawline, smiling warmly. Clean-shaven with slight stubble, photographed at an event with soft lighting. Blurred yellow background visible in corner."
./celebA/342/6208.jpg,"Close-up portrait of a man with dark curly hair, bright blue eyes, and full beard. Wide genuine smile showing white teeth. Wearing formal attire with white collar. Professional photography at red carpet event with soft blurred background."
./celebA/342/10737.jpg,"Portrait of a man with wavy dark hair swept to one side, light stubble beard, and blue-green eyes. Neutral expression with slight smile. Wearing dark clothing at formal event with gold lettering visible in background. Professional photography with even lighting."
./celebA/342/14265.jpg,"Portrait of a man with tousled dark curly hair, light blue eyes, and short beard. Slight smile showing teeth. Wearing beige/tan collar jacket. Clean white background with professional studio lighting."
./celebA/342/16955.jpg,"Close-up of a man with dark curly hair and light stubble, looking upward with parted lips and intense expression. Warm golden lighting from above creates dramatic shadows. Earthy brown background suggests ancient or rustic setting. Cinematic film still quality."
./celebA/342/19331.jpg,"Close-up portrait of a man with tousled dark curly hair, striking blue eyes, and light stubble. Subtle smile, wearing a light gray casual shirt. Indoor evening lighting with dark green background. Relaxed, candid atmosphere."
