prompt_index,prompt,image_index,score
0,{} dog in grand canyon,0,57.853580474853516
0,{} dog in grand canyon,1,53.91018295288086
0,{} dog in grand canyon,2,58.59056091308594
0,{} dog in grand canyon,3,60.16382598876953
0,{} dog in grand canyon,4,60.21881103515625
0,{} dog in grand canyon,5,53.06156921386719
0,{} dog in grand canyon,6,56.79976272583008
0,{} dog in grand canyon,7,64.7507095336914
0,{} dog in grand canyon,8,56.98332977294922
0,{} dog in grand canyon,9,51.714866638183594
0,{} dog in grand canyon,10,56.75918960571289
0,{} dog in grand canyon,11,53.502113342285156
0,{} dog in grand canyon,12,60.38703918457031
0,{} dog in grand canyon,13,65.28981018066406
0,{} dog in grand canyon,14,56.641876220703125
0,{} dog in grand canyon,15,65.70994567871094
0,{} dog in grand canyon,16,57.303855895996094
0,{} dog in grand canyon,17,59.981346130371094
0,{} dog in grand canyon,18,54.46406555175781
0,{} dog in grand canyon,19,59.84695053100586
0,{} dog in grand canyon,20,55.5045051574707
0,{} dog in grand canyon,21,61.132972717285156
0,{} dog in grand canyon,22,55.48557662963867
0,{} dog in grand canyon,23,61.066162109375
0,{} dog in grand canyon,24,55.46371841430664
0,{} dog in grand canyon,25,55.70200729370117
0,{} dog in grand canyon,26,57.92415237426758
0,{} dog in grand canyon,27,55.95647048950195
0,{} dog in grand canyon,28,48.886138916015625
0,{} dog in grand canyon,29,55.27699661254883
0,{} dog in grand canyon,30,56.514949798583984
0,{} dog in grand canyon,31,61.86420822143555
0,{} dog in grand canyon,32,51.07539749145508
0,{} dog in grand canyon,33,56.63533020019531
0,{} dog in grand canyon,34,57.48383331298828
0,{} dog in grand canyon,35,58.557987213134766
0,{} dog in grand canyon,36,53.788780212402344
0,{} dog in grand canyon,37,49.55348205566406
0,{} dog in grand canyon,38,60.95999526977539
0,{} dog in grand canyon,39,54.67259979248047
0,{} dog in grand canyon,40,54.135929107666016
0,{} dog in grand canyon,41,59.65468215942383
0,{} dog in grand canyon,42,65.13467407226562
0,{} dog in grand canyon,43,64.42774963378906
0,{} dog in grand canyon,44,59.260528564453125
0,{} dog in grand canyon,45,48.468135833740234
0,{} dog in grand canyon,46,57.633270263671875
0,{} dog in grand canyon,47,56.59279251098633
0,{} dog in grand canyon,48,57.769615173339844
0,{} dog in grand canyon,49,55.35161590576172
1,{} dog sitting at the beach with a view of the sea,0,67.47985076904297
1,{} dog sitting at the beach with a view of the sea,1,66.22767639160156
1,{} dog sitting at the beach with a view of the sea,2,55.857242584228516
1,{} dog sitting at the beach with a view of the sea,3,66.55662536621094
1,{} dog sitting at the beach with a view of the sea,4,55.57433319091797
1,{} dog sitting at the beach with a view of the sea,5,56.455657958984375
1,{} dog sitting at the beach with a view of the sea,6,61.948490142822266
1,{} dog sitting at the beach with a view of the sea,7,60.08590316772461
1,{} dog sitting at the beach with a view of the sea,8,65.44708251953125
1,{} dog sitting at the beach with a view of the sea,9,60.22616195678711
1,{} dog sitting at the beach with a view of the sea,10,71.15754699707031
1,{} dog sitting at the beach with a view of the sea,11,60.47185516357422
1,{} dog sitting at the beach with a view of the sea,12,54.82634735107422
1,{} dog sitting at the beach with a view of the sea,13,53.15257263183594
1,{} dog sitting at the beach with a view of the sea,14,60.88716506958008
1,{} dog sitting at the beach with a view of the sea,15,60.79851531982422
1,{} dog sitting at the beach with a view of the sea,16,63.1424560546875
1,{} dog sitting at the beach with a view of the sea,17,58.0505485534668
1,{} dog sitting at the beach with a view of the sea,18,65.06298828125
1,{} dog sitting at the beach with a view of the sea,19,69.98526763916016
1,{} dog sitting at the beach with a view of the sea,20,59.70414733886719
1,{} dog sitting at the beach with a view of the sea,21,55.300872802734375
1,{} dog sitting at the beach with a view of the sea,22,64.82247924804688
1,{} dog sitting at the beach with a view of the sea,23,66.48591613769531
1,{} dog sitting at the beach with a view of the sea,24,64.45177459716797
1,{} dog sitting at the beach with a view of the sea,25,61.11412048339844
1,{} dog sitting at the beach with a view of the sea,26,63.61450958251953
1,{} dog sitting at the beach with a view of the sea,27,62.217098236083984
1,{} dog sitting at the beach with a view of the sea,28,65.94569396972656
1,{} dog sitting at the beach with a view of the sea,29,55.01909255981445
1,{} dog sitting at the beach with a view of the sea,30,60.732460021972656
1,{} dog sitting at the beach with a view of the sea,31,60.791351318359375
1,{} dog sitting at the beach with a view of the sea,32,66.06558227539062
1,{} dog sitting at the beach with a view of the sea,33,63.03973388671875
1,{} dog sitting at the beach with a view of the sea,34,66.78099822998047
1,{} dog sitting at the beach with a view of the sea,35,75.25823211669922
1,{} dog sitting at the beach with a view of the sea,36,59.76266860961914
1,{} dog sitting at the beach with a view of the sea,37,60.176658630371094
1,{} dog sitting at the beach with a view of the sea,38,62.100399017333984
1,{} dog sitting at the beach with a view of the sea,39,60.06145477294922
1,{} dog sitting at the beach with a view of the sea,40,62.27742004394531
1,{} dog sitting at the beach with a view of the sea,41,53.939414978027344
1,{} dog sitting at the beach with a view of the sea,42,53.581703186035156
1,{} dog sitting at the beach with a view of the sea,43,64.98231506347656
1,{} dog sitting at the beach with a view of the sea,44,66.92320251464844
1,{} dog sitting at the beach with a view of the sea,45,70.92564392089844
1,{} dog sitting at the beach with a view of the sea,46,56.12749481201172
1,{} dog sitting at the beach with a view of the sea,47,65.23530578613281
1,{} dog sitting at the beach with a view of the sea,48,64.39630126953125
1,{} dog sitting at the beach with a view of the sea,49,50.77391815185547
2,{} dog in times square,0,65.5571060180664
2,{} dog in times square,1,51.5472297668457
2,{} dog in times square,2,58.010215759277344
2,{} dog in times square,3,38.445560455322266
2,{} dog in times square,4,54.58186721801758
2,{} dog in times square,5,57.183128356933594
2,{} dog in times square,6,55.64310073852539
2,{} dog in times square,7,62.42878341674805
2,{} dog in times square,8,55.363433837890625
2,{} dog in times square,9,55.30297088623047
2,{} dog in times square,10,59.17806625366211
2,{} dog in times square,11,54.431915283203125
2,{} dog in times square,12,57.55141830444336
2,{} dog in times square,13,63.803768157958984
2,{} dog in times square,14,64.72551727294922
2,{} dog in times square,15,59.1939811706543
2,{} dog in times square,16,56.224365234375
2,{} dog in times square,17,55.04963302612305
2,{} dog in times square,18,58.61319351196289
2,{} dog in times square,19,55.31345748901367
2,{} dog in times square,20,58.69622802734375
2,{} dog in times square,21,59.72751998901367
2,{} dog in times square,22,59.07926559448242
2,{} dog in times square,23,55.09601974487305
2,{} dog in times square,24,60.07389831542969
2,{} dog in times square,25,59.31572341918945
2,{} dog in times square,26,51.83119201660156
2,{} dog in times square,27,56.27220916748047
2,{} dog in times square,28,64.10221862792969
2,{} dog in times square,29,60.10875701904297
2,{} dog in times square,30,57.72684860229492
2,{} dog in times square,31,58.98569107055664
2,{} dog in times square,32,56.57793426513672
2,{} dog in times square,33,59.086544036865234
2,{} dog in times square,34,64.73343658447266
2,{} dog in times square,35,60.93428039550781
2,{} dog in times square,36,58.0348014831543
2,{} dog in times square,37,57.26325607299805
2,{} dog in times square,38,59.91053009033203
2,{} dog in times square,39,52.94807052612305
2,{} dog in times square,40,55.528568267822266
2,{} dog in times square,41,63.28888702392578
2,{} dog in times square,42,59.173370361328125
2,{} dog in times square,43,55.33243942260742
2,{} dog in times square,44,59.36787796020508
2,{} dog in times square,45,56.0589599609375
2,{} dog in times square,46,63.162742614746094
2,{} dog in times square,47,56.58115768432617
2,{} dog in times square,48,61.902809143066406
2,{} dog in times square,49,53.01877975463867
3,{} dog wearing sunglasses,0,56.27796173095703
3,{} dog wearing sunglasses,1,56.984920501708984
3,{} dog wearing sunglasses,2,57.0467529296875
3,{} dog wearing sunglasses,3,55.08358383178711
3,{} dog wearing sunglasses,4,57.62458419799805
3,{} dog wearing sunglasses,5,59.491390228271484
3,{} dog wearing sunglasses,6,59.93047332763672
3,{} dog wearing sunglasses,7,55.42184829711914
3,{} dog wearing sunglasses,8,55.991172790527344
3,{} dog wearing sunglasses,9,59.30976867675781
3,{} dog wearing sunglasses,10,64.25145721435547
3,{} dog wearing sunglasses,11,49.85834884643555
3,{} dog wearing sunglasses,12,62.767940521240234
3,{} dog wearing sunglasses,13,59.5181999206543
3,{} dog wearing sunglasses,14,60.454837799072266
3,{} dog wearing sunglasses,15,53.10431671142578
3,{} dog wearing sunglasses,16,63.69538879394531
