prompt_index,prompt,image_index,score
0, grand canyon,0,23.786758422851562
0, grand canyon,1,23.911012649536133
0, grand canyon,2,24.757137298583984
0, grand canyon,3,23.87457275390625
0, grand canyon,4,24.079753875732422
0, grand canyon,5,23.276906967163086
0, grand canyon,6,23.500398635864258
0, grand canyon,7,25.188579559326172
0, grand canyon,8,24.10393714904785
0, grand canyon,9,21.09495735168457
0, grand canyon,10,24.258769989013672
0, grand canyon,11,23.47821807861328
0, grand canyon,12,25.00998306274414
0, grand canyon,13,23.637832641601562
0, grand canyon,14,23.015668869018555
0, grand canyon,15,23.70849609375
0, grand canyon,16,23.701828002929688
0, grand canyon,17,24.250797271728516
0, grand canyon,18,23.223936080932617
0, grand canyon,19,24.072460174560547
0, grand canyon,20,24.176315307617188
0, grand canyon,21,24.29570770263672
0, grand canyon,22,22.68291473388672
0, grand canyon,23,23.996658325195312
0, grand canyon,24,24.093713760375977
0, grand canyon,25,23.556581497192383
0, grand canyon,26,24.7823486328125
0, grand canyon,27,24.72429084777832
0, grand canyon,28,24.011608123779297
0, grand canyon,29,24.80723762512207
0, grand canyon,30,24.952911376953125
0, grand canyon,31,24.039012908935547
0, grand canyon,32,23.418073654174805
0, grand canyon,33,23.71367835998535
0, grand canyon,34,23.826677322387695
0, grand canyon,35,24.51725959777832
0, grand canyon,36,23.361801147460938
0, grand canyon,37,24.74187660217285
0, grand canyon,38,22.992368698120117
0, grand canyon,39,25.231536865234375
0, grand canyon,40,24.361541748046875
0, grand canyon,41,23.67118263244629
0, grand canyon,42,17.479318618774414
0, grand canyon,43,24.315811157226562
0, grand canyon,44,20.819503784179688
0, grand canyon,45,25.639305114746094
0, grand canyon,46,24.42392921447754
0, grand canyon,47,23.997106552124023
0, grand canyon,48,21.091115951538086
0, grand canyon,49,20.809566497802734
1, beach with a view of the sea,0,19.539995193481445
1, beach with a view of the sea,1,19.81655502319336
1, beach with a view of the sea,2,22.235145568847656
1, beach with a view of the sea,3,21.88294792175293
1, beach with a view of the sea,4,22.83834457397461
1, beach with a view of the sea,5,23.66856575012207
1, beach with a view of the sea,6,21.178207397460938
1, beach with a view of the sea,7,22.79939079284668
1, beach with a view of the sea,8,23.387136459350586
1, beach with a view of the sea,9,19.0640926361084
1, beach with a view of the sea,10,22.055131912231445
1, beach with a view of the sea,11,22.10435676574707
1, beach with a view of the sea,12,22.495725631713867
1, beach with a view of the sea,13,21.824928283691406
1, beach with a view of the sea,14,18.936443328857422
1, beach with a view of the sea,15,19.215173721313477
1, beach with a view of the sea,16,20.06806755065918
1, beach with a view of the sea,17,21.812469482421875
1, beach with a view of the sea,18,20.08232307434082
1, beach with a view of the sea,19,19.711566925048828
1, beach with a view of the sea,20,20.32207489013672
1, beach with a view of the sea,21,18.806934356689453
1, beach with a view of the sea,22,18.685335159301758
1, beach with a view of the sea,23,19.793048858642578
1, beach with a view of the sea,24,18.738435745239258
1, beach with a view of the sea,25,22.44767189025879
1, beach with a view of the sea,26,17.791635513305664
1, beach with a view of the sea,27,19.166275024414062
1, beach with a view of the sea,28,20.937210083007812
1, beach with a view of the sea,29,21.415515899658203
1, beach with a view of the sea,30,21.543140411376953
1, beach with a view of the sea,31,22.683650970458984
1, beach with a view of the sea,32,20.687406539916992
1, beach with a view of the sea,33,20.199363708496094
1, beach with a view of the sea,34,21.659263610839844
1, beach with a view of the sea,35,21.133909225463867
1, beach with a view of the sea,36,19.634254455566406
1, beach with a view of the sea,37,18.685829162597656
1, beach with a view of the sea,38,19.664718627929688
1, beach with a view of the sea,39,21.215829849243164
1, beach with a view of the sea,40,17.265954971313477
1, beach with a view of the sea,41,20.94256591796875
1, beach with a view of the sea,42,22.216182708740234
1, beach with a view of the sea,43,19.163625717163086
1, beach with a view of the sea,44,22.69013214111328
1, beach with a view of the sea,45,20.895681381225586
1, beach with a view of the sea,46,20.090072631835938
1, beach with a view of the sea,47,18.94021987915039
1, beach with a view of the sea,48,20.508472442626953
1, beach with a view of the sea,49,20.981426239013672
2, times square,0,24.295202255249023
2, times square,1,24.038389205932617
2, times square,2,23.102760314941406
2, times square,3,23.722396850585938
2, times square,4,24.497953414916992
2, times square,5,23.736427307128906
2, times square,6,23.313756942749023
2, times square,7,23.464574813842773
2, times square,8,21.348188400268555
2, times square,9,23.198196411132812
2, times square,10,23.481054306030273
2, times square,11,22.575607299804688
2, times square,12,22.894620895385742
2, times square,13,23.072099685668945
2, times square,14,22.499313354492188
2, times square,15,22.613100051879883
2, times square,16,23.74420166015625
2, times square,17,23.90705108642578
2, times square,18,23.242416381835938
2, times square,19,22.466798782348633
2, times square,20,22.56389045715332
2, times square,21,22.941268920898438
2, times square,22,22.176097869873047
2, times square,23,22.594505310058594
2, times square,24,23.07256317138672
2, times square,25,24.1361083984375
2, times square,26,23.19412612915039
2, times square,27,23.70686149597168
2, times square,28,23.21062469482422
2, times square,29,22.633893966674805
2, times square,30,22.753156661987305
2, times square,31,22.420066833496094
2, times square,32,22.05055046081543
2, times square,33,22.528844833374023
2, times square,34,24.336347579956055
2, times square,35,21.485097885131836
2, times square,36,23.534191131591797
2, times square,37,23.454818725585938
2, times square,38,22.284902572631836
2, times square,39,21.580955505371094
2, times square,40,23.149253845214844
2, times square,41,23.61234474182129
2, times square,42,23.125492095947266
2, times square,43,23.367586135864258
2, times square,44,23.696388244628906
2, times square,45,22.381290435791016
2, times square,46,23.831266403198242
2, times square,47,23.363224029541016
2, times square,48,22.39145278930664
2, times square,49,22.812789916992188
3, wearing sunglasses,0,23.141162872314453
3, wearing sunglasses,1,23.75136375427246
3, wearing sunglasses,2,23.420896530151367
3, wearing sunglasses,3,23.495018005371094
3, wearing sunglasses,4,24.087608337402344
3, wearing sunglasses,5,23.618427276611328
3, wearing sunglasses,6,22.192712783813477
3, wearing sunglasses,7,23.55823516845703
3, wearing sunglasses,8,23.626903533935547
3, wearing sunglasses,9,22.769081115722656
3, wearing sunglasses,10,23.53360939025879
3, wearing sunglasses,11,23.30385971069336
3, wearing sunglasses,12,23.667518615722656
