prompt, custom_prompt_A, custom_prompt_B, custom_prompt_C
{} wooden pot in grand canyon, a wooden pot, grand canyon, NA
{} wooden pot with mountains and sunset in the background, a wooden pot, mountains and sunset, NA
{} wooden pot floating in a pool, a wooden pot, swimming pool, NA
a wide shot of {} wooden pot in times square, a wooden pot, times square, NA
{} wooden pot and chocolate cake on a table, a wooden pot, chocolate cake, NA
rose flowers in {} wooden pot on a table, a wooden pot, rose flowers, NA
marigold flowers in {} wooden pot, a wooden pot, marigold flowers, NA
{} wooden pot at the entrance into a medieval castle, a wooden pot, medieval castle, NA
{} wooden pot with pens in it, a wooden pot, pens, NA
a handbag in the style of {} wooden pot , a wooden pot, handbag, NA
a teapot in the style of {} wooden pot, a wooden pot, teapot, NA
a gate in the style of {} wooden pot, a wooden pot, a gate, NA
a coffee cup in the style of {} wooden pot on a table, a wooden pot, coffee cup, NA
