prompt_index,prompt,image_index,score
0,{} dog in grand canyon,0,62.35308074951172
0,{} dog in grand canyon,1,62.80402374267578
0,{} dog in grand canyon,2,61.124778747558594
0,{} dog in grand canyon,3,64.3631362915039
0,{} dog in grand canyon,4,69.76600646972656
0,{} dog in grand canyon,5,63.115455627441406
0,{} dog in grand canyon,6,51.236759185791016
0,{} dog in grand canyon,7,51.37125778198242
0,{} dog in grand canyon,8,61.693538665771484
0,{} dog in grand canyon,9,58.94438171386719
0,{} dog in grand canyon,10,62.190673828125
0,{} dog in grand canyon,11,57.359153747558594
0,{} dog in grand canyon,12,68.89276123046875
0,{} dog in grand canyon,13,61.651947021484375
0,{} dog in grand canyon,14,54.77555465698242
0,{} dog in grand canyon,15,58.67887878417969
0,{} dog in grand canyon,16,62.79108428955078
0,{} dog in grand canyon,17,61.03328323364258
0,{} dog in grand canyon,18,55.03868865966797
0,{} dog in grand canyon,19,69.59628295898438
0,{} dog in grand canyon,20,63.52495574951172
0,{} dog in grand canyon,21,68.78350830078125
0,{} dog in grand canyon,22,69.65821075439453
0,{} dog in grand canyon,23,55.80110549926758
0,{} dog in grand canyon,24,58.63323974609375
0,{} dog in grand canyon,25,61.745853424072266
0,{} dog in grand canyon,26,58.819114685058594
0,{} dog in grand canyon,27,64.62665557861328
0,{} dog in grand canyon,28,60.86350631713867
0,{} dog in grand canyon,29,67.99301147460938
0,{} dog in grand canyon,30,60.90973663330078
0,{} dog in grand canyon,31,62.864227294921875
0,{} dog in grand canyon,32,60.45049285888672
0,{} dog in grand canyon,33,56.851898193359375
0,{} dog in grand canyon,34,57.967247009277344
0,{} dog in grand canyon,35,56.644718170166016
0,{} dog in grand canyon,36,64.51933288574219
0,{} dog in grand canyon,37,65.80722045898438
0,{} dog in grand canyon,38,68.5169906616211
0,{} dog in grand canyon,39,68.82508850097656
0,{} dog in grand canyon,40,53.487674713134766
0,{} dog in grand canyon,41,53.456295013427734
0,{} dog in grand canyon,42,56.248451232910156
0,{} dog in grand canyon,43,60.93814468383789
0,{} dog in grand canyon,44,63.25855255126953
0,{} dog in grand canyon,45,62.2952880859375
0,{} dog in grand canyon,46,64.365234375
0,{} dog in grand canyon,47,59.984493255615234
0,{} dog in grand canyon,48,55.83526611328125
0,{} dog in grand canyon,49,67.86993408203125
1,{} dog sitting at the beach with a view of the sea,0,71.19507598876953
1,{} dog sitting at the beach with a view of the sea,1,70.6500473022461
1,{} dog sitting at the beach with a view of the sea,2,73.49315643310547
1,{} dog sitting at the beach with a view of the sea,3,74.53361511230469
1,{} dog sitting at the beach with a view of the sea,4,72.33760070800781
1,{} dog sitting at the beach with a view of the sea,5,65.86797332763672
1,{} dog sitting at the beach with a view of the sea,6,67.02323913574219
1,{} dog sitting at the beach with a view of the sea,7,70.5826187133789
1,{} dog sitting at the beach with a view of the sea,8,71.65428161621094
1,{} dog sitting at the beach with a view of the sea,9,74.40676879882812
1,{} dog sitting at the beach with a view of the sea,10,77.05380249023438
1,{} dog sitting at the beach with a view of the sea,11,74.13209533691406
1,{} dog sitting at the beach with a view of the sea,12,73.79505920410156
1,{} dog sitting at the beach with a view of the sea,13,78.36701965332031
1,{} dog sitting at the beach with a view of the sea,14,66.25062561035156
1,{} dog sitting at the beach with a view of the sea,15,70.37079620361328
1,{} dog sitting at the beach with a view of the sea,16,74.22261047363281
1,{} dog sitting at the beach with a view of the sea,17,67.2033462524414
1,{} dog sitting at the beach with a view of the sea,18,71.98280334472656
1,{} dog sitting at the beach with a view of the sea,19,75.63867950439453
1,{} dog sitting at the beach with a view of the sea,20,72.63383483886719
1,{} dog sitting at the beach with a view of the sea,21,75.16970825195312
1,{} dog sitting at the beach with a view of the sea,22,76.31936645507812
1,{} dog sitting at the beach with a view of the sea,23,67.538818359375
