prompt_index,prompt,image_index,score
0,{} tortoise plushy in grand canyon,0,39.653160095214844
0,{} tortoise plushy in grand canyon,1,38.27008056640625
0,{} tortoise plushy in grand canyon,2,38.28260803222656
0,{} tortoise plushy in grand canyon,3,38.91802978515625
0,{} tortoise plushy in grand canyon,4,38.19993591308594
0,{} tortoise plushy in grand canyon,5,28.459171295166016
0,{} tortoise plushy in grand canyon,6,38.951663970947266
0,{} tortoise plushy in grand canyon,7,38.09504699707031
0,{} tortoise plushy in grand canyon,8,39.55510711669922
0,{} tortoise plushy in grand canyon,9,36.9083251953125
0,{} tortoise plushy in grand canyon,10,36.29989242553711
0,{} tortoise plushy in grand canyon,11,34.61037826538086
0,{} tortoise plushy in grand canyon,12,38.66914749145508
0,{} tortoise plushy in grand canyon,13,40.4592170715332
0,{} tortoise plushy in grand canyon,14,36.63703155517578
0,{} tortoise plushy in grand canyon,15,40.276710510253906
0,{} tortoise plushy in grand canyon,16,39.59198760986328
0,{} tortoise plushy in grand canyon,17,39.66948699951172
0,{} tortoise plushy in grand canyon,18,36.035945892333984
0,{} tortoise plushy in grand canyon,19,40.66718673706055
0,{} tortoise plushy in grand canyon,20,39.135498046875
0,{} tortoise plushy in grand canyon,21,40.004844665527344
0,{} tortoise plushy in grand canyon,22,38.647727966308594
0,{} tortoise plushy in grand canyon,23,38.88250732421875
0,{} tortoise plushy in grand canyon,24,39.50294494628906
0,{} tortoise plushy in grand canyon,25,39.02955627441406
0,{} tortoise plushy in grand canyon,26,37.99320983886719
0,{} tortoise plushy in grand canyon,27,38.50678253173828
0,{} tortoise plushy in grand canyon,28,39.70968246459961
0,{} tortoise plushy in grand canyon,29,39.11933898925781
0,{} tortoise plushy in grand canyon,30,38.958580017089844
0,{} tortoise plushy in grand canyon,31,38.3766975402832
0,{} tortoise plushy in grand canyon,32,36.466392517089844
0,{} tortoise plushy in grand canyon,33,38.9387092590332
0,{} tortoise plushy in grand canyon,34,33.27444839477539
0,{} tortoise plushy in grand canyon,35,39.916473388671875
0,{} tortoise plushy in grand canyon,36,41.30624008178711
0,{} tortoise plushy in grand canyon,37,38.73946762084961
0,{} tortoise plushy in grand canyon,38,41.45394515991211
0,{} tortoise plushy in grand canyon,39,37.4943733215332
0,{} tortoise plushy in grand canyon,40,36.12380599975586
0,{} tortoise plushy in grand canyon,41,36.94254684448242
0,{} tortoise plushy in grand canyon,42,35.78669357299805
0,{} tortoise plushy in grand canyon,43,29.195165634155273
0,{} tortoise plushy in grand canyon,44,31.256481170654297
0,{} tortoise plushy in grand canyon,45,36.65740966796875
0,{} tortoise plushy in grand canyon,46,38.72602462768555
0,{} tortoise plushy in grand canyon,47,42.15355682373047
0,{} tortoise plushy in grand canyon,48,36.505653381347656
0,{} tortoise plushy in grand canyon,49,38.09723663330078
1,{} tortoise plushy swimming in a pool,0,35.17498779296875
1,{} tortoise plushy swimming in a pool,1,32.04937744140625
1,{} tortoise plushy swimming in a pool,2,34.42760467529297
1,{} tortoise plushy swimming in a pool,3,34.446598052978516
1,{} tortoise plushy swimming in a pool,4,31.189483642578125
1,{} tortoise plushy swimming in a pool,5,32.686988830566406
1,{} tortoise plushy swimming in a pool,6,31.658750534057617
1,{} tortoise plushy swimming in a pool,7,32.74988555908203
1,{} tortoise plushy swimming in a pool,8,30.867206573486328
1,{} tortoise plushy swimming in a pool,9,33.82506561279297
1,{} tortoise plushy swimming in a pool,10,32.48036193847656
1,{} tortoise plushy swimming in a pool,11,32.12350845336914
1,{} tortoise plushy swimming in a pool,12,30.764739990234375
1,{} tortoise plushy swimming in a pool,13,31.52874183654785
1,{} tortoise plushy swimming in a pool,14,32.549522399902344
1,{} tortoise plushy swimming in a pool,15,36.295772552490234
1,{} tortoise plushy swimming in a pool,16,33.14665985107422
1,{} tortoise plushy swimming in a pool,17,30.787260055541992
1,{} tortoise plushy swimming in a pool,18,34.71986770629883
1,{} tortoise plushy swimming in a pool,19,33.181400299072266
1,{} tortoise plushy swimming in a pool,20,30.368053436279297
1,{} tortoise plushy swimming in a pool,21,31.872182846069336
1,{} tortoise plushy swimming in a pool,22,25.466453552246094
1,{} tortoise plushy swimming in a pool,23,27.546369552612305
1,{} tortoise plushy swimming in a pool,24,34.06428909301758
1,{} tortoise plushy swimming in a pool,25,33.87054443359375
1,{} tortoise plushy swimming in a pool,26,33.58092498779297
1,{} tortoise plushy swimming in a pool,27,31.02495002746582
1,{} tortoise plushy swimming in a pool,28,30.744529724121094
1,{} tortoise plushy swimming in a pool,29,31.134689331054688
1,{} tortoise plushy swimming in a pool,30,35.300472259521484
1,{} tortoise plushy swimming in a pool,31,30.836729049682617
1,{} tortoise plushy swimming in a pool,32,30.609630584716797
1,{} tortoise plushy swimming in a pool,33,31.875139236450195
1,{} tortoise plushy swimming in a pool,34,31.66885757446289
1,{} tortoise plushy swimming in a pool,35,33.60221481323242
1,{} tortoise plushy swimming in a pool,36,33.199058532714844
1,{} tortoise plushy swimming in a pool,37,33.98276138305664
1,{} tortoise plushy swimming in a pool,38,32.807952880859375
1,{} tortoise plushy swimming in a pool,39,33.83676528930664
1,{} tortoise plushy swimming in a pool,40,31.690519332885742
1,{} tortoise plushy swimming in a pool,41,33.531402587890625
1,{} tortoise plushy swimming in a pool,42,33.02348327636719
1,{} tortoise plushy swimming in a pool,43,32.934974670410156
1,{} tortoise plushy swimming in a pool,44,31.67351531982422
1,{} tortoise plushy swimming in a pool,45,32.0845832824707
1,{} tortoise plushy swimming in a pool,46,33.0915641784668
1,{} tortoise plushy swimming in a pool,47,32.41783905029297
1,{} tortoise plushy swimming in a pool,48,32.511512756347656
1,{} tortoise plushy swimming in a pool,49,34.21440505981445
2,{} tortoise plushy sitting at the beach with a view of the sea,0,33.13514709472656
2,{} tortoise plushy sitting at the beach with a view of the sea,1,32.36674499511719
2,{} tortoise plushy sitting at the beach with a view of the sea,2,29.04425811767578
2,{} tortoise plushy sitting at the beach with a view of the sea,3,31.05257225036621
2,{} tortoise plushy sitting at the beach with a view of the sea,4,32.015785217285156
2,{} tortoise plushy sitting at the beach with a view of the sea,5,27.351177215576172
2,{} tortoise plushy sitting at the beach with a view of the sea,6,30.153072357177734
2,{} tortoise plushy sitting at the beach with a view of the sea,7,30.802005767822266
2,{} tortoise plushy sitting at the beach with a view of the sea,8,28.784948348999023
2,{} tortoise plushy sitting at the beach with a view of the sea,9,29.580921173095703
2,{} tortoise plushy sitting at the beach with a view of the sea,10,28.725576400756836
2,{} tortoise plushy sitting at the beach with a view of the sea,11,25.673919677734375
2,{} tortoise plushy sitting at the beach with a view of the sea,12,30.78243637084961
2,{} tortoise plushy sitting at the beach with a view of the sea,13,29.25889778137207
2,{} tortoise plushy sitting at the beach with a view of the sea,14,29.010337829589844
2,{} tortoise plushy sitting at the beach with a view of the sea,15,30.362802505493164
2,{} tortoise plushy sitting at the beach with a view of the sea,16,30.87882423400879
2,{} tortoise plushy sitting at the beach with a view of the sea,17,33.84467315673828
2,{} tortoise plushy sitting at the beach with a view of the sea,18,31.14545440673828
2,{} tortoise plushy sitting at the beach with a view of the sea,19,27.512954711914062
