prompt_index,prompt,image_index,score
0,{} dog in grand canyon,0,0.2748815417289734
0,{} dog in grand canyon,1,0.14883562922477722
0,{} dog in grand canyon,2,0.19449710845947266
0,{} dog in grand canyon,3,0.21255147457122803
0,{} dog in grand canyon,4,0.15666648745536804
0,{} dog in grand canyon,5,0.21997319161891937
0,{} dog in grand canyon,6,0.16127927601337433
0,{} dog in grand canyon,7,0.1760549396276474
0,{} dog in grand canyon,8,0.25715315341949463
0,{} dog in grand canyon,9,0.27781373262405396
0,{} dog in grand canyon,10,0.18319171667099
0,{} dog in grand canyon,11,0.0460868701338768
0,{} dog in grand canyon,12,0.17754614353179932
0,{} dog in grand canyon,13,0.24323812127113342
0,{} dog in grand canyon,14,0.140584796667099
0,{} dog in grand canyon,15,0.32202935218811035
0,{} dog in grand canyon,16,0.17908424139022827
0,{} dog in grand canyon,17,0.2514905333518982
0,{} dog in grand canyon,18,0.11906728148460388
0,{} dog in grand canyon,19,0.20313410460948944
0,{} dog in grand canyon,20,0.15690337121486664
0,{} dog in grand canyon,21,0.263350248336792
0,{} dog in grand canyon,22,0.19137634336948395
0,{} dog in grand canyon,23,0.22244051098823547
0,{} dog in grand canyon,24,0.16572891175746918
0,{} dog in grand canyon,25,0.27410614490509033
0,{} dog in grand canyon,26,0.14320404827594757
0,{} dog in grand canyon,27,0.3111140727996826
0,{} dog in grand canyon,28,0.1621432900428772
0,{} dog in grand canyon,29,0.1685454249382019
0,{} dog in grand canyon,30,0.19430950284004211
0,{} dog in grand canyon,31,0.2232939451932907
0,{} dog in grand canyon,32,0.18080824613571167
0,{} dog in grand canyon,33,0.2237221747636795
0,{} dog in grand canyon,34,0.19190183281898499
0,{} dog in grand canyon,35,0.16329115629196167
0,{} dog in grand canyon,36,0.2105262577533722
0,{} dog in grand canyon,37,0.1768663227558136
0,{} dog in grand canyon,38,0.20829668641090393
0,{} dog in grand canyon,39,0.23385965824127197
0,{} dog in grand canyon,40,0.25638341903686523
0,{} dog in grand canyon,41,0.19827711582183838
0,{} dog in grand canyon,42,0.40377306938171387
0,{} dog in grand canyon,43,0.3016563057899475
0,{} dog in grand canyon,44,0.230606809258461
0,{} dog in grand canyon,45,0.19577854871749878
0,{} dog in grand canyon,46,0.20415835082530975
0,{} dog in grand canyon,47,0.124958336353302
0,{} dog in grand canyon,48,0.2572404742240906
0,{} dog in grand canyon,49,0.15030719339847565
1,{} dog sitting at the beach with a view of the sea,0,0.3661279082298279
1,{} dog sitting at the beach with a view of the sea,1,0.4484584331512451
1,{} dog sitting at the beach with a view of the sea,2,0.22972609102725983
1,{} dog sitting at the beach with a view of the sea,3,0.3881925046443939
1,{} dog sitting at the beach with a view of the sea,4,0.22486340999603271
1,{} dog sitting at the beach with a view of the sea,5,0.07452922314405441
1,{} dog sitting at the beach with a view of the sea,6,0.3911280930042267
1,{} dog sitting at the beach with a view of the sea,7,0.3623160719871521
1,{} dog sitting at the beach with a view of the sea,8,0.4657394289970398
1,{} dog sitting at the beach with a view of the sea,9,0.21368852257728577
1,{} dog sitting at the beach with a view of the sea,10,0.37367725372314453
1,{} dog sitting at the beach with a view of the sea,11,0.377625048160553
1,{} dog sitting at the beach with a view of the sea,12,0.38227853178977966
1,{} dog sitting at the beach with a view of the sea,13,0.29985618591308594
1,{} dog sitting at the beach with a view of the sea,14,0.2732640504837036
1,{} dog sitting at the beach with a view of the sea,15,0.2717030644416809
1,{} dog sitting at the beach with a view of the sea,16,0.29187965393066406
1,{} dog sitting at the beach with a view of the sea,17,0.18447013199329376
1,{} dog sitting at the beach with a view of the sea,18,0.5104050636291504
1,{} dog sitting at the beach with a view of the sea,19,0.4331433176994324
1,{} dog sitting at the beach with a view of the sea,20,0.3032512366771698
1,{} dog sitting at the beach with a view of the sea,21,0.30950045585632324
1,{} dog sitting at the beach with a view of the sea,22,0.4211432635784149
1,{} dog sitting at the beach with a view of the sea,23,0.398983359336853
1,{} dog sitting at the beach with a view of the sea,24,0.2168765664100647
1,{} dog sitting at the beach with a view of the sea,25,0.23628811538219452
1,{} dog sitting at the beach with a view of the sea,26,0.0019326955080032349
