prompt_index,prompt,image_index,score
0,{} teddybear in grand canyon,0,0.42560189962387085
0,{} teddybear in grand canyon,1,0.4193355441093445
0,{} teddybear in grand canyon,2,0.4708732068538666
0,{} teddybear in grand canyon,3,0.4071546494960785
0,{} teddybear in grand canyon,4,0.4270918667316437
0,{} teddybear in grand canyon,5,0.49828600883483887
0,{} teddybear in grand canyon,6,0.4293522834777832
0,{} teddybear in grand canyon,7,0.41970521211624146
0,{} teddybear in grand canyon,8,0.44479843974113464
0,{} teddybear in grand canyon,9,0.3742157220840454
0,{} teddybear in grand canyon,10,0.45741981267929077
0,{} teddybear in grand canyon,11,0.42443907260894775
0,{} teddybear in grand canyon,12,0.40670353174209595
0,{} teddybear in grand canyon,13,0.4253907799720764
0,{} teddybear in grand canyon,14,0.45430976152420044
0,{} teddybear in grand canyon,15,0.4590246379375458
0,{} teddybear in grand canyon,16,0.383951336145401
0,{} teddybear in grand canyon,17,0.5278053283691406
0,{} teddybear in grand canyon,18,0.4078661799430847
0,{} teddybear in grand canyon,19,0.46846264600753784
0,{} teddybear in grand canyon,20,0.38521918654441833
0,{} teddybear in grand canyon,21,0.4761956036090851
0,{} teddybear in grand canyon,22,0.4091441035270691
0,{} teddybear in grand canyon,23,0.2919025421142578
0,{} teddybear in grand canyon,24,0.4511679410934448
0,{} teddybear in grand canyon,25,0.4766801595687866
0,{} teddybear in grand canyon,26,0.4241047501564026
0,{} teddybear in grand canyon,27,0.36817964911460876
0,{} teddybear in grand canyon,28,0.36879026889801025
0,{} teddybear in grand canyon,29,0.4462599456310272
0,{} teddybear in grand canyon,30,0.4548994302749634
0,{} teddybear in grand canyon,31,0.3130049407482147
0,{} teddybear in grand canyon,32,0.38941633701324463
0,{} teddybear in grand canyon,33,0.3806836009025574
0,{} teddybear in grand canyon,34,0.40689247846603394
0,{} teddybear in grand canyon,35,0.340911865234375
0,{} teddybear in grand canyon,36,0.48089370131492615
0,{} teddybear in grand canyon,37,0.3998160660266876
0,{} teddybear in grand canyon,38,0.4427434206008911
0,{} teddybear in grand canyon,39,0.4053443670272827
0,{} teddybear in grand canyon,40,0.3425629138946533
0,{} teddybear in grand canyon,41,0.45947182178497314
0,{} teddybear in grand canyon,42,0.39896881580352783
0,{} teddybear in grand canyon,43,0.4415929317474365
0,{} teddybear in grand canyon,44,0.37436044216156006
0,{} teddybear in grand canyon,45,0.5245494246482849
0,{} teddybear in grand canyon,46,0.42138606309890747
0,{} teddybear in grand canyon,47,0.484272837638855
0,{} teddybear in grand canyon,48,0.3880787193775177
0,{} teddybear in grand canyon,49,0.37655940651893616
1,{} teddybear sitting at the beach with a view of the sea,0,0.5751327872276306
1,{} teddybear sitting at the beach with a view of the sea,1,0.5949506163597107
1,{} teddybear sitting at the beach with a view of the sea,2,0.5692201852798462
1,{} teddybear sitting at the beach with a view of the sea,3,0.5883966088294983
1,{} teddybear sitting at the beach with a view of the sea,4,0.5501000881195068
1,{} teddybear sitting at the beach with a view of the sea,5,0.5771477818489075
1,{} teddybear sitting at the beach with a view of the sea,6,0.5832423567771912
1,{} teddybear sitting at the beach with a view of the sea,7,0.5403791666030884
1,{} teddybear sitting at the beach with a view of the sea,8,0.5605660676956177
1,{} teddybear sitting at the beach with a view of the sea,9,0.5877789855003357
1,{} teddybear sitting at the beach with a view of the sea,10,0.544969916343689
