prompt_index,prompt,image_index,score
0,{} flower growing in the desert,0,26.569990158081055
0,{} flower growing in the desert,1,25.061697006225586
0,{} flower growing in the desert,2,29.415470123291016
0,{} flower growing in the desert,3,26.25924301147461
0,{} flower growing in the desert,4,27.478227615356445
0,{} flower growing in the desert,5,24.604433059692383
0,{} flower growing in the desert,6,24.169090270996094
0,{} flower growing in the desert,7,25.92838478088379
0,{} flower growing in the desert,8,27.35326385498047
0,{} flower growing in the desert,9,25.75245475769043
0,{} flower growing in the desert,10,27.455272674560547
0,{} flower growing in the desert,11,25.910537719726562
0,{} flower growing in the desert,12,27.30767059326172
0,{} flower growing in the desert,13,25.634838104248047
0,{} flower growing in the desert,14,26.937843322753906
0,{} flower growing in the desert,15,26.74030303955078
0,{} flower growing in the desert,16,26.109622955322266
0,{} flower growing in the desert,17,26.66318702697754
0,{} flower growing in the desert,18,27.972639083862305
0,{} flower growing in the desert,19,27.545419692993164
0,{} flower growing in the desert,20,27.109182357788086
0,{} flower growing in the desert,21,26.467317581176758
0,{} flower growing in the desert,22,25.674602508544922
0,{} flower growing in the desert,23,26.592439651489258
0,{} flower growing in the desert,24,25.964509963989258
0,{} flower growing in the desert,25,26.620769500732422
0,{} flower growing in the desert,26,27.590755462646484
0,{} flower growing in the desert,27,26.276756286621094
0,{} flower growing in the desert,28,24.205974578857422
0,{} flower growing in the desert,29,25.565444946289062
0,{} flower growing in the desert,30,27.80478286743164
0,{} flower growing in the desert,31,25.96065330505371
0,{} flower growing in the desert,32,25.228769302368164
0,{} flower growing in the desert,33,28.02618408203125
0,{} flower growing in the desert,34,25.705236434936523
0,{} flower growing in the desert,35,24.952041625976562
0,{} flower growing in the desert,36,27.734619140625
0,{} flower growing in the desert,37,27.635324478149414
0,{} flower growing in the desert,38,28.585466384887695
0,{} flower growing in the desert,39,25.21759605407715
0,{} flower growing in the desert,40,25.853515625
0,{} flower growing in the desert,41,29.1964168548584
0,{} flower growing in the desert,42,27.05308723449707
0,{} flower growing in the desert,43,27.461130142211914
0,{} flower growing in the desert,44,26.336837768554688
0,{} flower growing in the desert,45,28.160249710083008
0,{} flower growing in the desert,46,25.471311569213867
0,{} flower growing in the desert,47,26.97593879699707
0,{} flower growing in the desert,48,23.26127052307129
0,{} flower growing in the desert,49,25.027936935424805
1,{} flower at a beach with a view of the seashore,0,28.10555648803711
1,{} flower at a beach with a view of the seashore,1,28.177928924560547
1,{} flower at a beach with a view of the seashore,2,27.111928939819336
1,{} flower at a beach with a view of the seashore,3,27.33956527709961
1,{} flower at a beach with a view of the seashore,4,28.315109252929688
1,{} flower at a beach with a view of the seashore,5,25.113204956054688
1,{} flower at a beach with a view of the seashore,6,26.989370346069336
1,{} flower at a beach with a view of the seashore,7,26.41233253479004
1,{} flower at a beach with a view of the seashore,8,28.05343246459961
1,{} flower at a beach with a view of the seashore,9,28.325820922851562
1,{} flower at a beach with a view of the seashore,10,28.088300704956055
1,{} flower at a beach with a view of the seashore,11,28.25201988220215
1,{} flower at a beach with a view of the seashore,12,26.99284553527832
1,{} flower at a beach with a view of the seashore,13,27.763948440551758
1,{} flower at a beach with a view of the seashore,14,28.074735641479492
1,{} flower at a beach with a view of the seashore,15,25.85911750793457
1,{} flower at a beach with a view of the seashore,16,27.88164520263672
1,{} flower at a beach with a view of the seashore,17,27.365652084350586
1,{} flower at a beach with a view of the seashore,18,27.218917846679688
1,{} flower at a beach with a view of the seashore,19,26.833534240722656
1,{} flower at a beach with a view of the seashore,20,27.389869689941406
1,{} flower at a beach with a view of the seashore,21,26.213233947753906
1,{} flower at a beach with a view of the seashore,22,28.306888580322266
1,{} flower at a beach with a view of the seashore,23,26.403087615966797
1,{} flower at a beach with a view of the seashore,24,26.576745986938477
1,{} flower at a beach with a view of the seashore,25,27.459808349609375
1,{} flower at a beach with a view of the seashore,26,26.1982479095459
1,{} flower at a beach with a view of the seashore,27,27.24063491821289
1,{} flower at a beach with a view of the seashore,28,27.646303176879883
1,{} flower at a beach with a view of the seashore,29,26.233285903930664
1,{} flower at a beach with a view of the seashore,30,27.618785858154297
1,{} flower at a beach with a view of the seashore,31,28.718000411987305
1,{} flower at a beach with a view of the seashore,32,27.175241470336914
