prompt_index,prompt,image_index,score
0,{} barn in snowy ice,0,22.177743911743164
0,{} barn in snowy ice,1,26.09083366394043
0,{} barn in snowy ice,2,23.741418838500977
0,{} barn in snowy ice,3,25.03765296936035
0,{} barn in snowy ice,4,16.783390045166016
0,{} barn in snowy ice,5,13.037434577941895
0,{} barn in snowy ice,6,24.846508026123047
0,{} barn in snowy ice,7,25.17838478088379
0,{} barn in snowy ice,8,28.154144287109375
0,{} barn in snowy ice,9,21.028757095336914
0,{} barn in snowy ice,10,26.078943252563477
0,{} barn in snowy ice,11,27.637147903442383
0,{} barn in snowy ice,12,26.294437408447266
0,{} barn in snowy ice,13,29.253459930419922
0,{} barn in snowy ice,14,25.278018951416016
0,{} barn in snowy ice,15,27.191930770874023
0,{} barn in snowy ice,16,25.160551071166992
0,{} barn in snowy ice,17,23.8646240234375
0,{} barn in snowy ice,18,29.032665252685547
0,{} barn in snowy ice,19,27.1097354888916
0,{} barn in snowy ice,20,24.235240936279297
0,{} barn in snowy ice,21,24.564943313598633
0,{} barn in snowy ice,22,28.763973236083984
0,{} barn in snowy ice,23,28.456798553466797
0,{} barn in snowy ice,24,25.966781616210938
0,{} barn in snowy ice,25,19.292572021484375
0,{} barn in snowy ice,26,25.73169708251953
0,{} barn in snowy ice,27,22.86760139465332
0,{} barn in snowy ice,28,22.71051025390625
0,{} barn in snowy ice,29,24.58719825744629
0,{} barn in snowy ice,30,24.36867904663086
0,{} barn in snowy ice,31,25.012636184692383
0,{} barn in snowy ice,32,24.9210262298584
0,{} barn in snowy ice,33,26.059986114501953
0,{} barn in snowy ice,34,14.366025924682617
0,{} barn in snowy ice,35,26.758914947509766
0,{} barn in snowy ice,36,27.644794464111328
0,{} barn in snowy ice,37,18.134979248046875
0,{} barn in snowy ice,38,26.024930953979492
0,{} barn in snowy ice,39,24.24360466003418
0,{} barn in snowy ice,40,25.44974136352539
0,{} barn in snowy ice,41,23.856407165527344
0,{} barn in snowy ice,42,14.981185913085938
0,{} barn in snowy ice,43,24.031156539916992
0,{} barn in snowy ice,44,26.70382308959961
0,{} barn in snowy ice,45,28.315502166748047
0,{} barn in snowy ice,46,28.71026039123535
0,{} barn in snowy ice,47,24.18825340270996
0,{} barn in snowy ice,48,26.2210750579834
0,{} barn in snowy ice,49,28.91102409362793
1,{} barn surrounded by blooming sunflower field,0,22.473011016845703
