prompt, custom_prompt_A, custom_prompt_B, custom_prompt_C
{} tortoise plushy in grand canyon, a tortoise plushy, grand canyon, NA
{} tortoise plushy swimming in a pool, a tortoise plushy, swimming pool, NA
{} tortoise plushy sitting at the beach with a view of the sea, a tortoise plushy, beach with a view of the sea, NA
{} tortoise plushy in times square, a tortoise plushy, times square, NA
{} tortoise plushy in front of a medieval castle, a tortoise plushy, medieval castle, NA
{} tortoise plushy wearing sunglasses, a tortoise plushy, wearing sunglasses, NA
{} tortoise plushy working on the laptop, a tortoise plushy, working on the laptop, NA
{} tortoise plushy on a boat in the sea, a tortoise plushy, on a boat in the sea, NA
{} tortoise plushy wearing headphones, a tortoise plushy, wearing headphones, NA
A koala in the style of {} tortoise plushy, a tortoise plushy, a koala, NA
a backpack in the style of {} tortoise plushy, a tortoise plushy, a backpack, NA
{} tortoise plushy made of crochet, a tortoise plushy, made of crochet, NA
A sweater in the style of {} tortoise plushy, a tortoise plushy, a sweater, NA
a photo of a {} tortoise plushy in Van Gogh style, a tortoise plushy, Van Gogh style, NA
