prompt_index,prompt,image_index,score
0, snowy ice,0,18.995967864990234
0, snowy ice,1,18.803661346435547
0, snowy ice,2,19.04010772705078
0, snowy ice,3,18.6195068359375
0, snowy ice,4,22.062761306762695
0, snowy ice,5,20.164552688598633
0, snowy ice,6,20.587846755981445
0, snowy ice,7,18.430095672607422
0, snowy ice,8,18.077512741088867
0, snowy ice,9,23.221662521362305
0, snowy ice,10,23.580909729003906
0, snowy ice,11,20.911975860595703
0, snowy ice,12,21.546987533569336
0, snowy ice,13,21.370101928710938
0, snowy ice,14,20.218042373657227
0, snowy ice,15,21.446557998657227
0, snowy ice,16,20.19486427307129
0, snowy ice,17,21.465030670166016
0, snowy ice,18,18.068359375
0, snowy ice,19,19.615942001342773
0, snowy ice,20,19.899761199951172
0, snowy ice,21,21.03502082824707
0, snowy ice,22,16.7382755279541
0, snowy ice,23,15.956926345825195
0, snowy ice,24,21.158084869384766
0, snowy ice,25,20.376708984375
0, snowy ice,26,20.59769630432129
0, snowy ice,27,18.846689224243164
0, snowy ice,28,18.870943069458008
0, snowy ice,29,20.27556037902832
0, snowy ice,30,17.929380416870117
0, snowy ice,31,19.369131088256836
0, snowy ice,32,21.79951286315918
0, snowy ice,33,21.915084838867188
0, snowy ice,34,22.787384033203125
0, snowy ice,35,20.54780387878418
0, snowy ice,36,18.620315551757812
0, snowy ice,37,18.996801376342773
0, snowy ice,38,18.822399139404297
0, snowy ice,39,19.89828109741211
0, snowy ice,40,20.479248046875
0, snowy ice,41,20.667221069335938
0, snowy ice,42,21.654436111450195
0, snowy ice,43,18.353557586669922
0, snowy ice,44,20.50467300415039
0, snowy ice,45,17.98746109008789
0, snowy ice,46,19.183544158935547
0, snowy ice,47,19.84486961364746
0, snowy ice,48,22.894365310668945
0, snowy ice,49,19.666688919067383
1, blooming sunflower field,0,19.250574111938477
1, blooming sunflower field,1,27.29359245300293
1, blooming sunflower field,2,25.931306838989258
1, blooming sunflower field,3,26.667219161987305
1, blooming sunflower field,4,25.939720153808594
1, blooming sunflower field,5,26.53224754333496
1, blooming sunflower field,6,26.230911254882812
