prompt_index,prompt,image_index,score
0,{} cat in grand canyon,0,74.07758331298828
0,{} cat in grand canyon,1,73.012451171875
0,{} cat in grand canyon,2,75.08186340332031
0,{} cat in grand canyon,3,73.97028350830078
0,{} cat in grand canyon,4,76.5654296875
0,{} cat in grand canyon,5,80.40192413330078
0,{} cat in grand canyon,6,73.97745513916016
0,{} cat in grand canyon,7,76.12320709228516
0,{} cat in grand canyon,8,75.07156372070312
0,{} cat in grand canyon,9,76.13677978515625
0,{} cat in grand canyon,10,73.14302062988281
0,{} cat in grand canyon,11,71.62820434570312
0,{} cat in grand canyon,12,76.63843536376953
0,{} cat in grand canyon,13,80.60497283935547
0,{} cat in grand canyon,14,74.20799255371094
0,{} cat in grand canyon,15,75.5263442993164
0,{} cat in grand canyon,16,72.01806640625
0,{} cat in grand canyon,17,75.10650634765625
0,{} cat in grand canyon,18,75.60488891601562
0,{} cat in grand canyon,19,74.7391128540039
0,{} cat in grand canyon,20,75.94888305664062
0,{} cat in grand canyon,21,72.22506713867188
0,{} cat in grand canyon,22,71.4478759765625
0,{} cat in grand canyon,23,77.15160369873047
0,{} cat in grand canyon,24,71.91866302490234
0,{} cat in grand canyon,25,80.0660400390625
0,{} cat in grand canyon,26,74.70355224609375
0,{} cat in grand canyon,27,74.27052307128906
0,{} cat in grand canyon,28,70.95093536376953
0,{} cat in grand canyon,29,75.63435363769531
0,{} cat in grand canyon,30,73.9296646118164
0,{} cat in grand canyon,31,76.18478393554688
0,{} cat in grand canyon,32,69.81169891357422
0,{} cat in grand canyon,33,74.5894546508789
0,{} cat in grand canyon,34,75.65001678466797
0,{} cat in grand canyon,35,78.0643310546875
0,{} cat in grand canyon,36,78.67414855957031
0,{} cat in grand canyon,37,73.70661163330078
0,{} cat in grand canyon,38,72.63142395019531
0,{} cat in grand canyon,39,76.49417114257812
0,{} cat in grand canyon,40,77.43058776855469
0,{} cat in grand canyon,41,74.32530975341797
0,{} cat in grand canyon,42,81.9700698852539
0,{} cat in grand canyon,43,76.17056274414062
0,{} cat in grand canyon,44,78.55825805664062
0,{} cat in grand canyon,45,75.24867248535156
0,{} cat in grand canyon,46,75.7573471069336
0,{} cat in grand canyon,47,76.4007568359375
0,{} cat in grand canyon,48,81.58519744873047
0,{} cat in grand canyon,49,73.54540252685547
1,{} cat sitting at the beach with a view of the sea,0,80.98462677001953
1,{} cat sitting at the beach with a view of the sea,1,87.62065887451172
1,{} cat sitting at the beach with a view of the sea,2,78.42713165283203
1,{} cat sitting at the beach with a view of the sea,3,79.65318298339844
1,{} cat sitting at the beach with a view of the sea,4,81.7928237915039
1,{} cat sitting at the beach with a view of the sea,5,64.61001586914062
1,{} cat sitting at the beach with a view of the sea,6,79.436279296875
1,{} cat sitting at the beach with a view of the sea,7,76.46096801757812
1,{} cat sitting at the beach with a view of the sea,8,75.14720153808594
1,{} cat sitting at the beach with a view of the sea,9,82.68499755859375
1,{} cat sitting at the beach with a view of the sea,10,76.9916000366211
1,{} cat sitting at the beach with a view of the sea,11,75.16595458984375
1,{} cat sitting at the beach with a view of the sea,12,72.69607543945312
1,{} cat sitting at the beach with a view of the sea,13,76.17350006103516
1,{} cat sitting at the beach with a view of the sea,14,82.34217834472656
1,{} cat sitting at the beach with a view of the sea,15,84.39215087890625
1,{} cat sitting at the beach with a view of the sea,16,84.23222351074219
1,{} cat sitting at the beach with a view of the sea,17,79.67980194091797
1,{} cat sitting at the beach with a view of the sea,18,72.256103515625
1,{} cat sitting at the beach with a view of the sea,19,77.78349304199219
1,{} cat sitting at the beach with a view of the sea,20,81.27584075927734
1,{} cat sitting at the beach with a view of the sea,21,80.70450592041016
1,{} cat sitting at the beach with a view of the sea,22,87.0096435546875
1,{} cat sitting at the beach with a view of the sea,23,76.38308715820312
1,{} cat sitting at the beach with a view of the sea,24,84.39918518066406
1,{} cat sitting at the beach with a view of the sea,25,71.16822052001953
1,{} cat sitting at the beach with a view of the sea,26,84.83613586425781
1,{} cat sitting at the beach with a view of the sea,27,85.04638671875
1,{} cat sitting at the beach with a view of the sea,28,87.34130096435547
1,{} cat sitting at the beach with a view of the sea,29,81.01437377929688
1,{} cat sitting at the beach with a view of the sea,30,74.06514739990234
1,{} cat sitting at the beach with a view of the sea,31,78.450439453125
1,{} cat sitting at the beach with a view of the sea,32,84.58055114746094
1,{} cat sitting at the beach with a view of the sea,33,79.62303924560547
1,{} cat sitting at the beach with a view of the sea,34,75.63961029052734
1,{} cat sitting at the beach with a view of the sea,35,84.23033142089844
1,{} cat sitting at the beach with a view of the sea,36,73.97762298583984
1,{} cat sitting at the beach with a view of the sea,37,81.14104461669922
1,{} cat sitting at the beach with a view of the sea,38,86.69377899169922
1,{} cat sitting at the beach with a view of the sea,39,84.54324340820312
1,{} cat sitting at the beach with a view of the sea,40,87.18893432617188
1,{} cat sitting at the beach with a view of the sea,41,72.79961395263672
1,{} cat sitting at the beach with a view of the sea,42,75.99520111083984
1,{} cat sitting at the beach with a view of the sea,43,77.70121002197266
1,{} cat sitting at the beach with a view of the sea,44,72.84754180908203
1,{} cat sitting at the beach with a view of the sea,45,79.88011932373047
1,{} cat sitting at the beach with a view of the sea,46,76.2578125
1,{} cat sitting at the beach with a view of the sea,47,76.76565551757812
1,{} cat sitting at the beach with a view of the sea,48,81.33314514160156
1,{} cat sitting at the beach with a view of the sea,49,75.94766235351562
2,{} cat in times square,0,70.64591979980469
2,{} cat in times square,1,72.66160583496094
2,{} cat in times square,2,71.23181915283203
2,{} cat in times square,3,61.86685562133789
2,{} cat in times square,4,74.25445556640625
2,{} cat in times square,5,75.55017852783203
2,{} cat in times square,6,66.8656234741211
2,{} cat in times square,7,74.43773651123047
2,{} cat in times square,8,67.13475036621094
2,{} cat in times square,9,72.18858337402344
2,{} cat in times square,10,74.06912231445312
2,{} cat in times square,11,65.06696319580078
2,{} cat in times square,12,76.43997192382812
2,{} cat in times square,13,76.43229675292969
2,{} cat in times square,14,70.89363098144531
2,{} cat in times square,15,75.21691131591797
2,{} cat in times square,16,73.2138900756836
2,{} cat in times square,17,73.9288101196289
2,{} cat in times square,18,71.96375274658203
2,{} cat in times square,19,74.22840881347656
2,{} cat in times square,20,71.77043914794922
2,{} cat in times square,21,80.66948699951172
2,{} cat in times square,22,69.12187957763672
2,{} cat in times square,23,77.3650894165039
2,{} cat in times square,24,69.3648910522461
2,{} cat in times square,25,68.47962951660156
2,{} cat in times square,26,69.75733184814453
2,{} cat in times square,27,70.24897766113281
2,{} cat in times square,28,70.45187377929688
2,{} cat in times square,29,72.78240966796875
2,{} cat in times square,30,71.35652160644531
2,{} cat in times square,31,74.18975067138672
2,{} cat in times square,32,69.65666961669922
2,{} cat in times square,33,67.48931884765625
2,{} cat in times square,34,69.30622863769531
2,{} cat in times square,35,76.0362777709961
2,{} cat in times square,36,73.76992797851562
2,{} cat in times square,37,70.58258056640625
2,{} cat in times square,38,68.42265319824219
2,{} cat in times square,39,71.55852508544922
2,{} cat in times square,40,68.575439453125
2,{} cat in times square,41,77.06803131103516
2,{} cat in times square,42,69.94468688964844
2,{} cat in times square,43,71.57770538330078
2,{} cat in times square,44,69.09563446044922
2,{} cat in times square,45,71.28665924072266
2,{} cat in times square,46,79.50350189208984
2,{} cat in times square,47,78.23316955566406
2,{} cat in times square,48,75.94801330566406
2,{} cat in times square,49,75.82167053222656
3,{} cat wearing sunglasses,0,76.84147644042969
3,{} cat wearing sunglasses,1,80.15533447265625
3,{} cat wearing sunglasses,2,79.8388900756836
3,{} cat wearing sunglasses,3,82.25729370117188
3,{} cat wearing sunglasses,4,79.40248107910156
3,{} cat wearing sunglasses,5,79.2502670288086
3,{} cat wearing sunglasses,6,77.88502502441406
3,{} cat wearing sunglasses,7,80.90233612060547
3,{} cat wearing sunglasses,8,81.52063751220703
3,{} cat wearing sunglasses,9,77.7640609741211
3,{} cat wearing sunglasses,10,81.35350799560547
3,{} cat wearing sunglasses,11,79.35065460205078
3,{} cat wearing sunglasses,12,77.8319320678711
3,{} cat wearing sunglasses,13,81.56396484375
3,{} cat wearing sunglasses,14,77.87349700927734
3,{} cat wearing sunglasses,15,80.04851531982422
3,{} cat wearing sunglasses,16,79.5017318725586
3,{} cat wearing sunglasses,17,80.45096588134766
3,{} cat wearing sunglasses,18,80.40411376953125
3,{} cat wearing sunglasses,19,80.8896713256836
3,{} cat wearing sunglasses,20,83.40760040283203
3,{} cat wearing sunglasses,21,79.36297607421875
3,{} cat wearing sunglasses,22,78.29212951660156
3,{} cat wearing sunglasses,23,79.49201202392578
3,{} cat wearing sunglasses,24,81.97710418701172
3,{} cat wearing sunglasses,25,77.70335388183594
3,{} cat wearing sunglasses,26,79.95355224609375
3,{} cat wearing sunglasses,27,80.0343246459961
3,{} cat wearing sunglasses,28,76.63420104980469
3,{} cat wearing sunglasses,29,78.96138763427734
3,{} cat wearing sunglasses,30,79.10224151611328
3,{} cat wearing sunglasses,31,77.19070434570312
3,{} cat wearing sunglasses,32,79.16062927246094
3,{} cat wearing sunglasses,33,77.72950744628906
3,{} cat wearing sunglasses,34,79.42786407470703
3,{} cat wearing sunglasses,35,80.66976928710938
3,{} cat wearing sunglasses,36,78.52410125732422
3,{} cat wearing sunglasses,37,77.44034576416016
3,{} cat wearing sunglasses,38,80.7933349609375
3,{} cat wearing sunglasses,39,79.60590362548828
3,{} cat wearing sunglasses,40,80.51435089111328
3,{} cat wearing sunglasses,41,79.83557891845703
3,{} cat wearing sunglasses,42,77.99091339111328
3,{} cat wearing sunglasses,43,78.5177230834961
3,{} cat wearing sunglasses,44,81.22193145751953
3,{} cat wearing sunglasses,45,79.58244323730469
3,{} cat wearing sunglasses,46,81.20807647705078
3,{} cat wearing sunglasses,47,80.84514617919922
3,{} cat wearing sunglasses,48,77.9735107421875
3,{} cat wearing sunglasses,49,79.60626983642578
4,{} cat working on the laptop,0,82.22183227539062
4,{} cat working on the laptop,1,76.28652954101562
4,{} cat working on the laptop,2,82.61422729492188
4,{} cat working on the laptop,3,84.09381866455078
4,{} cat working on the laptop,4,85.55765533447266
4,{} cat working on the laptop,5,82.34483337402344
4,{} cat working on the laptop,6,81.92122650146484
4,{} cat working on the laptop,7,78.82479095458984
4,{} cat working on the laptop,8,83.53364562988281
4,{} cat working on the laptop,9,83.1470947265625
4,{} cat working on the laptop,10,79.20582580566406
4,{} cat working on the laptop,11,82.80204772949219
4,{} cat working on the laptop,12,85.52914428710938
4,{} cat working on the laptop,13,79.68289184570312
4,{} cat working on the laptop,14,85.85597229003906
4,{} cat working on the laptop,15,81.29740142822266
4,{} cat working on the laptop,16,80.10466766357422
4,{} cat working on the laptop,17,80.5496597290039
4,{} cat working on the laptop,18,81.89795684814453
4,{} cat working on the laptop,19,81.74957275390625
4,{} cat working on the laptop,20,77.66403198242188
4,{} cat working on the laptop,21,83.18902587890625
4,{} cat working on the laptop,22,79.84790802001953
4,{} cat working on the laptop,23,88.83158874511719
4,{} cat working on the laptop,24,82.47539520263672
4,{} cat working on the laptop,25,82.85812377929688
