prompt_index,prompt,image_index,score
0,{} barn in snowy ice,0,71.60765838623047
0,{} barn in snowy ice,1,73.78484344482422
0,{} barn in snowy ice,2,74.56710052490234
0,{} barn in snowy ice,3,77.58319091796875
0,{} barn in snowy ice,4,80.15707397460938
0,{} barn in snowy ice,5,78.91089630126953
0,{} barn in snowy ice,6,76.96492767333984
0,{} barn in snowy ice,7,73.74152374267578
0,{} barn in snowy ice,8,73.3822021484375
0,{} barn in snowy ice,9,77.19200134277344
0,{} barn in snowy ice,10,71.79219055175781
0,{} barn in snowy ice,11,77.65091705322266
0,{} barn in snowy ice,12,75.66925048828125
0,{} barn in snowy ice,13,72.70931243896484
0,{} barn in snowy ice,14,77.75830078125
0,{} barn in snowy ice,15,77.66529846191406
0,{} barn in snowy ice,16,75.13446044921875
0,{} barn in snowy ice,17,76.93948364257812
0,{} barn in snowy ice,18,82.09681701660156
0,{} barn in snowy ice,19,76.0380859375
0,{} barn in snowy ice,20,75.86183166503906
0,{} barn in snowy ice,21,67.43574523925781
0,{} barn in snowy ice,22,78.49539184570312
0,{} barn in snowy ice,23,72.51145935058594
0,{} barn in snowy ice,24,73.8128890991211
0,{} barn in snowy ice,25,77.23136138916016
0,{} barn in snowy ice,26,68.75994110107422
0,{} barn in snowy ice,27,77.16558074951172
0,{} barn in snowy ice,28,76.80342864990234
0,{} barn in snowy ice,29,81.5132827758789
0,{} barn in snowy ice,30,73.50220489501953
0,{} barn in snowy ice,31,76.73426818847656
0,{} barn in snowy ice,32,75.23627471923828
0,{} barn in snowy ice,33,79.0298080444336
0,{} barn in snowy ice,34,76.15396118164062
0,{} barn in snowy ice,35,75.47859191894531
0,{} barn in snowy ice,36,80.08432006835938
0,{} barn in snowy ice,37,73.10655212402344
0,{} barn in snowy ice,38,73.39383697509766
0,{} barn in snowy ice,39,73.74037170410156
0,{} barn in snowy ice,40,71.64306640625
0,{} barn in snowy ice,41,75.03738403320312
0,{} barn in snowy ice,42,71.74163055419922
0,{} barn in snowy ice,43,77.17878723144531
0,{} barn in snowy ice,44,80.51416778564453
0,{} barn in snowy ice,45,75.15819549560547
0,{} barn in snowy ice,46,76.2767105102539
0,{} barn in snowy ice,47,77.90665435791016
0,{} barn in snowy ice,48,80.54308319091797
0,{} barn in snowy ice,49,76.68144989013672
1,{} barn surrounded by blooming sunflower field,0,77.01261901855469
1,{} barn surrounded by blooming sunflower field,1,73.99127197265625
1,{} barn surrounded by blooming sunflower field,2,74.63555145263672
1,{} barn surrounded by blooming sunflower field,3,75.64917755126953
1,{} barn surrounded by blooming sunflower field,4,75.02706146240234
1,{} barn surrounded by blooming sunflower field,5,75.32186889648438
1,{} barn surrounded by blooming sunflower field,6,73.80384063720703
1,{} barn surrounded by blooming sunflower field,7,75.27914428710938
1,{} barn surrounded by blooming sunflower field,8,72.17855834960938
1,{} barn surrounded by blooming sunflower field,9,73.98947143554688
1,{} barn surrounded by blooming sunflower field,10,74.77772521972656
1,{} barn surrounded by blooming sunflower field,11,76.28133392333984
1,{} barn surrounded by blooming sunflower field,12,70.61417388916016
1,{} barn surrounded by blooming sunflower field,13,77.57138061523438
1,{} barn surrounded by blooming sunflower field,14,77.90699005126953
1,{} barn surrounded by blooming sunflower field,15,74.74832153320312
1,{} barn surrounded by blooming sunflower field,16,76.20025634765625
1,{} barn surrounded by blooming sunflower field,17,76.15455627441406
1,{} barn surrounded by blooming sunflower field,18,71.90193176269531
1,{} barn surrounded by blooming sunflower field,19,73.24373626708984
1,{} barn surrounded by blooming sunflower field,20,73.8346939086914
1,{} barn surrounded by blooming sunflower field,21,71.1031265258789
1,{} barn surrounded by blooming sunflower field,22,74.26387023925781
1,{} barn surrounded by blooming sunflower field,23,76.863037109375
1,{} barn surrounded by blooming sunflower field,24,67.38121795654297
1,{} barn surrounded by blooming sunflower field,25,78.06539916992188
1,{} barn surrounded by blooming sunflower field,26,68.55973815917969
1,{} barn surrounded by blooming sunflower field,27,74.94770050048828
1,{} barn surrounded by blooming sunflower field,28,75.86769104003906
1,{} barn surrounded by blooming sunflower field,29,75.5503921508789
1,{} barn surrounded by blooming sunflower field,30,73.64776611328125
1,{} barn surrounded by blooming sunflower field,31,70.79353332519531
1,{} barn surrounded by blooming sunflower field,32,75.09309387207031
1,{} barn surrounded by blooming sunflower field,33,73.56198120117188
1,{} barn surrounded by blooming sunflower field,34,75.66424560546875
1,{} barn surrounded by blooming sunflower field,35,73.70159912109375
1,{} barn surrounded by blooming sunflower field,36,69.60661315917969
1,{} barn surrounded by blooming sunflower field,37,77.4959945678711
1,{} barn surrounded by blooming sunflower field,38,68.62167358398438
1,{} barn surrounded by blooming sunflower field,39,74.43563842773438
1,{} barn surrounded by blooming sunflower field,40,75.77544403076172
1,{} barn surrounded by blooming sunflower field,41,72.13579559326172
1,{} barn surrounded by blooming sunflower field,42,72.55280303955078
1,{} barn surrounded by blooming sunflower field,43,69.62518310546875
1,{} barn surrounded by blooming sunflower field,44,74.68766021728516
1,{} barn surrounded by blooming sunflower field,45,74.56777954101562
1,{} barn surrounded by blooming sunflower field,46,74.76192474365234
1,{} barn surrounded by blooming sunflower field,47,71.6114730834961
1,{} barn surrounded by blooming sunflower field,48,74.44422149658203
1,{} barn surrounded by blooming sunflower field,49,76.61155700683594
2,{} barn in the fall season with leaves all around,0,71.9704360961914
2,{} barn in the fall season with leaves all around,1,73.66564178466797
2,{} barn in the fall season with leaves all around,2,77.14791107177734
2,{} barn in the fall season with leaves all around,3,79.2032470703125
2,{} barn in the fall season with leaves all around,4,78.36331176757812
2,{} barn in the fall season with leaves all around,5,79.94918823242188
2,{} barn in the fall season with leaves all around,6,75.275146484375
2,{} barn in the fall season with leaves all around,7,73.68519592285156
2,{} barn in the fall season with leaves all around,8,76.82257080078125
