prompt_index,prompt,image_index,score
0,{} wooden pot in grand canyon,0,0.41147667169570923
0,{} wooden pot in grand canyon,1,0.17729869484901428
0,{} wooden pot in grand canyon,2,0.2617872357368469
0,{} wooden pot in grand canyon,3,0.225359708070755
0,{} wooden pot in grand canyon,4,0.19148817658424377
0,{} wooden pot in grand canyon,5,0.4654185473918915
0,{} wooden pot in grand canyon,6,0.2835492491722107
0,{} wooden pot in grand canyon,7,0.42741113901138306
0,{} wooden pot in grand canyon,8,0.4762042164802551
0,{} wooden pot in grand canyon,9,0.3513316512107849
0,{} wooden pot in grand canyon,10,0.42289504408836365
0,{} wooden pot in grand canyon,11,0.25042924284935
0,{} wooden pot in grand canyon,12,0.27454352378845215
0,{} wooden pot in grand canyon,13,0.4019336700439453
0,{} wooden pot in grand canyon,14,0.2550421357154846
0,{} wooden pot in grand canyon,15,0.44932231307029724
0,{} wooden pot in grand canyon,16,0.43815773725509644
0,{} wooden pot in grand canyon,17,0.5307272672653198
0,{} wooden pot in grand canyon,18,0.23197494447231293
0,{} wooden pot in grand canyon,19,0.48617562651634216
0,{} wooden pot in grand canyon,20,0.24339044094085693
0,{} wooden pot in grand canyon,21,0.45010340213775635
0,{} wooden pot in grand canyon,22,0.2454625815153122
0,{} wooden pot in grand canyon,23,0.3720775246620178
0,{} wooden pot in grand canyon,24,0.2546922564506531
0,{} wooden pot in grand canyon,25,0.34225988388061523
0,{} wooden pot in grand canyon,26,0.26522549986839294
0,{} wooden pot in grand canyon,27,0.4539026618003845
0,{} wooden pot in grand canyon,28,0.3554424047470093
0,{} wooden pot in grand canyon,29,0.3663281202316284
0,{} wooden pot in grand canyon,30,0.24454587697982788
0,{} wooden pot in grand canyon,31,0.312947154045105
0,{} wooden pot in grand canyon,32,0.2972771227359772
0,{} wooden pot in grand canyon,33,0.5182799100875854
0,{} wooden pot in grand canyon,34,0.5617460608482361
0,{} wooden pot in grand canyon,35,0.36121538281440735
0,{} wooden pot in grand canyon,36,0.5825275778770447
0,{} wooden pot in grand canyon,37,0.3512459993362427
0,{} wooden pot in grand canyon,38,0.27786487340927124
0,{} wooden pot in grand canyon,39,0.4597441554069519
0,{} wooden pot in grand canyon,40,0.5479242205619812
0,{} wooden pot in grand canyon,41,0.5669668316841125
0,{} wooden pot in grand canyon,42,0.5195050239562988
0,{} wooden pot in grand canyon,43,0.48071110248565674
0,{} wooden pot in grand canyon,44,0.4391864240169525
0,{} wooden pot in grand canyon,45,0.5471814870834351
0,{} wooden pot in grand canyon,46,0.24375230073928833
0,{} wooden pot in grand canyon,47,0.47267723083496094
0,{} wooden pot in grand canyon,48,0.5792518258094788
0,{} wooden pot in grand canyon,49,0.35001444816589355
1,{} wooden pot with mountains and sunset in the background,0,0.38458871841430664
1,{} wooden pot with mountains and sunset in the background,1,0.38577717542648315
1,{} wooden pot with mountains and sunset in the background,2,0.5973882675170898
1,{} wooden pot with mountains and sunset in the background,3,0.5994431972503662
1,{} wooden pot with mountains and sunset in the background,4,0.38225284218788147
1,{} wooden pot with mountains and sunset in the background,5,0.5175120830535889
1,{} wooden pot with mountains and sunset in the background,6,0.41871243715286255
1,{} wooden pot with mountains and sunset in the background,7,0.5616658926010132
1,{} wooden pot with mountains and sunset in the background,8,0.5584859848022461
1,{} wooden pot with mountains and sunset in the background,9,0.5020169615745544
1,{} wooden pot with mountains and sunset in the background,10,0.4807632267475128
1,{} wooden pot with mountains and sunset in the background,11,0.36386117339134216
1,{} wooden pot with mountains and sunset in the background,12,0.45827406644821167
1,{} wooden pot with mountains and sunset in the background,13,0.3905377984046936
1,{} wooden pot with mountains and sunset in the background,14,0.6319286227226257
1,{} wooden pot with mountains and sunset in the background,15,0.5702264904975891
1,{} wooden pot with mountains and sunset in the background,16,0.42405664920806885
1,{} wooden pot with mountains and sunset in the background,17,0.39053478837013245
1,{} wooden pot with mountains and sunset in the background,18,0.5117139220237732
1,{} wooden pot with mountains and sunset in the background,19,0.3947041630744934
1,{} wooden pot with mountains and sunset in the background,20,0.4393841326236725
1,{} wooden pot with mountains and sunset in the background,21,0.4249380826950073
1,{} wooden pot with mountains and sunset in the background,22,0.5655809044837952
1,{} wooden pot with mountains and sunset in the background,23,0.4823814034461975
1,{} wooden pot with mountains and sunset in the background,24,0.5761935710906982
1,{} wooden pot with mountains and sunset in the background,25,0.31953710317611694
1,{} wooden pot with mountains and sunset in the background,26,0.6386873722076416
1,{} wooden pot with mountains and sunset in the background,27,0.3094029426574707
1,{} wooden pot with mountains and sunset in the background,28,0.5264960527420044
1,{} wooden pot with mountains and sunset in the background,29,0.42376744747161865
1,{} wooden pot with mountains and sunset in the background,30,0.3165062665939331
1,{} wooden pot with mountains and sunset in the background,31,0.3058081567287445
1,{} wooden pot with mountains and sunset in the background,32,0.5160775184631348
1,{} wooden pot with mountains and sunset in the background,33,0.48978203535079956
1,{} wooden pot with mountains and sunset in the background,34,0.3732997179031372
1,{} wooden pot with mountains and sunset in the background,35,0.5586049556732178
1,{} wooden pot with mountains and sunset in the background,36,0.38306933641433716
1,{} wooden pot with mountains and sunset in the background,37,0.389417827129364
1,{} wooden pot with mountains and sunset in the background,38,0.42672276496887207
1,{} wooden pot with mountains and sunset in the background,39,0.5696423053741455
1,{} wooden pot with mountains and sunset in the background,40,0.5654472708702087
1,{} wooden pot with mountains and sunset in the background,41,0.3969329595565796
1,{} wooden pot with mountains and sunset in the background,42,0.38584834337234497
1,{} wooden pot with mountains and sunset in the background,43,0.39937424659729004
1,{} wooden pot with mountains and sunset in the background,44,0.5832420587539673
1,{} wooden pot with mountains and sunset in the background,45,0.37163934111595154
1,{} wooden pot with mountains and sunset in the background,46,0.4650716781616211
1,{} wooden pot with mountains and sunset in the background,47,0.543418288230896
1,{} wooden pot with mountains and sunset in the background,48,0.4675871729850769
1,{} wooden pot with mountains and sunset in the background,49,0.41727226972579956
2,{} wooden pot floating in a pool,0,0.24222849309444427
2,{} wooden pot floating in a pool,1,0.3712009787559509
2,{} wooden pot floating in a pool,2,0.2655644714832306
2,{} wooden pot floating in a pool,3,0.24816946685314178
2,{} wooden pot floating in a pool,4,0.451890766620636
2,{} wooden pot floating in a pool,5,0.2553406357765198
2,{} wooden pot floating in a pool,6,0.37679505348205566
2,{} wooden pot floating in a pool,7,0.45120546221733093
2,{} wooden pot floating in a pool,8,0.4059704840183258
2,{} wooden pot floating in a pool,9,0.5053187608718872
2,{} wooden pot floating in a pool,10,0.36300337314605713
2,{} wooden pot floating in a pool,11,0.2540200352668762
2,{} wooden pot floating in a pool,12,0.39639633893966675
2,{} wooden pot floating in a pool,13,0.2245960831642151
2,{} wooden pot floating in a pool,14,0.47757667303085327
2,{} wooden pot floating in a pool,15,0.13602229952812195
2,{} wooden pot floating in a pool,16,0.42160558700561523
2,{} wooden pot floating in a pool,17,0.3009198009967804
2,{} wooden pot floating in a pool,18,0.18848088383674622
2,{} wooden pot floating in a pool,19,0.15557026863098145
2,{} wooden pot floating in a pool,20,0.2232896387577057
2,{} wooden pot floating in a pool,21,0.5157830715179443
2,{} wooden pot floating in a pool,22,0.49348244071006775
2,{} wooden pot floating in a pool,23,0.2882530093193054
2,{} wooden pot floating in a pool,24,0.32177960872650146
2,{} wooden pot floating in a pool,25,0.40547144412994385
2,{} wooden pot floating in a pool,26,0.3550069332122803
2,{} wooden pot floating in a pool,27,0.27097687125205994
2,{} wooden pot floating in a pool,28,0.4739035367965698
2,{} wooden pot floating in a pool,29,0.1496257483959198
2,{} wooden pot floating in a pool,30,0.19226683676242828
2,{} wooden pot floating in a pool,31,0.3162156641483307
2,{} wooden pot floating in a pool,32,0.29573261737823486
2,{} wooden pot floating in a pool,33,0.40822672843933105
2,{} wooden pot floating in a pool,34,0.20202608406543732
2,{} wooden pot floating in a pool,35,0.27150100469589233
2,{} wooden pot floating in a pool,36,0.44621968269348145
2,{} wooden pot floating in a pool,37,0.40150269865989685
2,{} wooden pot floating in a pool,38,0.2939407229423523
2,{} wooden pot floating in a pool,39,0.2618071436882019
2,{} wooden pot floating in a pool,40,0.19815638661384583
2,{} wooden pot floating in a pool,41,0.21929778158664703
2,{} wooden pot floating in a pool,42,0.3338155746459961
