prompt,custom_prompt_A,custom_prompt_B,custom_prompt_C
{} barn in snowy ice, a barn, snowy ice, NA
{} barn surrounded by blooming sunflower field, a barn, blooming sunflower field, NA
{} barn in the fall season with leaves all around, a barn, fall season with leaves all around, NA
{} barn at a beach with a view of the seashore, a barn, beach with a view of the seashore, NA
{} barn during a thunderstorm, a barn, thunderstorm, NA
{} barn with a rainbow arching overhead, a barn, rainbow arching overhead, NA
Photo of {} barn with the sun rising in the sky, a barn, sun rising in the sky, NA
puppy in front of {} barn, a barn, a puppy, NA
cat sitting in front of {} barn in snowy ice, a barn, a cat in snowy ice, NA
squirrel in front of {} barn, a barn, a squirrel, NA
deer grazing near {} barn, a barn, deer grazing, NA
{} barn with a windmill nearby, a barn, windmill, NA
{} barn with a tractor parked outside, a barn, a tractor, NA
