prompt_index,prompt,image_index,score
0,{} chair in snowy ice,0,76.7979965209961
0,{} chair in snowy ice,1,67.64454650878906
0,{} chair in snowy ice,2,78.57913208007812
0,{} chair in snowy ice,3,72.2709732055664
0,{} chair in snowy ice,4,80.26138305664062
0,{} chair in snowy ice,5,70.1441650390625
0,{} chair in snowy ice,6,72.05510711669922
0,{} chair in snowy ice,7,66.05652618408203
0,{} chair in snowy ice,8,73.96697998046875
0,{} chair in snowy ice,9,74.42759704589844
0,{} chair in snowy ice,10,71.34479522705078
0,{} chair in snowy ice,11,83.28572845458984
0,{} chair in snowy ice,12,72.17980194091797
0,{} chair in snowy ice,13,66.21261596679688
0,{} chair in snowy ice,14,73.62063598632812
0,{} chair in snowy ice,15,75.32351684570312
0,{} chair in snowy ice,16,72.58024597167969
0,{} chair in snowy ice,17,63.967281341552734
0,{} chair in snowy ice,18,76.68551635742188
0,{} chair in snowy ice,19,70.91207885742188
0,{} chair in snowy ice,20,79.53985595703125
0,{} chair in snowy ice,21,77.59521484375
0,{} chair in snowy ice,22,84.84307861328125
0,{} chair in snowy ice,23,65.20204162597656
0,{} chair in snowy ice,24,73.68142700195312
0,{} chair in snowy ice,25,75.9842758178711
0,{} chair in snowy ice,26,77.77173614501953
0,{} chair in snowy ice,27,82.77332305908203
0,{} chair in snowy ice,28,67.69540405273438
0,{} chair in snowy ice,29,67.86162567138672
0,{} chair in snowy ice,30,74.75434875488281
0,{} chair in snowy ice,31,73.59048461914062
0,{} chair in snowy ice,32,75.11002349853516
0,{} chair in snowy ice,33,72.94852447509766
0,{} chair in snowy ice,34,82.02639770507812
0,{} chair in snowy ice,35,67.37417602539062
0,{} chair in snowy ice,36,72.17166900634766
0,{} chair in snowy ice,37,62.08769226074219
0,{} chair in snowy ice,38,76.32439422607422
0,{} chair in snowy ice,39,58.987831115722656
0,{} chair in snowy ice,40,79.15377807617188
0,{} chair in snowy ice,41,72.49552154541016
0,{} chair in snowy ice,42,75.2954330444336
0,{} chair in snowy ice,43,71.80534362792969
0,{} chair in snowy ice,44,68.0947036743164
0,{} chair in snowy ice,45,64.27285766601562
0,{} chair in snowy ice,46,69.42687225341797
0,{} chair in snowy ice,47,70.44654846191406
0,{} chair in snowy ice,48,70.30619812011719
0,{} chair in snowy ice,49,80.43782043457031
1,{} chair surrounded by blooming sunflower field,0,68.55099487304688
1,{} chair surrounded by blooming sunflower field,1,74.86143493652344
1,{} chair surrounded by blooming sunflower field,2,62.77800369262695
1,{} chair surrounded by blooming sunflower field,3,72.04830932617188
1,{} chair surrounded by blooming sunflower field,4,60.46452331542969
1,{} chair surrounded by blooming sunflower field,5,74.39976501464844
1,{} chair surrounded by blooming sunflower field,6,77.29193878173828
1,{} chair surrounded by blooming sunflower field,7,70.95658874511719
1,{} chair surrounded by blooming sunflower field,8,81.40347290039062
1,{} chair surrounded by blooming sunflower field,9,84.87455749511719
1,{} chair surrounded by blooming sunflower field,10,78.07920837402344
1,{} chair surrounded by blooming sunflower field,11,65.5035171508789
1,{} chair surrounded by blooming sunflower field,12,84.62237548828125
1,{} chair surrounded by blooming sunflower field,13,77.21510314941406
1,{} chair surrounded by blooming sunflower field,14,80.12830352783203
1,{} chair surrounded by blooming sunflower field,15,82.17597961425781
1,{} chair surrounded by blooming sunflower field,16,73.05900573730469
1,{} chair surrounded by blooming sunflower field,17,81.52967834472656
1,{} chair surrounded by blooming sunflower field,18,80.43759155273438
1,{} chair surrounded by blooming sunflower field,19,81.04225158691406
1,{} chair surrounded by blooming sunflower field,20,73.093017578125
1,{} chair surrounded by blooming sunflower field,21,80.31069946289062
1,{} chair surrounded by blooming sunflower field,22,74.6652603149414
1,{} chair surrounded by blooming sunflower field,23,77.29243469238281
1,{} chair surrounded by blooming sunflower field,24,71.1126708984375
1,{} chair surrounded by blooming sunflower field,25,84.375244140625
1,{} chair surrounded by blooming sunflower field,26,69.54347229003906
1,{} chair surrounded by blooming sunflower field,27,86.0692367553711
1,{} chair surrounded by blooming sunflower field,28,81.07649230957031
1,{} chair surrounded by blooming sunflower field,29,85.3921127319336
1,{} chair surrounded by blooming sunflower field,30,62.534278869628906
1,{} chair surrounded by blooming sunflower field,31,79.92963409423828
1,{} chair surrounded by blooming sunflower field,32,85.08186340332031
1,{} chair surrounded by blooming sunflower field,33,74.59368896484375
1,{} chair surrounded by blooming sunflower field,34,78.25991821289062
1,{} chair surrounded by blooming sunflower field,35,76.25324249267578
1,{} chair surrounded by blooming sunflower field,36,75.30448150634766
1,{} chair surrounded by blooming sunflower field,37,80.17747497558594
1,{} chair surrounded by blooming sunflower field,38,82.80026245117188
1,{} chair surrounded by blooming sunflower field,39,75.92160034179688
1,{} chair surrounded by blooming sunflower field,40,66.46046447753906
1,{} chair surrounded by blooming sunflower field,41,75.79278564453125
1,{} chair surrounded by blooming sunflower field,42,79.15884399414062
1,{} chair surrounded by blooming sunflower field,43,80.79241943359375
1,{} chair surrounded by blooming sunflower field,44,84.79397583007812
1,{} chair surrounded by blooming sunflower field,45,83.271728515625
1,{} chair surrounded by blooming sunflower field,46,71.13836669921875
1,{} chair surrounded by blooming sunflower field,47,79.5414047241211
1,{} chair surrounded by blooming sunflower field,48,71.81721496582031
1,{} chair surrounded by blooming sunflower field,49,61.43114471435547
2,{} chair on a boat in the sea,0,75.91339111328125
2,{} chair on a boat in the sea,1,69.50901794433594
2,{} chair on a boat in the sea,2,81.62031555175781
2,{} chair on a boat in the sea,3,74.61595916748047
2,{} chair on a boat in the sea,4,71.45005798339844
2,{} chair on a boat in the sea,5,71.98249816894531
2,{} chair on a boat in the sea,6,81.69896697998047
2,{} chair on a boat in the sea,7,79.575439453125
2,{} chair on a boat in the sea,8,72.3780517578125
2,{} chair on a boat in the sea,9,76.528076171875
2,{} chair on a boat in the sea,10,79.39447784423828
2,{} chair on a boat in the sea,11,70.50906372070312
2,{} chair on a boat in the sea,12,77.75437927246094
2,{} chair on a boat in the sea,13,49.563533782958984
2,{} chair on a boat in the sea,14,71.32624053955078
2,{} chair on a boat in the sea,15,83.66148376464844
2,{} chair on a boat in the sea,16,82.40933990478516
2,{} chair on a boat in the sea,17,74.5116958618164
2,{} chair on a boat in the sea,18,87.49996185302734
2,{} chair on a boat in the sea,19,81.2605972290039
2,{} chair on a boat in the sea,20,80.8431396484375
2,{} chair on a boat in the sea,21,74.16046905517578
2,{} chair on a boat in the sea,22,62.789894104003906
2,{} chair on a boat in the sea,23,77.44961547851562
2,{} chair on a boat in the sea,24,81.21733093261719
2,{} chair on a boat in the sea,25,73.77919006347656
2,{} chair on a boat in the sea,26,78.17998504638672
2,{} chair on a boat in the sea,27,77.9866714477539
2,{} chair on a boat in the sea,28,80.63208770751953
2,{} chair on a boat in the sea,29,68.7413558959961
2,{} chair on a boat in the sea,30,82.32018280029297
2,{} chair on a boat in the sea,31,79.6555404663086
2,{} chair on a boat in the sea,32,67.65632629394531
2,{} chair on a boat in the sea,33,78.10285186767578
2,{} chair on a boat in the sea,34,81.27526092529297
2,{} chair on a boat in the sea,35,74.6265869140625
2,{} chair on a boat in the sea,36,79.05890655517578
2,{} chair on a boat in the sea,37,72.96533966064453
2,{} chair on a boat in the sea,38,76.2672348022461
2,{} chair on a boat in the sea,39,78.85034942626953
2,{} chair on a boat in the sea,40,80.22647857666016
2,{} chair on a boat in the sea,41,77.67225646972656
2,{} chair on a boat in the sea,42,61.341209411621094
2,{} chair on a boat in the sea,43,65.05046844482422
2,{} chair on a boat in the sea,44,75.6353530883789
2,{} chair on a boat in the sea,45,81.53556823730469
2,{} chair on a boat in the sea,46,56.295902252197266
2,{} chair on a boat in the sea,47,77.17660522460938
2,{} chair on a boat in the sea,48,78.69513702392578
2,{} chair on a boat in the sea,49,74.87606048583984
3,{} chair on top of a mountain,0,67.7200927734375
3,{} chair on top of a mountain,1,73.84169006347656
3,{} chair on top of a mountain,2,79.43035125732422
3,{} chair on top of a mountain,3,72.97838592529297
3,{} chair on top of a mountain,4,79.75572204589844
3,{} chair on top of a mountain,5,80.32036590576172
3,{} chair on top of a mountain,6,81.2373275756836
3,{} chair on top of a mountain,7,89.0093002319336
3,{} chair on top of a mountain,8,66.1076431274414
3,{} chair on top of a mountain,9,85.62094116210938
