prompt_index,prompt,image_index,score
0, a barn,0,18.73274803161621
0, a barn,1,21.62152099609375
0, a barn,2,21.313705444335938
0, a barn,3,22.85841941833496
0, a barn,4,14.245171546936035
0, a barn,5,13.208834648132324
0, a barn,6,22.300460815429688
0, a barn,7,21.28028678894043
0, a barn,8,25.011789321899414
0, a barn,9,18.04667091369629
0, a barn,10,22.715564727783203
0, a barn,11,23.795713424682617
0, a barn,12,23.720829010009766
0, a barn,13,25.269962310791016
0, a barn,14,22.157699584960938
0, a barn,15,22.48041343688965
0, a barn,16,22.75006866455078
0, a barn,17,21.001562118530273
0, a barn,18,24.238237380981445
0, a barn,19,23.394296646118164
0, a barn,20,20.40985107421875
0, a barn,21,22.637958526611328
0, a barn,22,24.39042854309082
0, a barn,23,24.507347106933594
0, a barn,24,22.214540481567383
0, a barn,25,16.88236427307129
0, a barn,26,21.782691955566406
0, a barn,27,20.0459041595459
0, a barn,28,18.213680267333984
0, a barn,29,23.37275505065918
0, a barn,30,21.02656364440918
0, a barn,31,22.681201934814453
0, a barn,32,22.282058715820312
0, a barn,33,24.909114837646484
0, a barn,34,12.225629806518555
0, a barn,35,22.563432693481445
0, a barn,36,24.322750091552734
0, a barn,37,16.10835838317871
0, a barn,38,24.426517486572266
0, a barn,39,21.67087745666504
0, a barn,40,22.67591094970703
0, a barn,41,21.66529083251953
0, a barn,42,12.923553466796875
0, a barn,43,20.96613883972168
0, a barn,44,24.09389877319336
0, a barn,45,25.5046329498291
0, a barn,46,24.439889907836914
0, a barn,47,21.314815521240234
0, a barn,48,22.993045806884766
0, a barn,49,25.706995010375977
1, a barn,0,15.512083053588867
1, a barn,1,21.117786407470703
1, a barn,2,18.385726928710938
1, a barn,3,13.627839088439941
1, a barn,4,15.090044975280762
1, a barn,5,14.537742614746094
1, a barn,6,14.934012413024902
1, a barn,7,19.67877769470215
1, a barn,8,15.635724067687988
1, a barn,9,14.73656177520752
1, a barn,10,15.787559509277344
1, a barn,11,14.06391716003418
1, a barn,12,20.00995635986328
1, a barn,13,19.959383010864258
1, a barn,14,16.484941482543945
1, a barn,15,17.300067901611328
1, a barn,16,17.194652557373047
1, a barn,17,21.66053009033203
1, a barn,18,14.829580307006836
1, a barn,19,17.041088104248047
1, a barn,20,18.77294921875
1, a barn,21,13.142167091369629
1, a barn,22,15.825202941894531
1, a barn,23,18.32948112487793
1, a barn,24,15.734081268310547
1, a barn,25,13.455988883972168
1, a barn,26,18.87598991394043
1, a barn,27,16.825395584106445
1, a barn,28,18.59343910217285
1, a barn,29,14.150365829467773
1, a barn,30,19.79690170288086
1, a barn,31,16.193950653076172
1, a barn,32,19.261688232421875
1, a barn,33,19.276744842529297
1, a barn,34,13.046659469604492
1, a barn,35,15.4448881149292
1, a barn,36,19.28206443786621
1, a barn,37,15.124517440795898
1, a barn,38,19.806058883666992
1, a barn,39,20.407121658325195
1, a barn,40,19.522851943969727
1, a barn,41,15.869953155517578
1, a barn,42,20.558889389038086
1, a barn,43,14.774918556213379
1, a barn,44,15.079455375671387
1, a barn,45,13.887164115905762
1, a barn,46,16.06022071838379
1, a barn,47,14.141448020935059
1, a barn,48,21.542293548583984
1, a barn,49,14.001038551330566
2, a barn,0,17.94841194152832
2, a barn,1,14.789763450622559
2, a barn,2,24.391386032104492
2, a barn,3,13.910568237304688
2, a barn,4,16.418209075927734
2, a barn,5,25.99349021911621
2, a barn,6,26.234603881835938
2, a barn,7,27.05884552001953
2, a barn,8,22.265810012817383
2, a barn,9,23.71820831298828
2, a barn,10,24.591764450073242
2, a barn,11,23.76325035095215
2, a barn,12,14.42893123626709
2, a barn,13,21.131982803344727
2, a barn,14,24.947885513305664
