prompt_index,prompt,image_index,score
0, grand canyon,0,23.623987197875977
0, grand canyon,1,21.332162857055664
0, grand canyon,2,18.82366943359375
0, grand canyon,3,23.54185676574707
0, grand canyon,4,22.123857498168945
0, grand canyon,5,18.05270004272461
0, grand canyon,6,21.088050842285156
0, grand canyon,7,22.23648452758789
0, grand canyon,8,21.491628646850586
0, grand canyon,9,17.301944732666016
0, grand canyon,10,22.78185272216797
0, grand canyon,11,22.066923141479492
0, grand canyon,12,21.115604400634766
0, grand canyon,13,19.82103729248047
0, grand canyon,14,22.573528289794922
0, grand canyon,15,22.236597061157227
0, grand canyon,16,22.576814651489258
0, grand canyon,17,21.1617374420166
0, grand canyon,18,22.766515731811523
0, grand canyon,19,23.23586654663086
0, grand canyon,20,22.89781951904297
0, grand canyon,21,19.738948822021484
0, grand canyon,22,22.346704483032227
0, grand canyon,23,22.828794479370117
0, grand canyon,24,22.944740295410156
0, grand canyon,25,20.34065055847168
0, grand canyon,26,23.50387191772461
0, grand canyon,27,20.98084259033203
0, grand canyon,28,21.344331741333008
0, grand canyon,29,23.692148208618164
0, grand canyon,30,22.755733489990234
0, grand canyon,31,22.619367599487305
0, grand canyon,32,21.487058639526367
0, grand canyon,33,22.8707218170166
0, grand canyon,34,22.9210262298584
0, grand canyon,35,21.370309829711914
0, grand canyon,36,21.554487228393555
0, grand canyon,37,22.898874282836914
0, grand canyon,38,23.034624099731445
0, grand canyon,39,22.111356735229492
0, grand canyon,40,22.955078125
0, grand canyon,41,20.773054122924805
0, grand canyon,42,20.42018699645996
0, grand canyon,43,20.58348274230957
0, grand canyon,44,21.235960006713867
0, grand canyon,45,22.353601455688477
0, grand canyon,46,22.887300491333008
0, grand canyon,47,19.453290939331055
0, grand canyon,48,19.74104118347168
0, grand canyon,49,19.9993896484375
1, beach with a view of the sea,0,17.235397338867188
1, beach with a view of the sea,1,14.957967758178711
1, beach with a view of the sea,2,18.779232025146484
1, beach with a view of the sea,3,17.200122833251953
1, beach with a view of the sea,4,17.55075454711914
1, beach with a view of the sea,5,20.33855628967285
1, beach with a view of the sea,6,16.399564743041992
1, beach with a view of the sea,7,18.922948837280273
1, beach with a view of the sea,8,19.30270004272461
1, beach with a view of the sea,9,16.95063018798828
1, beach with a view of the sea,10,18.748613357543945
1, beach with a view of the sea,11,18.34231948852539
1, beach with a view of the sea,12,15.96191120147705
1, beach with a view of the sea,13,17.766151428222656
1, beach with a view of the sea,14,15.991533279418945
1, beach with a view of the sea,15,15.383235931396484
1, beach with a view of the sea,16,17.889005661010742
1, beach with a view of the sea,17,16.746339797973633
1, beach with a view of the sea,18,17.223857879638672
1, beach with a view of the sea,19,19.66547393798828
1, beach with a view of the sea,20,17.160367965698242
1, beach with a view of the sea,21,17.38686180114746
1, beach with a view of the sea,22,13.22607135772705
1, beach with a view of the sea,23,17.932281494140625
1, beach with a view of the sea,24,17.641036987304688
1, beach with a view of the sea,25,16.591278076171875
1, beach with a view of the sea,26,16.644399642944336
1, beach with a view of the sea,27,17.499326705932617
1, beach with a view of the sea,28,15.061195373535156
1, beach with a view of the sea,29,17.65228271484375
1, beach with a view of the sea,30,18.29747772216797
1, beach with a view of the sea,31,17.106273651123047
1, beach with a view of the sea,32,17.793636322021484
1, beach with a view of the sea,33,17.555089950561523
1, beach with a view of the sea,34,18.01006507873535
1, beach with a view of the sea,35,17.871444702148438
1, beach with a view of the sea,36,18.733823776245117
1, beach with a view of the sea,37,14.963939666748047
1, beach with a view of the sea,38,13.802168846130371
1, beach with a view of the sea,39,18.193458557128906
1, beach with a view of the sea,40,12.968503952026367
1, beach with a view of the sea,41,17.807825088500977
1, beach with a view of the sea,42,17.898088455200195
1, beach with a view of the sea,43,16.272014617919922
1, beach with a view of the sea,44,19.511682510375977
1, beach with a view of the sea,45,18.322786331176758
1, beach with a view of the sea,46,19.55609893798828
1, beach with a view of the sea,47,16.346328735351562
1, beach with a view of the sea,48,15.653586387634277
1, beach with a view of the sea,49,17.14506721496582
2, times square,0,21.427047729492188
2, times square,1,22.04442024230957
2, times square,2,20.799449920654297
2, times square,3,21.583646774291992
2, times square,4,19.744184494018555
2, times square,5,19.220226287841797
2, times square,6,21.563581466674805
2, times square,7,19.72919464111328
2, times square,8,21.2562255859375
2, times square,9,21.200416564941406
2, times square,10,19.41977882385254
2, times square,11,20.30280876159668
2, times square,12,20.37732696533203
2, times square,13,19.55078887939453
2, times square,14,21.404296875
2, times square,15,20.324689865112305
2, times square,16,19.758281707763672
2, times square,17,20.248001098632812
2, times square,18,20.5261173248291
2, times square,19,22.04958152770996
2, times square,20,20.293594360351562
2, times square,21,18.086204528808594
2, times square,22,21.071969985961914
2, times square,23,22.0496826171875
2, times square,24,21.074790954589844
2, times square,25,21.03510284423828
2, times square,26,19.92889404296875
2, times square,27,19.807607650756836
2, times square,28,20.963207244873047
2, times square,29,19.745101928710938
2, times square,30,21.72130584716797
2, times square,31,19.666454315185547
2, times square,32,20.649141311645508
2, times square,33,19.208444595336914
2, times square,34,20.5522403717041
2, times square,35,19.518831253051758
2, times square,36,20.81446647644043
2, times square,37,21.034875869750977
2, times square,38,20.7490291595459
2, times square,39,21.231454849243164
2, times square,40,22.22602653503418
2, times square,41,19.4932918548584
2, times square,42,22.403291702270508
2, times square,43,20.41824722290039
2, times square,44,20.67821502685547
2, times square,45,21.183019638061523
2, times square,46,20.476564407348633
2, times square,47,21.059518814086914
2, times square,48,19.447851181030273
2, times square,49,22.118234634399414
3, wearing sunglasses,0,20.834482192993164
3, wearing sunglasses,1,18.402481079101562
3, wearing sunglasses,2,20.520233154296875
3, wearing sunglasses,3,19.171077728271484
3, wearing sunglasses,4,22.148448944091797
3, wearing sunglasses,5,19.924062728881836
3, wearing sunglasses,6,19.507631301879883
3, wearing sunglasses,7,21.5147705078125
3, wearing sunglasses,8,20.057764053344727
3, wearing sunglasses,9,15.677430152893066
3, wearing sunglasses,10,20.504966735839844
3, wearing sunglasses,11,21.21474838256836
3, wearing sunglasses,12,21.086185455322266
3, wearing sunglasses,13,21.201595306396484
3, wearing sunglasses,14,23.744943618774414
3, wearing sunglasses,15,21.366897583007812
3, wearing sunglasses,16,19.737977981567383
3, wearing sunglasses,17,19.6925106048584
3, wearing sunglasses,18,22.81137466430664
3, wearing sunglasses,19,19.694000244140625
3, wearing sunglasses,20,20.044349670410156
3, wearing sunglasses,21,20.55646514892578
3, wearing sunglasses,22,16.101085662841797
3, wearing sunglasses,23,22.12369155883789
3, wearing sunglasses,24,18.10335350036621
3, wearing sunglasses,25,20.177978515625
3, wearing sunglasses,26,21.043317794799805
3, wearing sunglasses,27,20.78458595275879
3, wearing sunglasses,28,16.260143280029297
3, wearing sunglasses,29,16.486492156982422
3, wearing sunglasses,30,21.65711212158203
3, wearing sunglasses,31,21.90093421936035
3, wearing sunglasses,32,21.116992950439453
3, wearing sunglasses,33,20.50214385986328
3, wearing sunglasses,34,21.03825569152832
3, wearing sunglasses,35,20.58708381652832
3, wearing sunglasses,36,21.70630645751953
3, wearing sunglasses,37,19.498796463012695
3, wearing sunglasses,38,20.89822769165039
3, wearing sunglasses,39,21.680774688720703
3, wearing sunglasses,40,20.840490341186523
3, wearing sunglasses,41,10.417205810546875
3, wearing sunglasses,42,18.56631088256836
3, wearing sunglasses,43,20.94671630859375
3, wearing sunglasses,44,19.485633850097656
3, wearing sunglasses,45,22.488752365112305
