prompt_index,prompt,image_index,score
0,{} dog in grand canyon,0,0.2780284881591797
0,{} dog in grand canyon,1,0.13453930616378784
0,{} dog in grand canyon,2,0.1620648205280304
0,{} dog in grand canyon,3,0.17547450959682465
0,{} dog in grand canyon,4,0.14111396670341492
0,{} dog in grand canyon,5,0.29975056648254395
0,{} dog in grand canyon,6,0.15361914038658142
0,{} dog in grand canyon,7,0.30385664105415344
0,{} dog in grand canyon,8,0.2474200427532196
0,{} dog in grand canyon,9,0.20434735715389252
0,{} dog in grand canyon,10,0.16840697824954987
0,{} dog in grand canyon,11,0.17091038823127747
0,{} dog in grand canyon,12,0.12399760633707047
0,{} dog in grand canyon,13,0.18182221055030823
0,{} dog in grand canyon,14,0.16341522336006165
0,{} dog in grand canyon,15,0.23909389972686768
0,{} dog in grand canyon,16,0.15918239951133728
0,{} dog in grand canyon,17,0.307931512594223
0,{} dog in grand canyon,18,0.09812503308057785
0,{} dog in grand canyon,19,0.1912909746170044
0,{} dog in grand canyon,20,0.154143825173378
0,{} dog in grand canyon,21,0.18718329071998596
0,{} dog in grand canyon,22,0.16903921961784363
0,{} dog in grand canyon,23,0.23766174912452698
0,{} dog in grand canyon,24,0.22182202339172363
0,{} dog in grand canyon,25,0.21414196491241455
0,{} dog in grand canyon,26,0.11891356855630875
0,{} dog in grand canyon,27,0.2972382605075836
0,{} dog in grand canyon,28,0.11812832206487656
0,{} dog in grand canyon,29,0.2583792209625244
0,{} dog in grand canyon,30,0.14527063071727753
0,{} dog in grand canyon,31,0.21980984508991241
0,{} dog in grand canyon,32,0.13664190471172333
0,{} dog in grand canyon,33,0.2097308337688446
0,{} dog in grand canyon,34,0.1744716465473175
0,{} dog in grand canyon,35,0.19709768891334534
0,{} dog in grand canyon,36,0.3009704649448395
0,{} dog in grand canyon,37,0.16013264656066895
0,{} dog in grand canyon,38,0.2631283402442932
0,{} dog in grand canyon,39,0.16871480643749237
0,{} dog in grand canyon,40,0.20663723349571228
0,{} dog in grand canyon,41,0.2246837019920349
0,{} dog in grand canyon,42,0.3577499985694885
0,{} dog in grand canyon,43,0.32057034969329834
0,{} dog in grand canyon,44,0.26189470291137695
0,{} dog in grand canyon,45,0.3358190059661865
0,{} dog in grand canyon,46,0.190578430891037
0,{} dog in grand canyon,47,0.19656747579574585
0,{} dog in grand canyon,48,0.17501762509346008
0,{} dog in grand canyon,49,0.11436569690704346
1,{} dog sitting at the beach with a view of the sea,0,0.3076287508010864
1,{} dog sitting at the beach with a view of the sea,1,0.3139674961566925
1,{} dog sitting at the beach with a view of the sea,2,0.33389556407928467
1,{} dog sitting at the beach with a view of the sea,3,0.34973227977752686
1,{} dog sitting at the beach with a view of the sea,4,0.2702730894088745
1,{} dog sitting at the beach with a view of the sea,5,0.2485228031873703
1,{} dog sitting at the beach with a view of the sea,6,0.3797430694103241
1,{} dog sitting at the beach with a view of the sea,7,0.35303688049316406
1,{} dog sitting at the beach with a view of the sea,8,0.5076351165771484
1,{} dog sitting at the beach with a view of the sea,9,0.3237144947052002
1,{} dog sitting at the beach with a view of the sea,10,0.3511359691619873
1,{} dog sitting at the beach with a view of the sea,11,0.30961036682128906
1,{} dog sitting at the beach with a view of the sea,12,0.3132965862751007
1,{} dog sitting at the beach with a view of the sea,13,0.3213532269001007
1,{} dog sitting at the beach with a view of the sea,14,0.25621235370635986
1,{} dog sitting at the beach with a view of the sea,15,0.2628493309020996
1,{} dog sitting at the beach with a view of the sea,16,0.26341089606285095
1,{} dog sitting at the beach with a view of the sea,17,0.4953685700893402
1,{} dog sitting at the beach with a view of the sea,18,0.4025837481021881
1,{} dog sitting at the beach with a view of the sea,19,0.4115661382675171
1,{} dog sitting at the beach with a view of the sea,20,0.2616599202156067
1,{} dog sitting at the beach with a view of the sea,21,0.3552953600883484
1,{} dog sitting at the beach with a view of the sea,22,0.37752026319503784
1,{} dog sitting at the beach with a view of the sea,23,0.293113648891449
1,{} dog sitting at the beach with a view of the sea,24,0.30633366107940674
1,{} dog sitting at the beach with a view of the sea,25,0.25948625802993774
1,{} dog sitting at the beach with a view of the sea,26,0.29084330797195435
1,{} dog sitting at the beach with a view of the sea,27,0.35136866569519043
1,{} dog sitting at the beach with a view of the sea,28,0.3447204828262329
1,{} dog sitting at the beach with a view of the sea,29,0.22331085801124573
1,{} dog sitting at the beach with a view of the sea,30,0.3687276244163513
1,{} dog sitting at the beach with a view of the sea,31,0.2942069172859192
1,{} dog sitting at the beach with a view of the sea,32,0.4518446922302246
1,{} dog sitting at the beach with a view of the sea,33,0.19926966726779938
1,{} dog sitting at the beach with a view of the sea,34,0.32056260108947754
1,{} dog sitting at the beach with a view of the sea,35,0.42787373065948486
1,{} dog sitting at the beach with a view of the sea,36,0.3740389943122864
1,{} dog sitting at the beach with a view of the sea,37,0.32308411598205566
1,{} dog sitting at the beach with a view of the sea,38,0.29321032762527466
1,{} dog sitting at the beach with a view of the sea,39,0.309932678937912
1,{} dog sitting at the beach with a view of the sea,40,0.36348602175712585
1,{} dog sitting at the beach with a view of the sea,41,0.41175687313079834
1,{} dog sitting at the beach with a view of the sea,42,0.2430698126554489
1,{} dog sitting at the beach with a view of the sea,43,0.3453410267829895
1,{} dog sitting at the beach with a view of the sea,44,0.21451765298843384
1,{} dog sitting at the beach with a view of the sea,45,0.38073569536209106
1,{} dog sitting at the beach with a view of the sea,46,0.26171809434890747
1,{} dog sitting at the beach with a view of the sea,47,0.15210621058940887
1,{} dog sitting at the beach with a view of the sea,48,0.25800028443336487
1,{} dog sitting at the beach with a view of the sea,49,0.12330754101276398
2,{} dog in times square,0,0.2828786373138428
2,{} dog in times square,1,0.12625542283058167
2,{} dog in times square,2,0.2691335678100586
2,{} dog in times square,3,0.07924236357212067
2,{} dog in times square,4,0.16968080401420593
2,{} dog in times square,5,0.1655064821243286
2,{} dog in times square,6,0.3287268579006195
2,{} dog in times square,7,0.3032500147819519
2,{} dog in times square,8,0.2158317118883133
2,{} dog in times square,9,0.34857580065727234
2,{} dog in times square,10,0.14990654587745667
2,{} dog in times square,11,0.2106495201587677
2,{} dog in times square,12,0.2802516520023346
2,{} dog in times square,13,0.41784143447875977
2,{} dog in times square,14,0.38579341769218445
2,{} dog in times square,15,0.23653969168663025
2,{} dog in times square,16,0.25832614302635193
2,{} dog in times square,17,0.24785172939300537
2,{} dog in times square,18,0.2855859100818634
2,{} dog in times square,19,0.19640368223190308
2,{} dog in times square,20,0.21473336219787598
2,{} dog in times square,21,0.3420064449310303
2,{} dog in times square,22,0.24558418989181519
2,{} dog in times square,23,0.26853394508361816
2,{} dog in times square,24,0.18123339116573334
2,{} dog in times square,25,0.05286145582795143
2,{} dog in times square,26,0.2595645487308502
2,{} dog in times square,27,0.23797783255577087
2,{} dog in times square,28,0.19178393483161926
2,{} dog in times square,29,0.2668611407279968
2,{} dog in times square,30,0.22130462527275085
2,{} dog in times square,31,0.32749611139297485
2,{} dog in times square,32,0.22719837725162506
2,{} dog in times square,33,0.16048774123191833
2,{} dog in times square,34,0.26213911175727844
2,{} dog in times square,35,0.21021655201911926
2,{} dog in times square,36,0.18184354901313782
2,{} dog in times square,37,0.24202996492385864
2,{} dog in times square,38,0.21230925619602203
2,{} dog in times square,39,0.24118229746818542
2,{} dog in times square,40,0.0813094824552536
2,{} dog in times square,41,0.23698844015598297
2,{} dog in times square,42,0.33544695377349854
2,{} dog in times square,43,0.3174763023853302
2,{} dog in times square,44,0.26365411281585693
2,{} dog in times square,45,0.4003462791442871
2,{} dog in times square,46,0.11400362849235535
2,{} dog in times square,47,0.23326615989208221
2,{} dog in times square,48,0.26070740818977356
2,{} dog in times square,49,0.24861955642700195
3,{} dog wearing sunglasses,0,0.5219181776046753
3,{} dog wearing sunglasses,1,0.4751017093658447
3,{} dog wearing sunglasses,2,0.5211057662963867
3,{} dog wearing sunglasses,3,0.45453429222106934
3,{} dog wearing sunglasses,4,0.4579493999481201
3,{} dog wearing sunglasses,5,0.480633020401001
3,{} dog wearing sunglasses,6,0.3571881651878357
3,{} dog wearing sunglasses,7,0.35363978147506714
3,{} dog wearing sunglasses,8,0.5115042924880981
3,{} dog wearing sunglasses,9,0.4986424446105957
3,{} dog wearing sunglasses,10,0.4010296165943146
3,{} dog wearing sunglasses,11,0.5197071433067322
3,{} dog wearing sunglasses,12,0.40816667675971985
3,{} dog wearing sunglasses,13,0.5703880786895752
3,{} dog wearing sunglasses,14,0.44996535778045654
3,{} dog wearing sunglasses,15,0.4408310055732727
3,{} dog wearing sunglasses,16,0.4373597502708435
3,{} dog wearing sunglasses,17,0.444200336933136
3,{} dog wearing sunglasses,18,0.4571846127510071
3,{} dog wearing sunglasses,19,0.5636411905288696
3,{} dog wearing sunglasses,20,0.39866161346435547
3,{} dog wearing sunglasses,21,0.4861874580383301
