prompt_index,prompt,image_index,score
0, a chair,0,22.799964904785156
0, a chair,1,18.79491424560547
0, a chair,2,21.69611167907715
0, a chair,3,21.896984100341797
0, a chair,4,21.092145919799805
0, a chair,5,24.428882598876953
0, a chair,6,22.86023712158203
0, a chair,7,20.99428367614746
0, a chair,8,24.261119842529297
0, a chair,9,21.879253387451172
0, a chair,10,22.5275821685791
0, a chair,11,22.45876121520996
0, a chair,12,25.410717010498047
0, a chair,13,24.134370803833008
0, a chair,14,22.596792221069336
0, a chair,15,25.038707733154297
0, a chair,16,22.385868072509766
0, a chair,17,25.262128829956055
0, a chair,18,20.82181167602539
0, a chair,19,22.807329177856445
0, a chair,20,22.333911895751953
0, a chair,21,21.952327728271484
0, a chair,22,20.707494735717773
0, a chair,23,23.158105850219727
0, a chair,24,21.79935646057129
0, a chair,25,22.34308433532715
0, a chair,26,20.75733757019043
0, a chair,27,19.914472579956055
0, a chair,28,24.47538948059082
0, a chair,29,23.41470718383789
0, a chair,30,23.344558715820312
0, a chair,31,22.85995101928711
0, a chair,32,23.45347785949707
0, a chair,33,24.290149688720703
0, a chair,34,21.953046798706055
0, a chair,35,24.56770896911621
0, a chair,36,21.378019332885742
0, a chair,37,22.47881507873535
0, a chair,38,19.03962516784668
0, a chair,39,22.25326156616211
0, a chair,40,20.971363067626953
0, a chair,41,23.706811904907227
0, a chair,42,23.357040405273438
0, a chair,43,23.670989990234375
0, a chair,44,25.081241607666016
0, a chair,45,22.219417572021484
0, a chair,46,23.786170959472656
0, a chair,47,24.22710609436035
0, a chair,48,20.416658401489258
0, a chair,49,21.489328384399414
1, a chair,0,14.079991340637207
1, a chair,1,13.34980583190918
1, a chair,2,10.898473739624023
1, a chair,3,12.754673957824707
1, a chair,4,14.977041244506836
1, a chair,5,19.592008590698242
1, a chair,6,19.20243263244629
1, a chair,7,12.792142868041992
1, a chair,8,21.05575180053711
1, a chair,9,12.216375350952148
1, a chair,10,12.822465896606445
1, a chair,11,12.506697654724121
1, a chair,12,21.261322021484375
1, a chair,13,11.990328788757324
1, a chair,14,11.948060035705566
