"A photo of a {}",
"A rendering of a {}",
"A cropped photo of a {}",
"A portrait of a {}",
"A close-up shot of a {}",
"A full-body image of a {}",
"An artistic sketch of a {}",
"A black-and-white photograph of a {}",
"A candid shot of a {}",
"A digital illustration of a {}",
"A stylized caricature of a {}",
"A profile view of a {}",
"A group shot featuring a {}",
"A dynamic action pose of a {}",
"A studio portrait of a {}",
"An abstract representation of a {}",
"A casual snapshot of a {} outdoors.",
"A futuristic hologram of a {}",
"A detailed 3D model of a {}",
