prompt_index,prompt,image_index,score
0,{} tortoise plushy in grand canyon,0,39.83262252807617
0,{} tortoise plushy in grand canyon,1,38.01778030395508
0,{} tortoise plushy in grand canyon,2,37.702049255371094
0,{} tortoise plushy in grand canyon,3,39.06232833862305
0,{} tortoise plushy in grand canyon,4,38.82401657104492
0,{} tortoise plushy in grand canyon,5,12.926761627197266
0,{} tortoise plushy in grand canyon,6,39.519371032714844
0,{} tortoise plushy in grand canyon,7,38.352813720703125
0,{} tortoise plushy in grand canyon,8,38.68742370605469
0,{} tortoise plushy in grand canyon,9,38.117740631103516
0,{} tortoise plushy in grand canyon,10,36.00428771972656
0,{} tortoise plushy in grand canyon,11,33.86336135864258
0,{} tortoise plushy in grand canyon,12,38.389251708984375
0,{} tortoise plushy in grand canyon,13,38.053890228271484
0,{} tortoise plushy in grand canyon,14,38.09794235229492
0,{} tortoise plushy in grand canyon,15,38.248558044433594
0,{} tortoise plushy in grand canyon,16,38.40314865112305
0,{} tortoise plushy in grand canyon,17,40.005653381347656
0,{} tortoise plushy in grand canyon,18,34.610469818115234
0,{} tortoise plushy in grand canyon,19,41.20937728881836
0,{} tortoise plushy in grand canyon,20,38.099586486816406
0,{} tortoise plushy in grand canyon,21,36.920143127441406
0,{} tortoise plushy in grand canyon,22,38.216148376464844
0,{} tortoise plushy in grand canyon,23,37.589569091796875
0,{} tortoise plushy in grand canyon,24,38.91776657104492
0,{} tortoise plushy in grand canyon,25,40.359619140625
0,{} tortoise plushy in grand canyon,26,38.43775939941406
0,{} tortoise plushy in grand canyon,27,39.37533950805664
0,{} tortoise plushy in grand canyon,28,38.05557632446289
0,{} tortoise plushy in grand canyon,29,38.18302917480469
0,{} tortoise plushy in grand canyon,30,38.53392791748047
0,{} tortoise plushy in grand canyon,31,37.99258041381836
0,{} tortoise plushy in grand canyon,32,37.862606048583984
0,{} tortoise plushy in grand canyon,33,38.93939208984375
0,{} tortoise plushy in grand canyon,34,34.5956916809082
0,{} tortoise plushy in grand canyon,35,41.7197151184082
0,{} tortoise plushy in grand canyon,36,40.61761474609375
0,{} tortoise plushy in grand canyon,37,38.62553405761719
0,{} tortoise plushy in grand canyon,38,40.30604553222656
0,{} tortoise plushy in grand canyon,39,39.40040588378906
0,{} tortoise plushy in grand canyon,40,37.97739028930664
0,{} tortoise plushy in grand canyon,41,35.648406982421875
0,{} tortoise plushy in grand canyon,42,34.37957000732422
0,{} tortoise plushy in grand canyon,43,28.452598571777344
0,{} tortoise plushy in grand canyon,44,35.332496643066406
0,{} tortoise plushy in grand canyon,45,36.06665802001953
0,{} tortoise plushy in grand canyon,46,38.05611801147461
0,{} tortoise plushy in grand canyon,47,42.79217529296875
0,{} tortoise plushy in grand canyon,48,38.749019622802734
0,{} tortoise plushy in grand canyon,49,37.19662094116211
1,{} tortoise plushy swimming in a pool,0,35.00481414794922
1,{} tortoise plushy swimming in a pool,1,32.3679084777832
1,{} tortoise plushy swimming in a pool,2,32.43595504760742
1,{} tortoise plushy swimming in a pool,3,33.6219482421875
1,{} tortoise plushy swimming in a pool,4,30.916934967041016
1,{} tortoise plushy swimming in a pool,5,32.58591842651367
1,{} tortoise plushy swimming in a pool,6,31.98561668395996
1,{} tortoise plushy swimming in a pool,7,30.817974090576172
1,{} tortoise plushy swimming in a pool,8,32.668460845947266
1,{} tortoise plushy swimming in a pool,9,32.20970153808594
1,{} tortoise plushy swimming in a pool,10,33.273250579833984
1,{} tortoise plushy swimming in a pool,11,31.904102325439453
1,{} tortoise plushy swimming in a pool,12,32.49039077758789
1,{} tortoise plushy swimming in a pool,13,30.521604537963867
1,{} tortoise plushy swimming in a pool,14,32.3448371887207
1,{} tortoise plushy swimming in a pool,15,31.89904022216797
1,{} tortoise plushy swimming in a pool,16,32.805206298828125
1,{} tortoise plushy swimming in a pool,17,32.722145080566406
1,{} tortoise plushy swimming in a pool,18,35.026222229003906
1,{} tortoise plushy swimming in a pool,19,33.46266555786133
1,{} tortoise plushy swimming in a pool,20,30.673980712890625
1,{} tortoise plushy swimming in a pool,21,33.64018630981445
