prompt,custom_prompt_A,custom_prompt_B,custom_prompt_C
{} flower growing in the desert, a flower, a desert, NA
{} flower at a beach with a view of the seashore, a flower, beach with a view of the seashore, NA
{} flower on top of a mountain with sunrise in the background, a flower, a mountain with sunrise in the background, NA
a man holding a bouquet of {} flower, a flower, a man holding a bouquet, NA
A garden of {} flower, a flower, a garden, NA
{} flower in a violet vase on a table, a flower, a violet vase on a table, NA
a vase filled with {} flower on a table, a flower, a vase on a table, NA
a woman holding a bouquet of {} flower and roses, a flower, a woman holding a bouquet, NA
{} flower and a chocolate cake on the table, a flower, a chocolate cake on the table, NA
puppy in front of {} flower, a flower, a puppy, NA
a cat in front of {} flower, a flower, a cat, NA
a squirrel in front of {} flower, a flower, a squirrel, NA
a bird in front of {} flower, a flower, a bird, NA
