prompt, custom_prompt_A, custom_prompt_B, custom_prompt_C
{} teddybear in grand canyon, a teddybear, grand canyon, NA
{} teddybear sitting at the beach with a view of the sea, a teddybear, beach with a view of the sea, NA
{} teddybear in times square, a teddybear, times square, NA
{} teddybear wearing sunglasses, a teddybear, wearing sunglasses, NA
{} teddybear working on the laptop, a teddybear, working on the laptop, NA
{} teddybear on a boat in the sea, a teddybear, a boat in the sea, NA
{} teddybear wearing headphones, a teddybear, wearing headphones, NA
{} teddybear in a construction outfit, a teddybear, a construction outfit, NA
{} teddybear on top of a mountain, a teddybear, on top of a mountain, NA
a koala in the style of {} teddybear, a teddybear, a koala, NA
a backpack in the style of {} teddybear, a teddybear, a backpack, NA
{} teddybear made of crochet, a teddybear, made of crochet, NA
a sweater in the style of {} teddybear, a teddybear, a sweater, NA
a photo of a {} teddybear in Van Gogh style, a teddybear, Van Gogh style, NA
