prompt_index,prompt,image_index,score
0, grand canyon,0,23.751182556152344
0, grand canyon,1,20.207622528076172
0, grand canyon,2,20.500770568847656
0, grand canyon,3,21.75516128540039
0, grand canyon,4,21.715194702148438
0, grand canyon,5,20.957544326782227
0, grand canyon,6,22.93674659729004
0, grand canyon,7,21.93410873413086
0, grand canyon,8,22.448833465576172
0, grand canyon,9,21.896080017089844
0, grand canyon,10,21.134963989257812
0, grand canyon,11,22.364669799804688
0, grand canyon,12,20.567514419555664
0, grand canyon,13,21.110748291015625
0, grand canyon,14,22.26911735534668
0, grand canyon,15,22.03620147705078
0, grand canyon,16,22.774005889892578
0, grand canyon,17,22.087902069091797
0, grand canyon,18,21.808189392089844
0, grand canyon,19,21.678388595581055
0, grand canyon,20,20.714933395385742
0, grand canyon,21,20.478668212890625
0, grand canyon,22,20.876569747924805
0, grand canyon,23,20.74034881591797
0, grand canyon,24,22.01508903503418
0, grand canyon,25,22.99514389038086
0, grand canyon,26,21.2249755859375
0, grand canyon,27,21.728796005249023
0, grand canyon,28,22.71367073059082
0, grand canyon,29,23.781309127807617
0, grand canyon,30,22.971149444580078
0, grand canyon,31,23.786954879760742
0, grand canyon,32,20.597700119018555
0, grand canyon,33,21.075387954711914
0, grand canyon,34,21.5067081451416
0, grand canyon,35,24.68495750427246
0, grand canyon,36,20.814048767089844
0, grand canyon,37,21.380657196044922
0, grand canyon,38,22.91446876525879
0, grand canyon,39,21.394563674926758
0, grand canyon,40,20.89830207824707
0, grand canyon,41,22.177663803100586
0, grand canyon,42,23.759624481201172
0, grand canyon,43,21.10668182373047
0, grand canyon,44,21.629796981811523
0, grand canyon,45,21.308534622192383
0, grand canyon,46,21.804006576538086
0, grand canyon,47,22.68488883972168
0, grand canyon,48,20.583524703979492
0, grand canyon,49,20.64240264892578
1, beach with a view of the sea,0,18.805023193359375
1, beach with a view of the sea,1,20.229726791381836
1, beach with a view of the sea,2,19.032657623291016
1, beach with a view of the sea,3,19.245220184326172
1, beach with a view of the sea,4,19.695083618164062
1, beach with a view of the sea,5,19.24978256225586
1, beach with a view of the sea,6,19.131473541259766
1, beach with a view of the sea,7,21.018495559692383
1, beach with a view of the sea,8,20.411733627319336
1, beach with a view of the sea,9,20.798799514770508
1, beach with a view of the sea,10,20.314117431640625
1, beach with a view of the sea,11,19.995361328125
1, beach with a view of the sea,12,22.669008255004883
1, beach with a view of the sea,13,19.88210105895996
1, beach with a view of the sea,14,20.299962997436523
1, beach with a view of the sea,15,19.26190185546875
1, beach with a view of the sea,16,20.084571838378906
1, beach with a view of the sea,17,21.052425384521484
1, beach with a view of the sea,18,19.137794494628906
1, beach with a view of the sea,19,20.957386016845703
1, beach with a view of the sea,20,19.75772476196289
1, beach with a view of the sea,21,19.717792510986328
1, beach with a view of the sea,22,19.18255615234375
1, beach with a view of the sea,23,22.092987060546875
1, beach with a view of the sea,24,18.727249145507812
1, beach with a view of the sea,25,22.623937606811523
1, beach with a view of the sea,26,20.101877212524414
1, beach with a view of the sea,27,18.495529174804688
1, beach with a view of the sea,28,18.853700637817383
1, beach with a view of the sea,29,17.283218383789062
1, beach with a view of the sea,30,20.554384231567383
1, beach with a view of the sea,31,20.809707641601562
1, beach with a view of the sea,32,21.14007568359375
1, beach with a view of the sea,33,19.638792037963867
1, beach with a view of the sea,34,21.60468101501465
1, beach with a view of the sea,35,20.243703842163086
1, beach with a view of the sea,36,20.115880966186523
1, beach with a view of the sea,37,17.31812286376953
1, beach with a view of the sea,38,20.21399688720703
1, beach with a view of the sea,39,19.46660804748535
1, beach with a view of the sea,40,19.087360382080078
1, beach with a view of the sea,41,20.119407653808594
1, beach with a view of the sea,42,19.659988403320312
1, beach with a view of the sea,43,18.519458770751953
1, beach with a view of the sea,44,21.46540641784668
1, beach with a view of the sea,45,21.300615310668945
1, beach with a view of the sea,46,20.463041305541992
1, beach with a view of the sea,47,20.338024139404297
1, beach with a view of the sea,48,21.083709716796875
1, beach with a view of the sea,49,20.70469856262207
2, times square,0,16.597820281982422
2, times square,1,20.909589767456055
2, times square,2,19.6256160736084
2, times square,3,12.42744255065918
2, times square,4,14.170591354370117
2, times square,5,19.03725814819336
2, times square,6,18.85695457458496
2, times square,7,19.885047912597656
2, times square,8,21.156253814697266
2, times square,9,20.550888061523438
