prompt_index,prompt,image_index,score
0, a barn,0,17.874773025512695
0, a barn,1,24.309528350830078
0, a barn,2,24.234479904174805
0, a barn,3,23.83847427368164
0, a barn,4,24.478071212768555
0, a barn,5,21.56682777404785
0, a barn,6,22.83127784729004
0, a barn,7,21.423274993896484
0, a barn,8,23.389989852905273
0, a barn,9,23.045732498168945
0, a barn,10,23.463865280151367
0, a barn,11,26.385793685913086
0, a barn,12,25.031408309936523
0, a barn,13,23.768129348754883
0, a barn,14,25.008169174194336
0, a barn,15,25.36971664428711
0, a barn,16,25.827577590942383
0, a barn,17,22.287050247192383
0, a barn,18,25.633934020996094
0, a barn,19,23.69884490966797
0, a barn,20,24.349328994750977
0, a barn,21,23.3116455078125
0, a barn,22,24.97270393371582
0, a barn,23,23.51934051513672
0, a barn,24,23.43305778503418
0, a barn,25,25.692808151245117
0, a barn,26,23.440994262695312
0, a barn,27,23.33732032775879
0, a barn,28,26.32672119140625
0, a barn,29,25.127857208251953
0, a barn,30,22.75666046142578
0, a barn,31,25.936004638671875
0, a barn,32,24.51844024658203
0, a barn,33,26.1782169342041
0, a barn,34,22.15195083618164
0, a barn,35,23.483112335205078
0, a barn,36,25.819128036499023
0, a barn,37,23.524730682373047
0, a barn,38,25.69659996032715
0, a barn,39,25.205760955810547
0, a barn,40,22.97020721435547
0, a barn,41,23.402145385742188
0, a barn,42,24.389507293701172
0, a barn,43,21.047874450683594
0, a barn,44,23.872426986694336
0, a barn,45,26.122020721435547
0, a barn,46,23.47321319580078
0, a barn,47,24.509807586669922
0, a barn,48,25.4689998626709
0, a barn,49,24.289148330688477
1, a barn,0,21.968093872070312
1, a barn,1,23.527830123901367
1, a barn,2,20.303123474121094
1, a barn,3,18.316177368164062
1, a barn,4,20.305397033691406
1, a barn,5,20.589130401611328
1, a barn,6,19.231834411621094
1, a barn,7,19.869966506958008
1, a barn,8,20.71623420715332
1, a barn,9,21.159582138061523
1, a barn,10,20.88160514831543
1, a barn,11,21.934499740600586
1, a barn,12,14.894156455993652
1, a barn,13,21.223831176757812
1, a barn,14,20.538217544555664
1, a barn,15,22.143503189086914
1, a barn,16,19.992843627929688
1, a barn,17,21.5682373046875
1, a barn,18,18.461231231689453
1, a barn,19,19.10621452331543
1, a barn,20,21.840208053588867
1, a barn,21,13.567745208740234
1, a barn,22,20.75887107849121
1, a barn,23,20.12009048461914
1, a barn,24,15.326820373535156
1, a barn,25,20.94268226623535
1, a barn,26,20.81959342956543
1, a barn,27,19.95661735534668
1, a barn,28,21.296831130981445
1, a barn,29,16.993011474609375
1, a barn,30,18.671321868896484
1, a barn,31,16.57054328918457
1, a barn,32,19.648283004760742
1, a barn,33,20.344907760620117
1, a barn,34,19.852205276489258
1, a barn,35,22.19161605834961
1, a barn,36,20.782506942749023
1, a barn,37,21.62586212158203
1, a barn,38,14.20567512512207
1, a barn,39,22.15011215209961
1, a barn,40,20.49321937561035
1, a barn,41,18.645631790161133
1, a barn,42,20.617252349853516
1, a barn,43,15.170099258422852
1, a barn,44,19.174760818481445
1, a barn,45,17.819467544555664
1, a barn,46,22.460779190063477
1, a barn,47,14.488601684570312
1, a barn,48,21.405427932739258
1, a barn,49,21.40953826904297
2, a barn,0,23.369766235351562
2, a barn,1,24.95323371887207
2, a barn,2,26.253690719604492
2, a barn,3,24.633811950683594
2, a barn,4,25.81256675720215
2, a barn,5,25.856252670288086
2, a barn,6,25.692758560180664
2, a barn,7,26.39990997314453
2, a barn,8,24.724458694458008
2, a barn,9,26.92546844482422
2, a barn,10,25.521263122558594
2, a barn,11,25.807273864746094
2, a barn,12,24.27220916748047
2, a barn,13,22.83683967590332
2, a barn,14,26.201623916625977
2, a barn,15,26.194698333740234
2, a barn,16,24.471771240234375
2, a barn,17,24.691654205322266
2, a barn,18,24.833457946777344
2, a barn,19,25.62059211730957
2, a barn,20,23.33322525024414
2, a barn,21,27.193904876708984
2, a barn,22,26.15583610534668
2, a barn,23,27.55368995666504
2, a barn,24,26.9077205657959
2, a barn,25,23.945703506469727
2, a barn,26,24.849733352661133
2, a barn,27,27.386993408203125
2, a barn,28,26.2838191986084
2, a barn,29,23.82048988342285
2, a barn,30,25.348228454589844
2, a barn,31,23.740140914916992
2, a barn,32,22.3631591796875
2, a barn,33,24.18156623840332
2, a barn,34,24.360198974609375
2, a barn,35,25.654560089111328
2, a barn,36,25.939416885375977
2, a barn,37,26.49044418334961
2, a barn,38,25.049251556396484
2, a barn,39,25.01569366455078
2, a barn,40,24.962169647216797
2, a barn,41,23.399658203125
2, a barn,42,27.35521697998047
2, a barn,43,25.693058013916016
2, a barn,44,27.229408264160156
2, a barn,45,24.44138526916504
2, a barn,46,26.077545166015625
2, a barn,47,25.7298583984375
2, a barn,48,25.014833450317383
2, a barn,49,25.42182731628418
3, a barn,0,17.00142478942871
3, a barn,1,14.826467514038086
3, a barn,2,21.68794822692871
3, a barn,3,15.703275680541992
3, a barn,4,16.936399459838867
3, a barn,5,20.797910690307617
3, a barn,6,15.447850227355957
3, a barn,7,16.207542419433594
3, a barn,8,15.006752014160156
3, a barn,9,12.167510032653809
3, a barn,10,12.45715045928955
3, a barn,11,14.958782196044922
3, a barn,12,18.99695587158203
3, a barn,13,20.26168441772461
3, a barn,14,16.015958786010742
3, a barn,15,13.860124588012695
3, a barn,16,17.716976165771484
3, a barn,17,11.201247215270996
3, a barn,18,17.046720504760742
3, a barn,19,16.36164665222168
3, a barn,20,15.64310073852539
3, a barn,21,19.679702758789062
3, a barn,22,20.909330368041992
3, a barn,23,17.809131622314453
3, a barn,24,21.067371368408203
3, a barn,25,16.595439910888672
3, a barn,26,14.069488525390625
3, a barn,27,11.327805519104004
3, a barn,28,15.421324729919434
3, a barn,29,12.047574996948242
3, a barn,30,12.388394355773926
3, a barn,31,17.06783676147461
3, a barn,32,15.04811954498291
3, a barn,33,18.24159049987793
3, a barn,34,19.470947265625
3, a barn,35,11.620768547058105
3, a barn,36,13.077685356140137
3, a barn,37,12.003165245056152
3, a barn,38,13.34991455078125
3, a barn,39,23.186893463134766
3, a barn,40,18.42515754699707
3, a barn,41,19.12575340270996
3, a barn,42,13.137316703796387
3, a barn,43,13.079574584960938
3, a barn,44,15.87049388885498
3, a barn,45,16.6749210357666
3, a barn,46,21.927169799804688
3, a barn,47,20.26742172241211
3, a barn,48,12.674342155456543
3, a barn,49,16.317554473876953
4, a barn,0,24.18427848815918
4, a barn,1,22.18184471130371
4, a barn,2,23.223630905151367
4, a barn,3,23.258991241455078
4, a barn,4,24.016799926757812
4, a barn,5,23.540050506591797
4, a barn,6,23.42157554626465
4, a barn,7,21.553516387939453
4, a barn,8,24.9189395904541
4, a barn,9,23.774253845214844
4, a barn,10,26.57666778564453
4, a barn,11,23.877704620361328
4, a barn,12,24.341751098632812
4, a barn,13,22.14629364013672
4, a barn,14,24.029569625854492
4, a barn,15,24.455598831176758
4, a barn,16,23.8283634185791
4, a barn,17,14.025269508361816
4, a barn,18,24.398174285888672
4, a barn,19,24.308452606201172
4, a barn,20,22.8388729095459
4, a barn,21,26.46840476989746
4, a barn,22,24.084774017333984
4, a barn,23,24.41246223449707
4, a barn,24,24.629396438598633
4, a barn,25,24.726709365844727
4, a barn,26,23.432573318481445
4, a barn,27,27.285940170288086
4, a barn,28,22.4227294921875
4, a barn,29,22.990026473999023
4, a barn,30,23.632055282592773
4, a barn,31,25.165233612060547
4, a barn,32,24.52105140686035
4, a barn,33,21.634817123413086
4, a barn,34,22.668869018554688
4, a barn,35,23.367860794067383
4, a barn,36,25.874229431152344
4, a barn,37,22.783634185791016
4, a barn,38,24.446857452392578
4, a barn,39,23.77254867553711
4, a barn,40,25.601810455322266
4, a barn,41,23.3571720123291
4, a barn,42,24.37244987487793
4, a barn,43,24.638046264648438
4, a barn,44,23.789735794067383
4, a barn,45,26.547500610351562
4, a barn,46,22.36204719543457
4, a barn,47,22.445968627929688
4, a barn,48,22.608051300048828
4, a barn,49,24.010303497314453
5, a barn,0,23.216285705566406
5, a barn,1,22.6919002532959
5, a barn,2,24.37848663330078
5, a barn,3,23.733741760253906
5, a barn,4,23.731182098388672
5, a barn,5,21.083402633666992
5, a barn,6,25.6596622467041
5, a barn,7,21.4858341217041
5, a barn,8,24.554500579833984
5, a barn,9,15.485848426818848
5, a barn,10,22.268585205078125
5, a barn,11,25.04335594177246
5, a barn,12,22.732362747192383
5, a barn,13,24.228742599487305
5, a barn,14,24.63397979736328
5, a barn,15,22.842674255371094
5, a barn,16,24.7844295501709
5, a barn,17,23.9316349029541
5, a barn,18,24.21626091003418
5, a barn,19,22.18935203552246
5, a barn,20,22.810932159423828
5, a barn,21,21.385311126708984
5, a barn,22,24.03905487060547
5, a barn,23,23.20261001586914
5, a barn,24,26.229652404785156
5, a barn,25,23.08460807800293
5, a barn,26,23.015199661254883
5, a barn,27,13.074453353881836
5, a barn,28,25.91946029663086
5, a barn,29,24.257701873779297
5, a barn,30,25.75220489501953
5, a barn,31,23.665464401245117
5, a barn,32,25.226932525634766
5, a barn,33,14.787936210632324
5, a barn,34,12.444028854370117
5, a barn,35,23.382490158081055
5, a barn,36,24.354413986206055
5, a barn,37,25.081771850585938
5, a barn,38,23.72800636291504
5, a barn,39,18.22176170349121
5, a barn,40,25.695232391357422
5, a barn,41,23.404911041259766
5, a barn,42,21.725189208984375
5, a barn,43,23.997413635253906
5, a barn,44,14.286986351013184
5, a barn,45,23.6885986328125
5, a barn,46,24.772476196289062
5, a barn,47,22.787368774414062
5, a barn,48,12.634330749511719
5, a barn,49,24.526424407958984
6, a barn,0,24.320796966552734
6, a barn,1,23.660789489746094
6, a barn,2,21.96074104309082
6, a barn,3,22.96854019165039
6, a barn,4,23.529672622680664
6, a barn,5,21.146665573120117
6, a barn,6,21.89858627319336
6, a barn,7,22.76603889465332
6, a barn,8,21.52305030822754
6, a barn,9,22.11574363708496
6, a barn,10,23.086244583129883
6, a barn,11,25.612634658813477
6, a barn,12,24.662715911865234
6, a barn,13,22.441267013549805
6, a barn,14,23.676013946533203
6, a barn,15,20.210874557495117
6, a barn,16,22.13201904296875
6, a barn,17,18.21316146850586
6, a barn,18,22.861181259155273
6, a barn,19,20.85842514038086
6, a barn,20,22.668733596801758
6, a barn,21,21.685304641723633
6, a barn,22,24.320980072021484
6, a barn,23,21.34603500366211
6, a barn,24,20.71182632446289
6, a barn,25,18.417322158813477
6, a barn,26,22.5971622467041
6, a barn,27,21.89659309387207
6, a barn,28,23.216318130493164
6, a barn,29,23.639934539794922
6, a barn,30,23.018009185791016
6, a barn,31,23.147470474243164
6, a barn,32,24.335792541503906
6, a barn,33,24.39187240600586
6, a barn,34,23.921085357666016
6, a barn,35,23.74568748474121
6, a barn,36,18.55292320251465
6, a barn,37,19.369709014892578
6, a barn,38,23.724931716918945
6, a barn,39,23.896827697753906
6, a barn,40,23.767324447631836
6, a barn,41,21.485395431518555
6, a barn,42,23.933401107788086
6, a barn,43,23.72653579711914
6, a barn,44,23.460887908935547
6, a barn,45,22.491954803466797
6, a barn,46,21.917009353637695
6, a barn,47,20.827892303466797
6, a barn,48,22.633773803710938
6, a barn,49,19.960424423217773
7, a barn,0,19.769695281982422
7, a barn,1,24.216053009033203
7, a barn,2,21.88279151916504
7, a barn,3,21.97881507873535
7, a barn,4,16.40608024597168
7, a barn,5,21.761993408203125
7, a barn,6,21.208303451538086
7, a barn,7,19.381546020507812
7, a barn,8,23.67599105834961
7, a barn,9,18.637939453125
7, a barn,10,17.74814796447754
7, a barn,11,24.698863983154297
7, a barn,12,18.76182746887207
7, a barn,13,25.72110939025879
7, a barn,14,13.555027961730957
7, a barn,15,16.928937911987305
7, a barn,16,21.391244888305664
7, a barn,17,13.318716049194336
7, a barn,18,20.803979873657227
7, a barn,19,21.054035186767578
7, a barn,20,22.554584503173828
7, a barn,21,11.779662132263184
7, a barn,22,22.23114585876465
7, a barn,23,12.204360961914062
7, a barn,24,21.451988220214844
7, a barn,25,21.15072250366211
7, a barn,26,13.320115089416504
7, a barn,27,22.399311065673828
7, a barn,28,20.33892250061035
7, a barn,29,20.490371704101562
7, a barn,30,12.500007629394531
7, a barn,31,23.0756893157959
7, a barn,32,22.753948211669922
7, a barn,33,11.649323463439941
7, a barn,34,18.105987548828125
