prompt_index,prompt,image_index,score
0,{} cat in grand canyon,0,33.021968841552734
0,{} cat in grand canyon,1,32.8092155456543
0,{} cat in grand canyon,2,34.30552291870117
0,{} cat in grand canyon,3,32.33860778808594
0,{} cat in grand canyon,4,34.195899963378906
0,{} cat in grand canyon,5,33.60660934448242
0,{} cat in grand canyon,6,34.03667068481445
0,{} cat in grand canyon,7,35.10566711425781
0,{} cat in grand canyon,8,33.80536651611328
0,{} cat in grand canyon,9,31.985591888427734
0,{} cat in grand canyon,10,34.357391357421875
0,{} cat in grand canyon,11,33.47194290161133
0,{} cat in grand canyon,12,35.187564849853516
0,{} cat in grand canyon,13,33.536041259765625
0,{} cat in grand canyon,14,33.61040496826172
0,{} cat in grand canyon,15,32.39456558227539
0,{} cat in grand canyon,16,32.93327713012695
0,{} cat in grand canyon,17,33.18666076660156
0,{} cat in grand canyon,18,32.94569396972656
0,{} cat in grand canyon,19,34.18379211425781
0,{} cat in grand canyon,20,33.90366744995117
0,{} cat in grand canyon,21,34.163272857666016
0,{} cat in grand canyon,22,33.09516525268555
0,{} cat in grand canyon,23,33.861881256103516
0,{} cat in grand canyon,24,32.62192153930664
0,{} cat in grand canyon,25,33.57278060913086
0,{} cat in grand canyon,26,33.841156005859375
0,{} cat in grand canyon,27,34.995548248291016
0,{} cat in grand canyon,28,33.7758674621582
0,{} cat in grand canyon,29,34.94956970214844
0,{} cat in grand canyon,30,34.048316955566406
0,{} cat in grand canyon,31,33.66444778442383
0,{} cat in grand canyon,32,33.275596618652344
0,{} cat in grand canyon,33,33.721736907958984
0,{} cat in grand canyon,34,34.27124786376953
0,{} cat in grand canyon,35,35.25458908081055
0,{} cat in grand canyon,36,33.1214714050293
0,{} cat in grand canyon,37,34.13040542602539
0,{} cat in grand canyon,38,32.47288513183594
0,{} cat in grand canyon,39,34.76207733154297
0,{} cat in grand canyon,40,34.52023696899414
0,{} cat in grand canyon,41,33.23322677612305
0,{} cat in grand canyon,42,27.58481216430664
0,{} cat in grand canyon,43,34.21175003051758
0,{} cat in grand canyon,44,32.659671783447266
0,{} cat in grand canyon,45,36.044776916503906
0,{} cat in grand canyon,46,34.91705322265625
0,{} cat in grand canyon,47,33.0361328125
0,{} cat in grand canyon,48,31.123897552490234
0,{} cat in grand canyon,49,30.89466667175293
1,{} cat sitting at the beach with a view of the sea,0,29.589111328125
1,{} cat sitting at the beach with a view of the sea,1,29.851924896240234
1,{} cat sitting at the beach with a view of the sea,2,32.246665954589844
1,{} cat sitting at the beach with a view of the sea,3,31.549327850341797
1,{} cat sitting at the beach with a view of the sea,4,31.367074966430664
1,{} cat sitting at the beach with a view of the sea,5,32.90961837768555
1,{} cat sitting at the beach with a view of the sea,6,30.926746368408203
1,{} cat sitting at the beach with a view of the sea,7,34.00437927246094
1,{} cat sitting at the beach with a view of the sea,8,32.296661376953125
1,{} cat sitting at the beach with a view of the sea,9,30.8922119140625
1,{} cat sitting at the beach with a view of the sea,10,32.19911575317383
1,{} cat sitting at the beach with a view of the sea,11,32.199371337890625
1,{} cat sitting at the beach with a view of the sea,12,33.64106369018555
1,{} cat sitting at the beach with a view of the sea,13,32.9506950378418
1,{} cat sitting at the beach with a view of the sea,14,28.293439865112305
1,{} cat sitting at the beach with a view of the sea,15,29.624696731567383
1,{} cat sitting at the beach with a view of the sea,16,29.66872787475586
1,{} cat sitting at the beach with a view of the sea,17,31.628602981567383
1,{} cat sitting at the beach with a view of the sea,18,31.333065032958984
1,{} cat sitting at the beach with a view of the sea,19,30.78262710571289
1,{} cat sitting at the beach with a view of the sea,20,28.584089279174805
1,{} cat sitting at the beach with a view of the sea,21,26.804716110229492
1,{} cat sitting at the beach with a view of the sea,22,28.396615982055664
1,{} cat sitting at the beach with a view of the sea,23,30.50694465637207
1,{} cat sitting at the beach with a view of the sea,24,29.494190216064453
1,{} cat sitting at the beach with a view of the sea,25,31.129499435424805
1,{} cat sitting at the beach with a view of the sea,26,28.372901916503906
1,{} cat sitting at the beach with a view of the sea,27,28.722471237182617
1,{} cat sitting at the beach with a view of the sea,28,30.46993637084961
1,{} cat sitting at the beach with a view of the sea,29,30.822805404663086
1,{} cat sitting at the beach with a view of the sea,30,32.9287223815918
1,{} cat sitting at the beach with a view of the sea,31,34.164695739746094
1,{} cat sitting at the beach with a view of the sea,32,30.465402603149414
1,{} cat sitting at the beach with a view of the sea,33,29.7943058013916
1,{} cat sitting at the beach with a view of the sea,34,31.515138626098633
1,{} cat sitting at the beach with a view of the sea,35,31.911605834960938
1,{} cat sitting at the beach with a view of the sea,36,28.822505950927734
1,{} cat sitting at the beach with a view of the sea,37,27.10502815246582
1,{} cat sitting at the beach with a view of the sea,38,29.52122688293457
1,{} cat sitting at the beach with a view of the sea,39,31.777572631835938
1,{} cat sitting at the beach with a view of the sea,40,27.458742141723633
1,{} cat sitting at the beach with a view of the sea,41,32.29561996459961
1,{} cat sitting at the beach with a view of the sea,42,33.412052154541016
1,{} cat sitting at the beach with a view of the sea,43,28.99962615966797
1,{} cat sitting at the beach with a view of the sea,44,32.48664093017578
1,{} cat sitting at the beach with a view of the sea,45,30.31246566772461
1,{} cat sitting at the beach with a view of the sea,46,28.48988151550293
1,{} cat sitting at the beach with a view of the sea,47,29.374902725219727
1,{} cat sitting at the beach with a view of the sea,48,31.348127365112305
1,{} cat sitting at the beach with a view of the sea,49,33.099876403808594
2,{} cat in times square,0,32.851768493652344
2,{} cat in times square,1,32.69711685180664
2,{} cat in times square,2,32.34707260131836
2,{} cat in times square,3,32.55564880371094
2,{} cat in times square,4,33.756778717041016
2,{} cat in times square,5,32.469947814941406
2,{} cat in times square,6,33.09951400756836
2,{} cat in times square,7,33.0670166015625
2,{} cat in times square,8,31.183576583862305
2,{} cat in times square,9,32.16786193847656
2,{} cat in times square,10,32.9437370300293
2,{} cat in times square,11,32.11952590942383
2,{} cat in times square,12,32.15178298950195
2,{} cat in times square,13,31.98760223388672
2,{} cat in times square,14,32.315521240234375
2,{} cat in times square,15,32.079681396484375
2,{} cat in times square,16,33.20751953125
2,{} cat in times square,17,33.400146484375
2,{} cat in times square,18,32.63385772705078
2,{} cat in times square,19,31.05148696899414
2,{} cat in times square,20,31.597890853881836
2,{} cat in times square,21,32.11138153076172
2,{} cat in times square,22,31.546316146850586
2,{} cat in times square,23,31.988481521606445
2,{} cat in times square,24,32.05778884887695
2,{} cat in times square,25,33.485137939453125
2,{} cat in times square,26,32.15900802612305
2,{} cat in times square,27,32.46201705932617
2,{} cat in times square,28,32.707489013671875
2,{} cat in times square,29,30.99138069152832
2,{} cat in times square,30,31.75293731689453
2,{} cat in times square,31,32.04487609863281
2,{} cat in times square,32,30.88638687133789
2,{} cat in times square,33,30.903100967407227
2,{} cat in times square,34,33.58404541015625
2,{} cat in times square,35,31.71226692199707
2,{} cat in times square,36,33.019256591796875
2,{} cat in times square,37,32.74882125854492
2,{} cat in times square,38,30.714754104614258
2,{} cat in times square,39,30.50736427307129
2,{} cat in times square,40,32.33287811279297
2,{} cat in times square,41,33.465213775634766
2,{} cat in times square,42,32.57168960571289
2,{} cat in times square,43,32.578128814697266
2,{} cat in times square,44,32.41035842895508
2,{} cat in times square,45,31.370983123779297
2,{} cat in times square,46,33.18439865112305
2,{} cat in times square,47,32.521358489990234
2,{} cat in times square,48,31.183195114135742
2,{} cat in times square,49,31.160207748413086
3,{} cat wearing sunglasses,0,29.902511596679688
3,{} cat wearing sunglasses,1,30.99069595336914
3,{} cat wearing sunglasses,2,30.309932708740234
3,{} cat wearing sunglasses,3,30.489307403564453
3,{} cat wearing sunglasses,4,30.05866050720215
3,{} cat wearing sunglasses,5,30.867172241210938
3,{} cat wearing sunglasses,6,28.826417922973633
3,{} cat wearing sunglasses,7,30.1261043548584
3,{} cat wearing sunglasses,8,29.996797561645508
3,{} cat wearing sunglasses,9,29.187471389770508
3,{} cat wearing sunglasses,10,30.710102081298828
3,{} cat wearing sunglasses,11,29.864587783813477
3,{} cat wearing sunglasses,12,29.986900329589844
3,{} cat wearing sunglasses,13,29.28122329711914
3,{} cat wearing sunglasses,14,29.334110260009766
3,{} cat wearing sunglasses,15,29.805761337280273
3,{} cat wearing sunglasses,16,29.61726188659668
3,{} cat wearing sunglasses,17,29.473722457885742
3,{} cat wearing sunglasses,18,30.267009735107422
3,{} cat wearing sunglasses,19,30.686742782592773
3,{} cat wearing sunglasses,20,30.537574768066406
3,{} cat wearing sunglasses,21,31.142377853393555
3,{} cat wearing sunglasses,22,29.12691307067871
3,{} cat wearing sunglasses,23,27.872434616088867
3,{} cat wearing sunglasses,24,29.56366539001465
3,{} cat wearing sunglasses,25,29.815357208251953
3,{} cat wearing sunglasses,26,30.896251678466797
3,{} cat wearing sunglasses,27,29.59695816040039
3,{} cat wearing sunglasses,28,27.84762954711914
3,{} cat wearing sunglasses,29,28.61262321472168
3,{} cat wearing sunglasses,30,30.004566192626953
3,{} cat wearing sunglasses,31,29.307401657104492
3,{} cat wearing sunglasses,32,30.795198440551758
3,{} cat wearing sunglasses,33,29.756168365478516
3,{} cat wearing sunglasses,34,30.57941246032715
3,{} cat wearing sunglasses,35,29.77762794494629
3,{} cat wearing sunglasses,36,30.405250549316406
3,{} cat wearing sunglasses,37,29.341062545776367
3,{} cat wearing sunglasses,38,29.51285171508789
3,{} cat wearing sunglasses,39,30.05710220336914
3,{} cat wearing sunglasses,40,29.726999282836914
3,{} cat wearing sunglasses,41,30.05405044555664
3,{} cat wearing sunglasses,42,27.325517654418945
3,{} cat wearing sunglasses,43,30.354808807373047
3,{} cat wearing sunglasses,44,30.868438720703125
3,{} cat wearing sunglasses,45,30.431303024291992
3,{} cat wearing sunglasses,46,31.190692901611328
3,{} cat wearing sunglasses,47,30.1152286529541
3,{} cat wearing sunglasses,48,30.28775978088379
3,{} cat wearing sunglasses,49,29.639148712158203
4,{} cat working on the laptop,0,24.4628849029541
4,{} cat working on the laptop,1,24.994503021240234
4,{} cat working on the laptop,2,24.574106216430664
4,{} cat working on the laptop,3,24.291126251220703
4,{} cat working on the laptop,4,23.34214210510254
4,{} cat working on the laptop,5,24.53046989440918
4,{} cat working on the laptop,6,23.376413345336914
4,{} cat working on the laptop,7,23.29347801208496
4,{} cat working on the laptop,8,25.455730438232422
4,{} cat working on the laptop,9,24.446325302124023
4,{} cat working on the laptop,10,24.377336502075195
4,{} cat working on the laptop,11,23.58917999267578
4,{} cat working on the laptop,12,23.240543365478516
4,{} cat working on the laptop,13,25.06374168395996
4,{} cat working on the laptop,14,23.588550567626953
4,{} cat working on the laptop,15,24.2702579498291
4,{} cat working on the laptop,16,23.393640518188477
4,{} cat working on the laptop,17,24.479814529418945
4,{} cat working on the laptop,18,24.881093978881836
4,{} cat working on the laptop,19,24.084012985229492
4,{} cat working on the laptop,20,23.78663444519043
4,{} cat working on the laptop,21,24.69556999206543
4,{} cat working on the laptop,22,24.706523895263672
4,{} cat working on the laptop,23,22.519502639770508
4,{} cat working on the laptop,24,24.993640899658203
4,{} cat working on the laptop,25,24.25467300415039
4,{} cat working on the laptop,26,24.74112319946289
4,{} cat working on the laptop,27,24.050949096679688
4,{} cat working on the laptop,28,24.6850528717041
4,{} cat working on the laptop,29,24.673694610595703
4,{} cat working on the laptop,30,23.914146423339844
4,{} cat working on the laptop,31,24.204343795776367
4,{} cat working on the laptop,32,22.588407516479492
4,{} cat working on the laptop,33,24.63715362548828
4,{} cat working on the laptop,34,24.247238159179688
4,{} cat working on the laptop,35,24.943944931030273
4,{} cat working on the laptop,36,25.437509536743164
4,{} cat working on the laptop,37,24.403873443603516
4,{} cat working on the laptop,38,24.351797103881836
4,{} cat working on the laptop,39,23.10306739807129
4,{} cat working on the laptop,40,23.139657974243164
4,{} cat working on the laptop,41,24.58074188232422
4,{} cat working on the laptop,42,24.78730010986328
4,{} cat working on the laptop,43,22.872451782226562
4,{} cat working on the laptop,44,24.64745330810547
4,{} cat working on the laptop,45,24.98166847229004
4,{} cat working on the laptop,46,25.476486206054688
4,{} cat working on the laptop,47,24.070514678955078
4,{} cat working on the laptop,48,23.837644577026367
4,{} cat working on the laptop,49,24.45716094970703
5,{} cat on a boat in the sea,0,29.688161849975586
5,{} cat on a boat in the sea,1,30.681222915649414
5,{} cat on a boat in the sea,2,32.24790573120117
5,{} cat on a boat in the sea,3,32.706356048583984
5,{} cat on a boat in the sea,4,31.225902557373047
5,{} cat on a boat in the sea,5,32.11884307861328
5,{} cat on a boat in the sea,6,30.67169189453125
5,{} cat on a boat in the sea,7,32.290348052978516
5,{} cat on a boat in the sea,8,32.631202697753906
5,{} cat on a boat in the sea,9,31.41242218017578
5,{} cat on a boat in the sea,10,32.23708724975586
5,{} cat on a boat in the sea,11,31.801891326904297
5,{} cat on a boat in the sea,12,31.767440795898438
5,{} cat on a boat in the sea,13,32.45753479003906
5,{} cat on a boat in the sea,14,32.901668548583984
5,{} cat on a boat in the sea,15,30.45870018005371
5,{} cat on a boat in the sea,16,29.819175720214844
5,{} cat on a boat in the sea,17,33.672821044921875
5,{} cat on a boat in the sea,18,29.556304931640625
5,{} cat on a boat in the sea,19,32.690914154052734
5,{} cat on a boat in the sea,20,30.861087799072266
5,{} cat on a boat in the sea,21,32.52880859375
5,{} cat on a boat in the sea,22,33.484901428222656
5,{} cat on a boat in the sea,23,32.49184799194336
5,{} cat on a boat in the sea,24,30.56807518005371
5,{} cat on a boat in the sea,25,31.73842430114746
5,{} cat on a boat in the sea,26,32.24074172973633
5,{} cat on a boat in the sea,27,31.32082748413086
5,{} cat on a boat in the sea,28,33.17875671386719
5,{} cat on a boat in the sea,29,30.514812469482422
5,{} cat on a boat in the sea,30,29.53532600402832
5,{} cat on a boat in the sea,31,32.10794448852539
5,{} cat on a boat in the sea,32,31.31015396118164
5,{} cat on a boat in the sea,33,31.10853385925293
5,{} cat on a boat in the sea,34,32.32884216308594
5,{} cat on a boat in the sea,35,30.612504959106445
5,{} cat on a boat in the sea,36,31.402624130249023
5,{} cat on a boat in the sea,37,32.56316375732422
5,{} cat on a boat in the sea,38,31.970142364501953
