prompt_index,prompt,image_index,score
0,{} dog in grand canyon,0,64.97705078125
0,{} dog in grand canyon,1,68.89807891845703
0,{} dog in grand canyon,2,69.62216186523438
0,{} dog in grand canyon,3,67.82097625732422
0,{} dog in grand canyon,4,68.58844757080078
0,{} dog in grand canyon,5,66.03059387207031
0,{} dog in grand canyon,6,69.95941162109375
0,{} dog in grand canyon,7,68.25885009765625
0,{} dog in grand canyon,8,64.66157531738281
0,{} dog in grand canyon,9,64.63916015625
0,{} dog in grand canyon,10,67.7425765991211
0,{} dog in grand canyon,11,63.15422058105469
0,{} dog in grand canyon,12,63.2342529296875
0,{} dog in grand canyon,13,67.43877410888672
0,{} dog in grand canyon,14,66.18926239013672
0,{} dog in grand canyon,15,66.47966766357422
0,{} dog in grand canyon,16,62.58195495605469
0,{} dog in grand canyon,17,60.57067108154297
0,{} dog in grand canyon,18,59.3505859375
0,{} dog in grand canyon,19,58.01508331298828
0,{} dog in grand canyon,20,60.547279357910156
0,{} dog in grand canyon,21,66.06964874267578
0,{} dog in grand canyon,22,67.64278411865234
0,{} dog in grand canyon,23,70.38317108154297
0,{} dog in grand canyon,24,69.95182037353516
0,{} dog in grand canyon,25,63.14377212524414
0,{} dog in grand canyon,26,66.66861724853516
0,{} dog in grand canyon,27,60.368221282958984
0,{} dog in grand canyon,28,57.025997161865234
0,{} dog in grand canyon,29,63.43253707885742
0,{} dog in grand canyon,30,60.23023223876953
0,{} dog in grand canyon,31,62.517662048339844
0,{} dog in grand canyon,32,68.5558853149414
0,{} dog in grand canyon,33,63.916385650634766
0,{} dog in grand canyon,34,66.07250213623047
0,{} dog in grand canyon,35,55.8995246887207
0,{} dog in grand canyon,36,57.71754455566406
0,{} dog in grand canyon,37,65.3226547241211
0,{} dog in grand canyon,38,65.45087432861328
0,{} dog in grand canyon,39,64.79325103759766
0,{} dog in grand canyon,40,62.99692916870117
0,{} dog in grand canyon,41,57.47969055175781
0,{} dog in grand canyon,42,64.76207733154297
0,{} dog in grand canyon,43,63.39849090576172
0,{} dog in grand canyon,44,67.65076446533203
0,{} dog in grand canyon,45,62.996612548828125
0,{} dog in grand canyon,46,67.27130126953125
0,{} dog in grand canyon,47,63.39868927001953
0,{} dog in grand canyon,48,69.4260025024414
0,{} dog in grand canyon,49,64.74542236328125
1,{} dog sitting at the beach with a view of the sea,0,75.99855041503906
1,{} dog sitting at the beach with a view of the sea,1,71.97611236572266
1,{} dog sitting at the beach with a view of the sea,2,75.86437225341797
1,{} dog sitting at the beach with a view of the sea,3,72.02278137207031
1,{} dog sitting at the beach with a view of the sea,4,74.54952239990234
1,{} dog sitting at the beach with a view of the sea,5,73.81346130371094
1,{} dog sitting at the beach with a view of the sea,6,73.22636413574219
1,{} dog sitting at the beach with a view of the sea,7,74.64830780029297
