prompt_index,prompt,image_index,score
0,{} dog in grand canyon,0,30.19303321838379
0,{} dog in grand canyon,1,28.43865203857422
0,{} dog in grand canyon,2,27.823007583618164
0,{} dog in grand canyon,3,28.35001564025879
0,{} dog in grand canyon,4,28.677316665649414
0,{} dog in grand canyon,5,28.434419631958008
0,{} dog in grand canyon,6,28.678781509399414
0,{} dog in grand canyon,7,28.769134521484375
0,{} dog in grand canyon,8,29.820785522460938
0,{} dog in grand canyon,9,29.03986930847168
0,{} dog in grand canyon,10,28.133546829223633
0,{} dog in grand canyon,11,29.309324264526367
0,{} dog in grand canyon,12,27.45163345336914
0,{} dog in grand canyon,13,27.90648651123047
0,{} dog in grand canyon,14,30.251853942871094
0,{} dog in grand canyon,15,29.696857452392578
0,{} dog in grand canyon,16,29.789655685424805
0,{} dog in grand canyon,17,29.59511947631836
0,{} dog in grand canyon,18,29.586198806762695
0,{} dog in grand canyon,19,29.121488571166992
0,{} dog in grand canyon,20,28.725200653076172
0,{} dog in grand canyon,21,27.904457092285156
0,{} dog in grand canyon,22,29.360204696655273
0,{} dog in grand canyon,23,27.442825317382812
0,{} dog in grand canyon,24,28.98362922668457
0,{} dog in grand canyon,25,29.860485076904297
0,{} dog in grand canyon,26,28.19366455078125
0,{} dog in grand canyon,27,28.448593139648438
0,{} dog in grand canyon,28,29.72864532470703
0,{} dog in grand canyon,29,31.802547454833984
0,{} dog in grand canyon,30,32.31764602661133
0,{} dog in grand canyon,31,29.86469268798828
0,{} dog in grand canyon,32,27.874401092529297
0,{} dog in grand canyon,33,28.777746200561523
0,{} dog in grand canyon,34,29.210407257080078
0,{} dog in grand canyon,35,30.004215240478516
0,{} dog in grand canyon,36,29.612558364868164
0,{} dog in grand canyon,37,28.539783477783203
0,{} dog in grand canyon,38,29.429805755615234
0,{} dog in grand canyon,39,28.633235931396484
0,{} dog in grand canyon,40,29.077756881713867
0,{} dog in grand canyon,41,30.046554565429688
0,{} dog in grand canyon,42,30.43276023864746
0,{} dog in grand canyon,43,29.3598690032959
0,{} dog in grand canyon,44,28.43059539794922
0,{} dog in grand canyon,45,29.767148971557617
0,{} dog in grand canyon,46,29.531612396240234
0,{} dog in grand canyon,47,29.97509002685547
0,{} dog in grand canyon,48,27.75374984741211
0,{} dog in grand canyon,49,27.57248878479004
1,{} dog sitting at the beach with a view of the sea,0,23.23695945739746
1,{} dog sitting at the beach with a view of the sea,1,24.741762161254883
1,{} dog sitting at the beach with a view of the sea,2,23.82114601135254
1,{} dog sitting at the beach with a view of the sea,3,24.0914249420166
1,{} dog sitting at the beach with a view of the sea,4,24.340984344482422
1,{} dog sitting at the beach with a view of the sea,5,24.921634674072266
1,{} dog sitting at the beach with a view of the sea,6,23.635520935058594
1,{} dog sitting at the beach with a view of the sea,7,25.964033126831055
