prompt_index,prompt,image_index,score
0,{} table in snowy ice,0,26.78498649597168
0,{} table in snowy ice,1,30.675464630126953
0,{} table in snowy ice,2,29.579702377319336
0,{} table in snowy ice,3,31.0300350189209
0,{} table in snowy ice,4,33.300418853759766
0,{} table in snowy ice,5,30.953840255737305
0,{} table in snowy ice,6,24.28066635131836
0,{} table in snowy ice,7,30.85011863708496
0,{} table in snowy ice,8,28.098047256469727
0,{} table in snowy ice,9,31.239391326904297
0,{} table in snowy ice,10,32.63002014160156
0,{} table in snowy ice,11,31.486892700195312
0,{} table in snowy ice,12,29.937843322753906
0,{} table in snowy ice,13,30.199695587158203
0,{} table in snowy ice,14,29.940526962280273
0,{} table in snowy ice,15,27.42658805847168
0,{} table in snowy ice,16,31.962467193603516
0,{} table in snowy ice,17,33.66474533081055
0,{} table in snowy ice,18,29.472637176513672
0,{} table in snowy ice,19,31.8782958984375
0,{} table in snowy ice,20,29.78777503967285
0,{} table in snowy ice,21,30.45506477355957
0,{} table in snowy ice,22,25.836368560791016
0,{} table in snowy ice,23,26.19766616821289
0,{} table in snowy ice,24,32.257484436035156
0,{} table in snowy ice,25,30.43951416015625
0,{} table in snowy ice,26,29.254436492919922
0,{} table in snowy ice,27,30.70535659790039
0,{} table in snowy ice,28,30.781042098999023
0,{} table in snowy ice,29,31.494220733642578
0,{} table in snowy ice,30,30.712419509887695
0,{} table in snowy ice,31,31.320899963378906
0,{} table in snowy ice,32,32.139862060546875
0,{} table in snowy ice,33,33.41796875
0,{} table in snowy ice,34,32.602169036865234
0,{} table in snowy ice,35,31.1337890625
0,{} table in snowy ice,36,30.11191177368164
0,{} table in snowy ice,37,28.924646377563477
0,{} table in snowy ice,38,28.487829208374023
0,{} table in snowy ice,39,29.88089370727539
0,{} table in snowy ice,40,32.0373420715332
0,{} table in snowy ice,41,33.20875549316406
0,{} table in snowy ice,42,33.43442153930664
0,{} table in snowy ice,43,31.066274642944336
0,{} table in snowy ice,44,31.090930938720703
0,{} table in snowy ice,45,31.31517791748047
0,{} table in snowy ice,46,30.99542808532715
0,{} table in snowy ice,47,26.66855812072754
0,{} table in snowy ice,48,31.280982971191406
0,{} table in snowy ice,49,30.59919548034668
1,{} table surrounded by blooming sunflower field,0,15.36905574798584
1,{} table surrounded by blooming sunflower field,1,23.979215621948242
1,{} table surrounded by blooming sunflower field,2,23.800474166870117
1,{} table surrounded by blooming sunflower field,3,23.344261169433594
1,{} table surrounded by blooming sunflower field,4,30.211883544921875
1,{} table surrounded by blooming sunflower field,5,23.881412506103516
1,{} table surrounded by blooming sunflower field,6,24.142534255981445
