prompt_index,prompt,image_index,score
0, grand canyon,0,20.53268051147461
0, grand canyon,1,19.372390747070312
0, grand canyon,2,21.163606643676758
0, grand canyon,3,22.172197341918945
0, grand canyon,4,20.898269653320312
0, grand canyon,5,10.406881332397461
0, grand canyon,6,20.593185424804688
0, grand canyon,7,21.064697265625
0, grand canyon,8,19.852535247802734
0, grand canyon,9,18.84075355529785
0, grand canyon,10,16.782995223999023
0, grand canyon,11,18.31464385986328
0, grand canyon,12,20.662017822265625
0, grand canyon,13,20.517549514770508
0, grand canyon,14,22.29248046875
0, grand canyon,15,20.111366271972656
0, grand canyon,16,21.314958572387695
0, grand canyon,17,18.92051124572754
0, grand canyon,18,18.177494049072266
0, grand canyon,19,20.752647399902344
0, grand canyon,20,21.547216415405273
0, grand canyon,21,20.57105827331543
0, grand canyon,22,20.76620101928711
0, grand canyon,23,21.49210548400879
0, grand canyon,24,20.762248992919922
0, grand canyon,25,20.91670799255371
0, grand canyon,26,22.323577880859375
0, grand canyon,27,22.080387115478516
0, grand canyon,28,20.034345626831055
0, grand canyon,29,21.268085479736328
0, grand canyon,30,22.14020538330078
0, grand canyon,31,20.92789077758789
0, grand canyon,32,20.87339210510254
0, grand canyon,33,21.623668670654297
0, grand canyon,34,14.517274856567383
0, grand canyon,35,21.866060256958008
0, grand canyon,36,19.155012130737305
0, grand canyon,37,18.585206985473633
0, grand canyon,38,21.382614135742188
0, grand canyon,39,21.480693817138672
0, grand canyon,40,15.857726097106934
0, grand canyon,41,19.71043586730957
0, grand canyon,42,15.420513153076172
0, grand canyon,43,18.316856384277344
0, grand canyon,44,12.210714340209961
0, grand canyon,45,17.8880672454834
0, grand canyon,46,23.611520767211914
0, grand canyon,47,22.065248489379883
0, grand canyon,48,17.675642013549805
0, grand canyon,49,19.537548065185547
1, swimming pool,0,18.762174606323242
1, swimming pool,1,15.8596773147583
1, swimming pool,2,17.53384017944336
1, swimming pool,3,17.937660217285156
1, swimming pool,4,20.7358455657959
1, swimming pool,5,18.95256233215332
1, swimming pool,6,16.212772369384766
1, swimming pool,7,18.70208740234375
1, swimming pool,8,18.540067672729492
1, swimming pool,9,18.685903549194336
1, swimming pool,10,16.30609893798828
1, swimming pool,11,17.11556053161621
1, swimming pool,12,16.845232009887695
1, swimming pool,13,15.289923667907715
1, swimming pool,14,17.03868293762207
1, swimming pool,15,19.065759658813477
1, swimming pool,16,18.391387939453125
1, swimming pool,17,20.412315368652344
1, swimming pool,18,16.63261604309082
1, swimming pool,19,16.807035446166992
1, swimming pool,20,18.487398147583008
1, swimming pool,21,17.147600173950195
1, swimming pool,22,12.499464988708496
1, swimming pool,23,12.747210502624512
1, swimming pool,24,19.880836486816406
1, swimming pool,25,17.781513214111328
1, swimming pool,26,17.529626846313477
1, swimming pool,27,18.82018280029297
1, swimming pool,28,17.590065002441406
1, swimming pool,29,17.63842010498047
1, swimming pool,30,19.483837127685547
1, swimming pool,31,20.356664657592773
1, swimming pool,32,17.519689559936523
1, swimming pool,33,19.247970581054688
1, swimming pool,34,16.73526954650879
1, swimming pool,35,18.56997299194336
1, swimming pool,36,17.956239700317383
1, swimming pool,37,18.940576553344727
1, swimming pool,38,19.10191535949707
1, swimming pool,39,18.140865325927734
1, swimming pool,40,18.75867462158203
1, swimming pool,41,17.279207229614258
1, swimming pool,42,18.071847915649414
1, swimming pool,43,19.240474700927734
1, swimming pool,44,18.77897071838379
1, swimming pool,45,16.914987564086914
1, swimming pool,46,17.497791290283203
1, swimming pool,47,18.028287887573242
1, swimming pool,48,17.946147918701172
1, swimming pool,49,17.651329040527344
2, beach with a view of the sea,0,15.683632850646973
2, beach with a view of the sea,1,17.724353790283203
2, beach with a view of the sea,2,16.169939041137695
2, beach with a view of the sea,3,16.74483299255371
2, beach with a view of the sea,4,16.43337059020996
2, beach with a view of the sea,5,15.486989974975586
2, beach with a view of the sea,6,15.701860427856445
2, beach with a view of the sea,7,16.21120834350586
2, beach with a view of the sea,8,15.756813049316406
2, beach with a view of the sea,9,16.431804656982422
2, beach with a view of the sea,10,16.736656188964844
2, beach with a view of the sea,11,13.763845443725586
2, beach with a view of the sea,12,16.670448303222656
2, beach with a view of the sea,13,16.075075149536133
2, beach with a view of the sea,14,15.51811695098877
2, beach with a view of the sea,15,17.648052215576172
2, beach with a view of the sea,16,16.12769317626953
2, beach with a view of the sea,17,18.682851791381836
2, beach with a view of the sea,18,14.804177284240723
2, beach with a view of the sea,19,15.835589408874512
2, beach with a view of the sea,20,17.124187469482422
2, beach with a view of the sea,21,17.19769859313965
2, beach with a view of the sea,22,16.269914627075195
2, beach with a view of the sea,23,14.909741401672363
2, beach with a view of the sea,24,16.290573120117188
2, beach with a view of the sea,25,16.607553482055664
2, beach with a view of the sea,26,15.273153305053711
2, beach with a view of the sea,27,16.18434715270996
2, beach with a view of the sea,28,15.16849136352539
2, beach with a view of the sea,29,15.608282089233398
2, beach with a view of the sea,30,16.918336868286133
2, beach with a view of the sea,31,15.97857666015625
2, beach with a view of the sea,32,17.87779998779297
2, beach with a view of the sea,33,16.225791931152344
2, beach with a view of the sea,34,17.156967163085938
2, beach with a view of the sea,35,15.71672248840332
2, beach with a view of the sea,36,15.276777267456055
2, beach with a view of the sea,37,14.316225051879883
2, beach with a view of the sea,38,15.740941047668457
2, beach with a view of the sea,39,16.522151947021484
2, beach with a view of the sea,40,14.814811706542969
2, beach with a view of the sea,41,16.926786422729492
2, beach with a view of the sea,42,17.493701934814453
2, beach with a view of the sea,43,18.641250610351562
2, beach with a view of the sea,44,17.83698272705078
2, beach with a view of the sea,45,16.570026397705078
2, beach with a view of the sea,46,14.779891014099121
2, beach with a view of the sea,47,15.841778755187988
2, beach with a view of the sea,48,17.82416534423828
2, beach with a view of the sea,49,16.93943214416504
3, times square,0,19.194612503051758
3, times square,1,19.746103286743164
3, times square,2,19.19446563720703
3, times square,3,19.229867935180664
3, times square,4,19.443923950195312
3, times square,5,20.093324661254883
3, times square,6,19.879302978515625
3, times square,7,19.674043655395508
3, times square,8,16.020936965942383
3, times square,9,18.22956657409668
3, times square,10,19.815073013305664
3, times square,11,18.334392547607422
3, times square,12,18.045560836791992
3, times square,13,19.362628936767578
3, times square,14,20.032838821411133
3, times square,15,18.562088012695312
3, times square,16,21.55596923828125
3, times square,17,19.777345657348633
3, times square,18,19.458925247192383
3, times square,19,20.04528045654297
3, times square,20,20.234970092773438
3, times square,21,19.046119689941406
3, times square,22,20.154420852661133
3, times square,23,20.02701759338379
3, times square,24,19.632837295532227
3, times square,25,18.062969207763672
3, times square,26,18.53571319580078
3, times square,27,19.4700984954834
3, times square,28,19.484601974487305
3, times square,29,18.596776962280273
3, times square,30,19.093168258666992
3, times square,31,18.236814498901367
3, times square,32,17.884065628051758
3, times square,33,20.85724449157715
3, times square,34,18.260700225830078
3, times square,35,19.156211853027344
3, times square,36,18.55849266052246
3, times square,37,18.540985107421875
3, times square,38,18.69176483154297
3, times square,39,20.21217918395996
3, times square,40,19.956972122192383
3, times square,41,19.254009246826172
3, times square,42,19.029348373413086
3, times square,43,19.735347747802734
3, times square,44,20.327234268188477
3, times square,45,18.488489151000977
3, times square,46,20.06473731994629
3, times square,47,20.31436538696289
3, times square,48,18.165773391723633
3, times square,49,19.283039093017578
4, medieval castle,0,15.692358016967773
4, medieval castle,1,8.20302677154541
4, medieval castle,2,10.868213653564453
4, medieval castle,3,18.548505783081055
4, medieval castle,4,7.5410614013671875
4, medieval castle,5,18.37179183959961
4, medieval castle,6,7.888790130615234
4, medieval castle,7,7.252218723297119
4, medieval castle,8,8.883917808532715
4, medieval castle,9,9.585811614990234
4, medieval castle,10,6.565961837768555
4, medieval castle,11,13.189565658569336
4, medieval castle,12,5.675206661224365
4, medieval castle,13,9.823519706726074
4, medieval castle,14,11.107385635375977
4, medieval castle,15,11.452080726623535
4, medieval castle,16,8.332464218139648
4, medieval castle,17,18.632308959960938
4, medieval castle,18,9.173316955566406
4, medieval castle,19,17.539669036865234
4, medieval castle,20,8.873946189880371
4, medieval castle,21,8.529821395874023
4, medieval castle,22,16.472684860229492
4, medieval castle,23,8.2044095993042
4, medieval castle,24,8.737043380737305
4, medieval castle,25,17.38228416442871
4, medieval castle,26,11.304725646972656
4, medieval castle,27,18.11577033996582
4, medieval castle,28,12.357478141784668
4, medieval castle,29,14.765121459960938
4, medieval castle,30,10.12545108795166
4, medieval castle,31,9.3089017868042
4, medieval castle,32,7.697786331176758
4, medieval castle,33,8.175987243652344
4, medieval castle,34,5.792088985443115
4, medieval castle,35,12.145888328552246
4, medieval castle,36,12.806198120117188
4, medieval castle,37,19.059362411499023
4, medieval castle,38,10.53859806060791
4, medieval castle,39,17.752805709838867
4, medieval castle,40,8.777169227600098
4, medieval castle,41,16.831384658813477
4, medieval castle,42,13.408308029174805
4, medieval castle,43,12.577056884765625
4, medieval castle,44,16.236642837524414
4, medieval castle,45,18.27634620666504
4, medieval castle,46,15.429457664489746
4, medieval castle,47,17.771337509155273
4, medieval castle,48,11.0258150100708
4, medieval castle,49,20.108362197875977
5, wearing sunglasses,0,21.00545310974121
5, wearing sunglasses,1,19.561765670776367
5, wearing sunglasses,2,21.593599319458008
5, wearing sunglasses,3,19.7236270904541
5, wearing sunglasses,4,20.918264389038086
5, wearing sunglasses,5,21.941448211669922
5, wearing sunglasses,6,21.335140228271484
5, wearing sunglasses,7,12.365882873535156
5, wearing sunglasses,8,21.396848678588867
5, wearing sunglasses,9,22.444053649902344
5, wearing sunglasses,10,22.24712562561035
5, wearing sunglasses,11,13.263599395751953
5, wearing sunglasses,12,20.564977645874023
5, wearing sunglasses,13,21.946914672851562
5, wearing sunglasses,14,22.02431297302246
5, wearing sunglasses,15,20.76382064819336
5, wearing sunglasses,16,16.879058837890625
5, wearing sunglasses,17,13.013872146606445
5, wearing sunglasses,18,20.536930084228516
5, wearing sunglasses,19,21.046875
5, wearing sunglasses,20,20.328107833862305
5, wearing sunglasses,21,20.723390579223633
5, wearing sunglasses,22,21.345609664916992
5, wearing sunglasses,23,18.423444747924805
5, wearing sunglasses,24,21.125322341918945
5, wearing sunglasses,25,20.721630096435547
5, wearing sunglasses,26,21.31097984313965
5, wearing sunglasses,27,20.66217613220215
5, wearing sunglasses,28,11.269025802612305
5, wearing sunglasses,29,11.614130020141602
5, wearing sunglasses,30,19.791940689086914
5, wearing sunglasses,31,12.18578052520752
5, wearing sunglasses,32,20.450368881225586
5, wearing sunglasses,33,12.423002243041992
5, wearing sunglasses,34,21.4560604095459
5, wearing sunglasses,35,19.076982498168945
5, wearing sunglasses,36,22.029727935791016
5, wearing sunglasses,37,21.18844985961914
5, wearing sunglasses,38,18.051776885986328
5, wearing sunglasses,39,12.970767974853516
5, wearing sunglasses,40,12.046173095703125
5, wearing sunglasses,41,23.014690399169922
5, wearing sunglasses,42,20.729259490966797
5, wearing sunglasses,43,14.45311450958252
5, wearing sunglasses,44,21.141996383666992
5, wearing sunglasses,45,17.951908111572266
5, wearing sunglasses,46,12.611974716186523
5, wearing sunglasses,47,21.098108291625977
5, wearing sunglasses,48,13.639556884765625
5, wearing sunglasses,49,22.099136352539062
6, working on the laptop,0,20.869705200195312
6, working on the laptop,1,19.175247192382812
6, working on the laptop,2,20.374839782714844
6, working on the laptop,3,21.258533477783203
6, working on the laptop,4,20.081283569335938
6, working on the laptop,5,20.672000885009766
6, working on the laptop,6,19.03638458251953
6, working on the laptop,7,20.455366134643555
6, working on the laptop,8,18.798385620117188
6, working on the laptop,9,19.551992416381836
6, working on the laptop,10,20.257335662841797
