prompt_index,prompt,image_index,score
0,{} flower growing in the desert,0,27.09427261352539
0,{} flower growing in the desert,1,25.707412719726562
0,{} flower growing in the desert,2,29.474151611328125
0,{} flower growing in the desert,3,29.38636016845703
0,{} flower growing in the desert,4,30.174320220947266
0,{} flower growing in the desert,5,27.615079879760742
0,{} flower growing in the desert,6,24.97992515563965
0,{} flower growing in the desert,7,27.485868453979492
0,{} flower growing in the desert,8,27.27596092224121
0,{} flower growing in the desert,9,27.025287628173828
0,{} flower growing in the desert,10,30.202808380126953
0,{} flower growing in the desert,11,25.78046417236328
0,{} flower growing in the desert,12,28.220727920532227
0,{} flower growing in the desert,13,27.52886962890625
0,{} flower growing in the desert,14,27.879247665405273
0,{} flower growing in the desert,15,27.226192474365234
0,{} flower growing in the desert,16,27.9265079498291
0,{} flower growing in the desert,17,27.59636116027832
0,{} flower growing in the desert,18,28.311506271362305
0,{} flower growing in the desert,19,27.304162979125977
0,{} flower growing in the desert,20,25.9372615814209
0,{} flower growing in the desert,21,26.9686279296875
0,{} flower growing in the desert,22,26.832157135009766
0,{} flower growing in the desert,23,24.341320037841797
0,{} flower growing in the desert,24,25.185039520263672
0,{} flower growing in the desert,25,26.93636703491211
0,{} flower growing in the desert,26,27.932161331176758
0,{} flower growing in the desert,27,26.90493392944336
0,{} flower growing in the desert,28,26.040149688720703
0,{} flower growing in the desert,29,25.985258102416992
0,{} flower growing in the desert,30,29.565452575683594
0,{} flower growing in the desert,31,23.268579483032227
0,{} flower growing in the desert,32,25.94466209411621
0,{} flower growing in the desert,33,27.99590301513672
0,{} flower growing in the desert,34,27.265548706054688
0,{} flower growing in the desert,35,25.314041137695312
0,{} flower growing in the desert,36,25.03032684326172
0,{} flower growing in the desert,37,28.191274642944336
0,{} flower growing in the desert,38,29.180747985839844
0,{} flower growing in the desert,39,25.093151092529297
0,{} flower growing in the desert,40,26.287498474121094
0,{} flower growing in the desert,41,30.08136749267578
0,{} flower growing in the desert,42,27.68811798095703
0,{} flower growing in the desert,43,27.319395065307617
0,{} flower growing in the desert,44,27.46576690673828
0,{} flower growing in the desert,45,27.104604721069336
0,{} flower growing in the desert,46,27.065319061279297
0,{} flower growing in the desert,47,28.513946533203125
0,{} flower growing in the desert,48,20.76468849182129
0,{} flower growing in the desert,49,28.709463119506836
1,{} flower at a beach with a view of the seashore,0,28.930768966674805
1,{} flower at a beach with a view of the seashore,1,27.557777404785156
1,{} flower at a beach with a view of the seashore,2,26.818571090698242
1,{} flower at a beach with a view of the seashore,3,26.36660385131836
1,{} flower at a beach with a view of the seashore,4,29.001117706298828
1,{} flower at a beach with a view of the seashore,5,26.241296768188477
1,{} flower at a beach with a view of the seashore,6,26.435083389282227
1,{} flower at a beach with a view of the seashore,7,26.873233795166016
1,{} flower at a beach with a view of the seashore,8,28.625682830810547
1,{} flower at a beach with a view of the seashore,9,28.270917892456055
1,{} flower at a beach with a view of the seashore,10,26.28813362121582
1,{} flower at a beach with a view of the seashore,11,28.848039627075195
1,{} flower at a beach with a view of the seashore,12,26.746070861816406
1,{} flower at a beach with a view of the seashore,13,27.175525665283203
1,{} flower at a beach with a view of the seashore,14,27.9388427734375
1,{} flower at a beach with a view of the seashore,15,26.09454917907715
1,{} flower at a beach with a view of the seashore,16,26.95206069946289
1,{} flower at a beach with a view of the seashore,17,27.976238250732422
1,{} flower at a beach with a view of the seashore,18,26.56770133972168
1,{} flower at a beach with a view of the seashore,19,26.918834686279297
1,{} flower at a beach with a view of the seashore,20,28.123462677001953
1,{} flower at a beach with a view of the seashore,21,26.475143432617188
1,{} flower at a beach with a view of the seashore,22,27.62225341796875
1,{} flower at a beach with a view of the seashore,23,29.667293548583984
1,{} flower at a beach with a view of the seashore,24,27.54736328125
1,{} flower at a beach with a view of the seashore,25,26.586767196655273
1,{} flower at a beach with a view of the seashore,26,25.999826431274414
1,{} flower at a beach with a view of the seashore,27,28.178001403808594
1,{} flower at a beach with a view of the seashore,28,26.512941360473633
1,{} flower at a beach with a view of the seashore,29,26.410367965698242
1,{} flower at a beach with a view of the seashore,30,27.6483211517334
1,{} flower at a beach with a view of the seashore,31,28.55246925354004
1,{} flower at a beach with a view of the seashore,32,27.26327133178711
1,{} flower at a beach with a view of the seashore,33,27.437671661376953
1,{} flower at a beach with a view of the seashore,34,26.72198486328125
1,{} flower at a beach with a view of the seashore,35,28.773927688598633
1,{} flower at a beach with a view of the seashore,36,27.981243133544922
1,{} flower at a beach with a view of the seashore,37,27.61170196533203
1,{} flower at a beach with a view of the seashore,38,26.293886184692383
1,{} flower at a beach with a view of the seashore,39,27.314228057861328
1,{} flower at a beach with a view of the seashore,40,27.981678009033203
