prompt, custom_prompt_A, custom_prompt_B, custom_prompt_C
"A photo of a {} wearing glasses and handshaking with a man", a woman, handshaking with a man, wearing glasses
"A photo of a {} wearing glasses and handshaking with a woman", a woman, handshaking with a woman, wearing glasses
"A photo of a {} wearing glasses and handshaking with an old man", a woman, handshaking with an old man, wearing glasses
"A photo of a {} wearing glasses and handshaking with a kid", a woman, handshaking with a kid, wearing glasses
"A photo of a {} wearing glasses and holding a dog", a woman, holding a dog, wearing glasses
"A photo of a {} wearing glasses and holding a cat", a woman, holding a cat, wearing glasses
"A photo of a {} wearing glasses and holding a red book", a woman, holding a red book, wearing glasses
"A photo of a {} wearing glasses and holding a red phone", a woman, holding a red phone, wearing glasses
"A photo of a {} wearing glasses and sitting on a red chair", a woman, sitting on a red chair, wearing glasses
"A photo of a {} wearing glasses and lying on a red bed", a woman, lying on a red bed, wearing glasses
"A photo of a {} wearing glasses and writing in a red notebook", a woman, writing in a red notebook, wearing glasses
"A photo of a {} wearing glasses and drinking a Coco Cola can", a woman, drinking a Coco Cola can, wearing glasses
"A photo of a {} wearing glasses and lifting weights", a woman, lifting weights, wearing glasses
"A photo of a {} wearing glasses and cycling", a woman, cycling, wearing glasses
"A photo of a {} wearing glasses and kicking a football", a woman, kicking a football, wearing glasses
"A photo of a {} wearing glasses and playing a guitar", a woman, playing a guitar, wearing glasses
"A photo of a {} wearing glasses and eating a pizza", a woman, eating a pizza, wearing glasses
