prompt_index,prompt,image_index,score
0,inside a bowl,0,17.42135238647461
0,inside a bowl,1,21.570598602294922
0,inside a bowl,2,19.336023330688477
0,inside a bowl,3,14.565248489379883
0,inside a bowl,4,21.05764389038086
0,inside a bowl,5,17.460643768310547
0,inside a bowl,6,20.185768127441406
0,inside a bowl,7,20.718502044677734
0,inside a bowl,8,15.25685977935791
0,inside a bowl,9,21.5889949798584
0,inside a bowl,10,23.923154830932617
0,inside a bowl,11,22.420625686645508
0,inside a bowl,12,19.41727638244629
0,inside a bowl,13,20.47920036315918
0,inside a bowl,14,18.89752960205078
0,inside a bowl,15,24.93727684020996
0,inside a bowl,16,18.636619567871094
0,inside a bowl,17,18.12225914001465
0,inside a bowl,18,22.036361694335938
0,inside a bowl,19,17.400699615478516
0,inside a bowl,20,23.408748626708984
0,inside a bowl,21,21.297378540039062
0,inside a bowl,22,21.570905685424805
0,inside a bowl,23,21.108383178710938
0,inside a bowl,24,19.426387786865234
0,inside a bowl,25,20.153030395507812
0,inside a bowl,26,21.840944290161133
0,inside a bowl,27,24.910905838012695
0,inside a bowl,28,21.78388214111328
0,inside a bowl,29,12.953166961669922
0,inside a bowl,30,20.666942596435547
0,inside a bowl,31,22.712352752685547
0,inside a bowl,32,14.422223091125488
0,inside a bowl,33,13.932019233703613
0,inside a bowl,34,17.930278778076172
0,inside a bowl,35,17.24155044555664
0,inside a bowl,36,22.20853042602539
0,inside a bowl,37,11.208322525024414
0,inside a bowl,38,17.873180389404297
0,inside a bowl,39,23.48279571533203
0,inside a bowl,40,20.741180419921875
0,inside a bowl,41,21.854185104370117
0,inside a bowl,42,16.651437759399414
0,inside a bowl,43,19.737836837768555
0,inside a bowl,44,19.653886795043945
0,inside a bowl,45,20.130014419555664
0,inside a bowl,46,16.209331512451172
0,inside a bowl,47,22.65691375732422
0,inside a bowl,48,19.137788772583008
0,inside a bowl,49,14.707262992858887
1,inside a box,0,23.88130760192871
1,inside a box,1,22.116539001464844
1,inside a box,2,24.675064086914062
1,inside a box,3,22.680551528930664
1,inside a box,4,21.457094192504883
1,inside a box,5,23.936573028564453
1,inside a box,6,22.607275009155273
1,inside a box,7,22.01008415222168
1,inside a box,8,22.556638717651367
1,inside a box,9,22.475021362304688
1,inside a box,10,23.314268112182617
1,inside a box,11,21.672334671020508
1,inside a box,12,21.848169326782227
1,inside a box,13,23.690597534179688
1,inside a box,14,24.541872024536133
1,inside a box,15,22.624094009399414
1,inside a box,16,23.091947555541992
1,inside a box,17,23.631301879882812
1,inside a box,18,22.06569480895996
1,inside a box,19,22.972436904907227
1,inside a box,20,22.98891830444336
1,inside a box,21,24.834421157836914
1,inside a box,22,22.682710647583008
1,inside a box,23,25.096067428588867
1,inside a box,24,21.304594039916992
1,inside a box,25,22.463891983032227
1,inside a box,26,23.77055549621582
1,inside a box,27,21.456132888793945
1,inside a box,28,20.25798225402832
1,inside a box,29,22.170652389526367
1,inside a box,30,22.416833877563477
1,inside a box,31,22.820220947265625
1,inside a box,32,17.111406326293945
1,inside a box,33,24.97642707824707
1,inside a box,34,20.146087646484375
1,inside a box,35,20.582372665405273
1,inside a box,36,18.29584312438965
1,inside a box,37,21.793628692626953
1,inside a box,38,20.97937774658203
1,inside a box,39,24.69249153137207
1,inside a box,40,24.327768325805664
1,inside a box,41,22.47348976135254
1,inside a box,42,21.55948829650879
1,inside a box,43,23.981061935424805
1,inside a box,44,24.001907348632812
1,inside a box,45,21.616744995117188
1,inside a box,46,21.003808975219727
1,inside a box,47,25.26150131225586
1,inside a box,48,21.618974685668945
1,inside a box,49,21.751638412475586
2,inside a cup,0,18.058067321777344
2,inside a cup,1,16.31363868713379
2,inside a cup,2,19.601722717285156
2,inside a cup,3,21.0102596282959
2,inside a cup,4,21.944013595581055
