prompt,custom_prompt_A,custom_prompt_B,custom_prompt_C
{} table in snowy ice, a table, snowy ice, NA
{} table surrounded by blooming sunflower field, a table, blooming sunflower field, NA
{} table on a boat in the sea, a table, a boat in the sea, NA
{} table on top of a mountain, a table, on top of a mountain, NA
{} table made of crochet, a table, made of crochet, NA
{} table in a garden, a table, a garden, NA
a floor lamp on the side of {} table, a table, a floor lamp, NA
{} table and a chair with chocolate cake on it, a table, a chair with chocolate cake on it, NA
a puppy sitting on a {} table, a table, a puppy, NA
a cat sitting on a {} table, a table, a cat, NA
a squirrel sitting on a {} table, a table, a squirrel, NA
a deer grazing near a {} table, a table, a deer grazing, NA
a teddy bear on a {} table, a table, a teddy bear, NA
a photo of a {} table in Van Gogh style, a table, Van Gogh style, NA
