prompt_index,prompt,image_index,score
0, grand canyon,0,19.058635711669922
0, grand canyon,1,22.616474151611328
0, grand canyon,2,18.64820671081543
0, grand canyon,3,21.21923065185547
0, grand canyon,4,19.601634979248047
0, grand canyon,5,18.544330596923828
0, grand canyon,6,22.433809280395508
0, grand canyon,7,21.692794799804688
0, grand canyon,8,22.06355094909668
0, grand canyon,9,17.785207748413086
0, grand canyon,10,17.324644088745117
0, grand canyon,11,16.872243881225586
0, grand canyon,12,18.716466903686523
0, grand canyon,13,17.67762565612793
0, grand canyon,14,21.311403274536133
0, grand canyon,15,21.709165573120117
0, grand canyon,16,21.51024055480957
0, grand canyon,17,17.293088912963867
0, grand canyon,18,21.824607849121094
0, grand canyon,19,21.35683822631836
0, grand canyon,20,17.38019371032715
0, grand canyon,21,22.71354866027832
0, grand canyon,22,20.033388137817383
0, grand canyon,23,23.46867561340332
0, grand canyon,24,22.015148162841797
0, grand canyon,25,19.718053817749023
0, grand canyon,26,17.495174407958984
0, grand canyon,27,15.284890174865723
0, grand canyon,28,20.97751235961914
0, grand canyon,29,21.294466018676758
0, grand canyon,30,18.742935180664062
0, grand canyon,31,18.531631469726562
0, grand canyon,32,20.400217056274414
0, grand canyon,33,22.24947738647461
0, grand canyon,34,16.450517654418945
0, grand canyon,35,19.384044647216797
0, grand canyon,36,20.911020278930664
0, grand canyon,37,21.50865936279297
0, grand canyon,38,20.158143997192383
0, grand canyon,39,20.295265197753906
0, grand canyon,40,21.519092559814453
0, grand canyon,41,22.029659271240234
0, grand canyon,42,21.641605377197266
0, grand canyon,43,20.220287322998047
0, grand canyon,44,16.668916702270508
0, grand canyon,45,21.896177291870117
0, grand canyon,46,20.625709533691406
0, grand canyon,47,20.1180362701416
0, grand canyon,48,17.894311904907227
0, grand canyon,49,20.83201789855957
1, beach with a view of the sea,0,18.36957550048828
1, beach with a view of the sea,1,17.984670639038086
1, beach with a view of the sea,2,17.78369903564453
1, beach with a view of the sea,3,18.815690994262695
1, beach with a view of the sea,4,18.281564712524414
1, beach with a view of the sea,5,15.883130073547363
1, beach with a view of the sea,6,18.650848388671875
1, beach with a view of the sea,7,18.066850662231445
1, beach with a view of the sea,8,17.42951202392578
1, beach with a view of the sea,9,17.689327239990234
1, beach with a view of the sea,10,17.671283721923828
1, beach with a view of the sea,11,16.710500717163086
1, beach with a view of the sea,12,16.774934768676758
1, beach with a view of the sea,13,18.39480972290039
1, beach with a view of the sea,14,18.357166290283203
1, beach with a view of the sea,15,17.410442352294922
1, beach with a view of the sea,16,18.006561279296875
1, beach with a view of the sea,17,18.085237503051758
1, beach with a view of the sea,18,17.28022575378418
1, beach with a view of the sea,19,18.4962100982666
1, beach with a view of the sea,20,17.48102378845215
1, beach with a view of the sea,21,17.23643684387207
1, beach with a view of the sea,22,16.62822723388672
1, beach with a view of the sea,23,18.55173110961914
1, beach with a view of the sea,24,17.965099334716797
1, beach with a view of the sea,25,17.486980438232422
1, beach with a view of the sea,26,17.91388511657715
1, beach with a view of the sea,27,18.029529571533203
1, beach with a view of the sea,28,18.648391723632812
1, beach with a view of the sea,29,18.873079299926758
1, beach with a view of the sea,30,18.21355628967285
1, beach with a view of the sea,31,16.892417907714844
1, beach with a view of the sea,32,18.949031829833984
1, beach with a view of the sea,33,18.300617218017578
1, beach with a view of the sea,34,17.088481903076172
1, beach with a view of the sea,35,18.79366683959961
1, beach with a view of the sea,36,18.766033172607422
1, beach with a view of the sea,37,18.152793884277344
1, beach with a view of the sea,38,17.153778076171875
1, beach with a view of the sea,39,18.056222915649414
1, beach with a view of the sea,40,16.30683708190918
1, beach with a view of the sea,41,16.711240768432617
1, beach with a view of the sea,42,17.951324462890625
1, beach with a view of the sea,43,18.762540817260742
1, beach with a view of the sea,44,18.221878051757812
1, beach with a view of the sea,45,18.372915267944336
1, beach with a view of the sea,46,17.04709243774414
1, beach with a view of the sea,47,16.774370193481445
1, beach with a view of the sea,48,18.399425506591797
1, beach with a view of the sea,49,18.103513717651367
2, times square,0,18.294349670410156
2, times square,1,16.56767463684082
2, times square,2,14.775553703308105
2, times square,3,18.631383895874023
2, times square,4,16.893932342529297
2, times square,5,12.235309600830078
2, times square,6,17.311120986938477
2, times square,7,13.657626152038574
2, times square,8,19.155715942382812
2, times square,9,15.962888717651367
2, times square,10,20.58331298828125
2, times square,11,19.44702911376953
2, times square,12,18.793760299682617
2, times square,13,14.114700317382812
2, times square,14,20.12221908569336
2, times square,15,16.89124298095703
2, times square,16,20.733409881591797
2, times square,17,14.788434028625488
2, times square,18,15.375081062316895
2, times square,19,15.36427116394043
2, times square,20,17.940153121948242
2, times square,21,19.68924331665039
2, times square,22,15.989974021911621
2, times square,23,19.656291961669922
2, times square,24,16.07811164855957
2, times square,25,14.24382495880127
2, times square,26,17.049833297729492
2, times square,27,15.613363265991211
2, times square,28,18.12053108215332
2, times square,29,11.989992141723633
2, times square,30,12.729045867919922
2, times square,31,12.337892532348633
2, times square,32,13.32375717163086
2, times square,33,13.231855392456055
2, times square,34,15.809782981872559
2, times square,35,13.627881050109863
2, times square,36,14.562363624572754
2, times square,37,18.797237396240234
2, times square,38,16.610809326171875
2, times square,39,15.599918365478516
2, times square,40,16.82806968688965
2, times square,41,16.11189079284668
2, times square,42,16.82246208190918
2, times square,43,12.098743438720703
2, times square,44,12.072710990905762
2, times square,45,17.427003860473633
2, times square,46,14.327122688293457
2, times square,47,13.885903358459473
2, times square,48,21.07909393310547
2, times square,49,16.356319427490234
3, wearing sunglasses,0,21.444660186767578
3, wearing sunglasses,1,21.049850463867188
3, wearing sunglasses,2,21.070953369140625
3, wearing sunglasses,3,21.698335647583008
3, wearing sunglasses,4,20.837461471557617
3, wearing sunglasses,5,21.257572174072266
3, wearing sunglasses,6,20.34374237060547
3, wearing sunglasses,7,21.224924087524414
3, wearing sunglasses,8,22.496810913085938
3, wearing sunglasses,9,20.093059539794922
3, wearing sunglasses,10,23.167842864990234
3, wearing sunglasses,11,21.40469741821289
3, wearing sunglasses,12,20.85671615600586
3, wearing sunglasses,13,19.749345779418945
3, wearing sunglasses,14,21.203275680541992
3, wearing sunglasses,15,19.26646614074707
3, wearing sunglasses,16,20.308963775634766
3, wearing sunglasses,17,21.948984146118164
3, wearing sunglasses,18,21.591535568237305
3, wearing sunglasses,19,21.136680603027344
3, wearing sunglasses,20,21.682987213134766
3, wearing sunglasses,21,20.043563842773438
3, wearing sunglasses,22,21.555217742919922
3, wearing sunglasses,23,20.197160720825195
3, wearing sunglasses,24,22.380630493164062
3, wearing sunglasses,25,19.85889434814453
3, wearing sunglasses,26,21.83565330505371
3, wearing sunglasses,27,21.032085418701172
3, wearing sunglasses,28,21.658248901367188
3, wearing sunglasses,29,20.908674240112305
3, wearing sunglasses,30,20.766008377075195
3, wearing sunglasses,31,20.190444946289062
3, wearing sunglasses,32,22.228271484375
3, wearing sunglasses,33,18.831157684326172
3, wearing sunglasses,34,20.922609329223633
3, wearing sunglasses,35,20.470609664916992
3, wearing sunglasses,36,19.172653198242188
3, wearing sunglasses,37,19.568286895751953
3, wearing sunglasses,38,21.34867286682129
3, wearing sunglasses,39,21.88034439086914
3, wearing sunglasses,40,21.608285903930664
3, wearing sunglasses,41,22.635746002197266
3, wearing sunglasses,42,20.602161407470703
3, wearing sunglasses,43,20.786100387573242
3, wearing sunglasses,44,21.10352897644043
3, wearing sunglasses,45,22.118906021118164
3, wearing sunglasses,46,21.501277923583984
3, wearing sunglasses,47,21.899301528930664
3, wearing sunglasses,48,20.66270637512207
3, wearing sunglasses,49,21.30302619934082
4, working on the laptop,0,16.013996124267578
4, working on the laptop,1,17.136442184448242
4, working on the laptop,2,16.939096450805664
4, working on the laptop,3,16.776885986328125
4, working on the laptop,4,17.22308921813965
