prompt,custom_prompt_A,custom_prompt_B,custom_prompt_C
"A photo of a {} wearing glasses and handshaking with a man",a man,handshaking with a man,wearing glasses
"A photo of a {} wearing glasses and handshaking with a woman",a man,handshaking with a woman,wearing glasses
"A photo of a {} wearing glasses and handshaking with an old man",a man,handshaking with an old man,wearing glasses
"A photo of a {} wearing glasses and handshaking with a kid",a man,handshaking with a kid,wearing glasses
"A photo of a {} wearing glasses and holding a dog",a man,holding a dog,wearing glasses
"A photo of a {} wearing glasses and holding a cat",a man,holding a cat,wearing glasses
"A photo of a {} wearing glasses and holding a red book",a man,holding a red book,wearing glasses
"A photo of a {} wearing glasses and holding a red phone",a man,holding a red phone,wearing glasses
"A photo of a {} wearing glasses and sitting on a red chair",a man,sitting on a red chair,wearing glasses
"A photo of a {} wearing glasses and lying on a red bed",a man,lying on a red bed,wearing glasses
"A photo of a {} wearing glasses and writing in a red notebook",a man,writing in a red notebook,wearing glasses
"A photo of a {} wearing glasses and drinking a Coco Cola can",a man,drinking a Coco Cola can,wearing glasses
"A photo of a {} wearing glasses and lifting weights",a man,lifting weights,wearing glasses
"A photo of a {} wearing glasses and cycling",a man,cycling,wearing glasses
"A photo of a {} wearing glasses and kicking a football",a man,kicking a football,wearing glasses
"A photo of a {} wearing glasses and playing a guitar",a man,playing a guitar,wearing glasses
"A photo of a {} wearing glasses and eating a pizza",a man,eating a pizza,wearing glasses
