prompt_index,prompt,image_index,score
0,cat wearing a hat,0,18.236589431762695
0,cat wearing a hat,1,24.864097595214844
0,cat wearing a hat,2,26.635976791381836
0,cat wearing a hat,3,26.030487060546875
0,cat wearing a hat,4,19.864295959472656
0,cat wearing a hat,5,18.97106170654297
0,cat wearing a hat,6,28.184825897216797
0,cat wearing a hat,7,25.383821487426758
0,cat wearing a hat,8,25.80019760131836
0,cat wearing a hat,9,24.121599197387695
0,cat wearing a hat,10,17.002880096435547
0,cat wearing a hat,11,27.679216384887695
0,cat wearing a hat,12,18.45439338684082
0,cat wearing a hat,13,25.841888427734375
0,cat wearing a hat,14,19.75326156616211
0,cat wearing a hat,15,22.81565284729004
0,cat wearing a hat,16,26.95819664001465
0,cat wearing a hat,17,25.9705867767334
0,cat wearing a hat,18,23.924232482910156
0,cat wearing a hat,19,22.7152099609375
0,cat wearing a hat,20,17.414690017700195
0,cat wearing a hat,21,19.998464584350586
0,cat wearing a hat,22,21.364360809326172
0,cat wearing a hat,23,21.14086151123047
0,cat wearing a hat,24,19.3583927154541
0,cat wearing a hat,25,17.057174682617188
0,cat wearing a hat,26,20.0398006439209
0,cat wearing a hat,27,28.010177612304688
0,cat wearing a hat,28,20.195838928222656
0,cat wearing a hat,29,28.329689025878906
0,cat wearing a hat,30,22.18317413330078
0,cat wearing a hat,31,24.56430435180664
0,cat wearing a hat,32,25.376039505004883
0,cat wearing a hat,33,19.233972549438477
0,cat wearing a hat,34,26.35552978515625
0,cat wearing a hat,35,27.700679779052734
0,cat wearing a hat,36,26.76445770263672
0,cat wearing a hat,37,27.261978149414062
0,cat wearing a hat,38,18.64861297607422
0,cat wearing a hat,39,27.83099937438965
0,cat wearing a hat,40,28.14385986328125
0,cat wearing a hat,41,19.914337158203125
0,cat wearing a hat,42,21.502525329589844
0,cat wearing a hat,43,23.346309661865234
0,cat wearing a hat,44,26.267248153686523
0,cat wearing a hat,45,26.69695281982422
0,cat wearing a hat,46,25.877878189086914
0,cat wearing a hat,47,21.20404815673828
0,cat wearing a hat,48,18.60860252380371
0,cat wearing a hat,49,18.88528823852539
1,cat wearing a helmet,0,16.088109970092773
1,cat wearing a helmet,1,18.568950653076172
1,cat wearing a helmet,2,17.34788703918457
1,cat wearing a helmet,3,17.614925384521484
1,cat wearing a helmet,4,28.982728958129883
1,cat wearing a helmet,5,27.97452163696289
1,cat wearing a helmet,6,16.284584045410156
1,cat wearing a helmet,7,25.727983474731445
1,cat wearing a helmet,8,14.883417129516602
1,cat wearing a helmet,9,16.15150260925293
1,cat wearing a helmet,10,16.23210906982422
1,cat wearing a helmet,11,23.327585220336914
1,cat wearing a helmet,12,18.46682357788086
1,cat wearing a helmet,13,14.393082618713379
1,cat wearing a helmet,14,18.955554962158203
1,cat wearing a helmet,15,15.067547798156738
1,cat wearing a helmet,16,28.312068939208984
1,cat wearing a helmet,17,21.484174728393555
1,cat wearing a helmet,18,18.59882354736328
1,cat wearing a helmet,19,16.578813552856445
1,cat wearing a helmet,20,27.71168327331543
1,cat wearing a helmet,21,27.035045623779297
1,cat wearing a helmet,22,26.875431060791016
1,cat wearing a helmet,23,20.467350006103516
1,cat wearing a helmet,24,15.870462417602539
1,cat wearing a helmet,25,16.978450775146484
1,cat wearing a helmet,26,18.735301971435547
1,cat wearing a helmet,27,15.533286094665527
1,cat wearing a helmet,28,25.143348693847656
1,cat wearing a helmet,29,16.87750244140625
1,cat wearing a helmet,30,20.66824722290039
1,cat wearing a helmet,31,17.222089767456055
1,cat wearing a helmet,32,16.192480087280273
1,cat wearing a helmet,33,15.858049392700195
1,cat wearing a helmet,34,20.913822174072266
1,cat wearing a helmet,35,17.80644416809082
1,cat wearing a helmet,36,19.873920440673828
1,cat wearing a helmet,37,29.901859283447266
1,cat wearing a helmet,38,26.565780639648438
1,cat wearing a helmet,39,28.0489559173584
1,cat wearing a helmet,40,26.463117599487305
1,cat wearing a helmet,41,27.010726928710938
1,cat wearing a helmet,42,30.87047576904297
1,cat wearing a helmet,43,30.13822364807129
1,cat wearing a helmet,44,21.917924880981445
1,cat wearing a helmet,45,18.785703659057617
