prompt_index,prompt,image_index,score
0,{} teddybear in grand canyon,0,32.183349609375
0,{} teddybear in grand canyon,1,31.472862243652344
0,{} teddybear in grand canyon,2,29.37667465209961
0,{} teddybear in grand canyon,3,33.25961685180664
0,{} teddybear in grand canyon,4,32.776023864746094
0,{} teddybear in grand canyon,5,29.481739044189453
0,{} teddybear in grand canyon,6,32.43644714355469
0,{} teddybear in grand canyon,7,33.740352630615234
0,{} teddybear in grand canyon,8,31.614181518554688
0,{} teddybear in grand canyon,9,30.031875610351562
0,{} teddybear in grand canyon,10,31.909746170043945
0,{} teddybear in grand canyon,11,31.240489959716797
0,{} teddybear in grand canyon,12,32.25947189331055
0,{} teddybear in grand canyon,13,31.759851455688477
0,{} teddybear in grand canyon,14,32.40092086791992
0,{} teddybear in grand canyon,15,32.949981689453125
0,{} teddybear in grand canyon,16,33.66581344604492
0,{} teddybear in grand canyon,17,32.001251220703125
0,{} teddybear in grand canyon,18,32.758602142333984
0,{} teddybear in grand canyon,19,33.788063049316406
0,{} teddybear in grand canyon,20,33.37206268310547
0,{} teddybear in grand canyon,21,31.062519073486328
0,{} teddybear in grand canyon,22,33.01912307739258
0,{} teddybear in grand canyon,23,33.39219665527344
0,{} teddybear in grand canyon,24,32.261749267578125
0,{} teddybear in grand canyon,25,31.216196060180664
0,{} teddybear in grand canyon,26,33.59885787963867
0,{} teddybear in grand canyon,27,33.022422790527344
0,{} teddybear in grand canyon,28,31.765789031982422
0,{} teddybear in grand canyon,29,34.72639083862305
0,{} teddybear in grand canyon,30,32.897457122802734
0,{} teddybear in grand canyon,31,33.127296447753906
0,{} teddybear in grand canyon,32,32.964515686035156
0,{} teddybear in grand canyon,33,32.347190856933594
0,{} teddybear in grand canyon,34,33.619998931884766
0,{} teddybear in grand canyon,35,33.4080924987793
0,{} teddybear in grand canyon,36,31.84596824645996
0,{} teddybear in grand canyon,37,35.52862548828125
0,{} teddybear in grand canyon,38,33.48292541503906
0,{} teddybear in grand canyon,39,32.93233871459961
0,{} teddybear in grand canyon,40,33.518558502197266
0,{} teddybear in grand canyon,41,32.0639533996582
0,{} teddybear in grand canyon,42,31.737274169921875
0,{} teddybear in grand canyon,43,30.13302993774414
0,{} teddybear in grand canyon,44,32.633018493652344
0,{} teddybear in grand canyon,45,32.930843353271484
0,{} teddybear in grand canyon,46,33.805850982666016
0,{} teddybear in grand canyon,47,30.564027786254883
0,{} teddybear in grand canyon,48,30.973833084106445
0,{} teddybear in grand canyon,49,31.353134155273438
1,{} teddybear sitting at the beach with a view of the sea,0,28.0911808013916
1,{} teddybear sitting at the beach with a view of the sea,1,27.02257537841797
1,{} teddybear sitting at the beach with a view of the sea,2,30.099868774414062
1,{} teddybear sitting at the beach with a view of the sea,3,28.583770751953125
1,{} teddybear sitting at the beach with a view of the sea,4,30.950498580932617
1,{} teddybear sitting at the beach with a view of the sea,5,32.78324508666992
1,{} teddybear sitting at the beach with a view of the sea,6,28.325908660888672
1,{} teddybear sitting at the beach with a view of the sea,7,29.566747665405273
1,{} teddybear sitting at the beach with a view of the sea,8,32.532310485839844
1,{} teddybear sitting at the beach with a view of the sea,9,28.217470169067383
1,{} teddybear sitting at the beach with a view of the sea,10,30.668834686279297
1,{} teddybear sitting at the beach with a view of the sea,11,30.631816864013672
1,{} teddybear sitting at the beach with a view of the sea,12,26.228797912597656
1,{} teddybear sitting at the beach with a view of the sea,13,30.7211971282959
1,{} teddybear sitting at the beach with a view of the sea,14,27.376693725585938
1,{} teddybear sitting at the beach with a view of the sea,15,27.122455596923828
1,{} teddybear sitting at the beach with a view of the sea,16,29.334604263305664
1,{} teddybear sitting at the beach with a view of the sea,17,27.930999755859375
1,{} teddybear sitting at the beach with a view of the sea,18,28.751300811767578
1,{} teddybear sitting at the beach with a view of the sea,19,30.99734115600586
1,{} teddybear sitting at the beach with a view of the sea,20,29.284912109375
1,{} teddybear sitting at the beach with a view of the sea,21,29.608070373535156
1,{} teddybear sitting at the beach with a view of the sea,22,23.93999671936035
1,{} teddybear sitting at the beach with a view of the sea,23,30.458969116210938
1,{} teddybear sitting at the beach with a view of the sea,24,30.099308013916016
1,{} teddybear sitting at the beach with a view of the sea,25,27.856630325317383
1,{} teddybear sitting at the beach with a view of the sea,26,28.82586097717285
1,{} teddybear sitting at the beach with a view of the sea,27,31.080692291259766
1,{} teddybear sitting at the beach with a view of the sea,28,27.720134735107422
1,{} teddybear sitting at the beach with a view of the sea,29,29.684585571289062
1,{} teddybear sitting at the beach with a view of the sea,30,30.651432037353516
1,{} teddybear sitting at the beach with a view of the sea,31,29.90018653869629
1,{} teddybear sitting at the beach with a view of the sea,32,30.207862854003906
1,{} teddybear sitting at the beach with a view of the sea,33,28.997289657592773
1,{} teddybear sitting at the beach with a view of the sea,34,29.340017318725586
1,{} teddybear sitting at the beach with a view of the sea,35,27.862627029418945
1,{} teddybear sitting at the beach with a view of the sea,36,31.39765167236328
1,{} teddybear sitting at the beach with a view of the sea,37,27.022281646728516
1,{} teddybear sitting at the beach with a view of the sea,38,25.398584365844727
1,{} teddybear sitting at the beach with a view of the sea,39,30.766265869140625
1,{} teddybear sitting at the beach with a view of the sea,40,24.768850326538086
1,{} teddybear sitting at the beach with a view of the sea,41,28.970388412475586
1,{} teddybear sitting at the beach with a view of the sea,42,30.188114166259766
1,{} teddybear sitting at the beach with a view of the sea,43,28.37081527709961
1,{} teddybear sitting at the beach with a view of the sea,44,31.96307373046875
1,{} teddybear sitting at the beach with a view of the sea,45,29.010061264038086
1,{} teddybear sitting at the beach with a view of the sea,46,31.875831604003906
1,{} teddybear sitting at the beach with a view of the sea,47,27.224788665771484
1,{} teddybear sitting at the beach with a view of the sea,48,28.978252410888672
1,{} teddybear sitting at the beach with a view of the sea,49,29.10093116760254
2,{} teddybear in times square,0,32.082603454589844
2,{} teddybear in times square,1,31.569744110107422
2,{} teddybear in times square,2,30.769561767578125
2,{} teddybear in times square,3,32.096290588378906
2,{} teddybear in times square,4,29.455657958984375
2,{} teddybear in times square,5,29.491472244262695
2,{} teddybear in times square,6,31.96966552734375
2,{} teddybear in times square,7,29.369115829467773
2,{} teddybear in times square,8,31.508142471313477
2,{} teddybear in times square,9,31.56511116027832
2,{} teddybear in times square,10,29.191627502441406
2,{} teddybear in times square,11,30.873149871826172
2,{} teddybear in times square,12,29.899072647094727
2,{} teddybear in times square,13,29.050338745117188
2,{} teddybear in times square,14,31.514230728149414
2,{} teddybear in times square,15,29.799001693725586
2,{} teddybear in times square,16,30.28824234008789
2,{} teddybear in times square,17,31.04373550415039
2,{} teddybear in times square,18,29.10093116760254
2,{} teddybear in times square,19,32.06836700439453
2,{} teddybear in times square,20,30.667638778686523
2,{} teddybear in times square,21,27.40978240966797
2,{} teddybear in times square,22,31.807899475097656
2,{} teddybear in times square,23,32.123008728027344
2,{} teddybear in times square,24,31.030412673950195
2,{} teddybear in times square,25,30.698177337646484
2,{} teddybear in times square,26,29.46605682373047
2,{} teddybear in times square,27,29.436355590820312
2,{} teddybear in times square,28,30.928096771240234
2,{} teddybear in times square,29,30.24683380126953
2,{} teddybear in times square,30,32.02981185913086
2,{} teddybear in times square,31,29.463634490966797
2,{} teddybear in times square,32,31.636178970336914
2,{} teddybear in times square,33,28.437339782714844
2,{} teddybear in times square,34,29.805274963378906
2,{} teddybear in times square,35,29.769960403442383
2,{} teddybear in times square,36,31.234020233154297
2,{} teddybear in times square,37,30.622392654418945
2,{} teddybear in times square,38,31.1459903717041
2,{} teddybear in times square,39,31.29405403137207
2,{} teddybear in times square,40,32.08344650268555
2,{} teddybear in times square,41,29.371583938598633
2,{} teddybear in times square,42,32.27047348022461
2,{} teddybear in times square,43,30.21603012084961
2,{} teddybear in times square,44,30.45104217529297
2,{} teddybear in times square,45,31.474489212036133
2,{} teddybear in times square,46,31.56586265563965
2,{} teddybear in times square,47,31.532119750976562
2,{} teddybear in times square,48,29.532791137695312
2,{} teddybear in times square,49,32.03691101074219
3,{} teddybear wearing sunglasses,0,30.803329467773438
3,{} teddybear wearing sunglasses,1,27.66292381286621
3,{} teddybear wearing sunglasses,2,30.406709671020508
3,{} teddybear wearing sunglasses,3,28.273561477661133
3,{} teddybear wearing sunglasses,4,32.40379333496094
3,{} teddybear wearing sunglasses,5,31.096580505371094
3,{} teddybear wearing sunglasses,6,29.098398208618164
3,{} teddybear wearing sunglasses,7,31.7158260345459
3,{} teddybear wearing sunglasses,8,29.917638778686523
3,{} teddybear wearing sunglasses,9,25.570249557495117
3,{} teddybear wearing sunglasses,10,30.012887954711914
3,{} teddybear wearing sunglasses,11,31.322128295898438
3,{} teddybear wearing sunglasses,12,31.582075119018555
3,{} teddybear wearing sunglasses,13,30.94255256652832
3,{} teddybear wearing sunglasses,14,33.68080139160156
3,{} teddybear wearing sunglasses,15,31.456619262695312
3,{} teddybear wearing sunglasses,16,29.83802032470703
3,{} teddybear wearing sunglasses,17,29.005313873291016
3,{} teddybear wearing sunglasses,18,33.71365737915039
3,{} teddybear wearing sunglasses,19,28.89944839477539
3,{} teddybear wearing sunglasses,20,29.74488067626953
3,{} teddybear wearing sunglasses,21,33.294952392578125
3,{} teddybear wearing sunglasses,22,27.40668296813965
3,{} teddybear wearing sunglasses,23,32.133636474609375
3,{} teddybear wearing sunglasses,24,28.618589401245117
3,{} teddybear wearing sunglasses,25,30.318462371826172
3,{} teddybear wearing sunglasses,26,31.306150436401367
3,{} teddybear wearing sunglasses,27,30.995136260986328
3,{} teddybear wearing sunglasses,28,26.6444091796875
