prompt_index,prompt,image_index,score
0, a desert,0,19.9090633392334
0, a desert,1,19.676727294921875
0, a desert,2,21.22527313232422
0, a desert,3,20.638980865478516
0, a desert,4,19.775611877441406
0, a desert,5,19.593507766723633
0, a desert,6,20.26619529724121
0, a desert,7,20.64654541015625
0, a desert,8,20.704118728637695
0, a desert,9,18.966012954711914
0, a desert,10,22.933778762817383
0, a desert,11,20.846769332885742
0, a desert,12,20.118953704833984
0, a desert,13,20.092899322509766
0, a desert,14,20.07383918762207
0, a desert,15,22.58278465270996
0, a desert,16,21.355457305908203
0, a desert,17,19.640974044799805
0, a desert,18,23.238096237182617
0, a desert,19,20.750831604003906
0, a desert,20,19.68491554260254
0, a desert,21,20.942371368408203
0, a desert,22,21.20612335205078
0, a desert,23,20.291898727416992
0, a desert,24,19.775846481323242
0, a desert,25,20.846641540527344
0, a desert,26,20.874113082885742
0, a desert,27,20.556747436523438
0, a desert,28,21.712060928344727
0, a desert,29,19.314220428466797
0, a desert,30,21.567907333374023
0, a desert,31,21.130523681640625
0, a desert,32,20.891849517822266
0, a desert,33,21.693628311157227
0, a desert,34,19.412900924682617
0, a desert,35,20.69783592224121
0, a desert,36,20.69652557373047
0, a desert,37,21.492046356201172
0, a desert,38,19.705402374267578
0, a desert,39,20.95882797241211
0, a desert,40,20.8386287689209
0, a desert,41,22.469799041748047
0, a desert,42,21.245960235595703
0, a desert,43,22.60303497314453
0, a desert,44,20.943758010864258
0, a desert,45,20.73764419555664
0, a desert,46,20.79269790649414
0, a desert,47,21.144325256347656
0, a desert,48,18.313392639160156
0, a desert,49,21.01059913635254
1, beach with a view of the seashore,0,18.561689376831055
1, beach with a view of the seashore,1,18.943557739257812
1, beach with a view of the seashore,2,21.771011352539062
1, beach with a view of the seashore,3,19.89055061340332
1, beach with a view of the seashore,4,22.39607810974121
1, beach with a view of the seashore,5,22.14704704284668
1, beach with a view of the seashore,6,17.720548629760742
1, beach with a view of the seashore,7,17.031259536743164
1, beach with a view of the seashore,8,21.073293685913086
1, beach with a view of the seashore,9,17.948871612548828
1, beach with a view of the seashore,10,18.45625114440918
1, beach with a view of the seashore,11,17.951631546020508
1, beach with a view of the seashore,12,17.507774353027344
1, beach with a view of the seashore,13,19.22638702392578
1, beach with a view of the seashore,14,17.18756866455078
1, beach with a view of the seashore,15,18.560993194580078
1, beach with a view of the seashore,16,20.414093017578125
1, beach with a view of the seashore,17,19.650423049926758
1, beach with a view of the seashore,18,19.436859130859375
1, beach with a view of the seashore,19,20.651288986206055
1, beach with a view of the seashore,20,18.950374603271484
1, beach with a view of the seashore,21,18.447633743286133
1, beach with a view of the seashore,22,19.477672576904297
1, beach with a view of the seashore,23,21.731515884399414
1, beach with a view of the seashore,24,21.537504196166992
1, beach with a view of the seashore,25,20.72773551940918
1, beach with a view of the seashore,26,20.130657196044922
1, beach with a view of the seashore,27,21.249582290649414
1, beach with a view of the seashore,28,18.08006477355957
1, beach with a view of the seashore,29,18.008852005004883
1, beach with a view of the seashore,30,18.631132125854492
1, beach with a view of the seashore,31,20.464807510375977
1, beach with a view of the seashore,32,17.349103927612305
1, beach with a view of the seashore,33,20.53609275817871
1, beach with a view of the seashore,34,19.05359649658203
1, beach with a view of the seashore,35,18.657939910888672
1, beach with a view of the seashore,36,17.059818267822266
1, beach with a view of the seashore,37,19.321006774902344
1, beach with a view of the seashore,38,18.4954891204834
1, beach with a view of the seashore,39,21.407636642456055
1, beach with a view of the seashore,40,19.66618537902832
1, beach with a view of the seashore,41,17.471126556396484
1, beach with a view of the seashore,42,22.73015022277832
1, beach with a view of the seashore,43,17.44187355041504
1, beach with a view of the seashore,44,19.682411193847656
1, beach with a view of the seashore,45,21.131620407104492
1, beach with a view of the seashore,46,20.67193031311035
1, beach with a view of the seashore,47,20.23444366455078
1, beach with a view of the seashore,48,16.385597229003906
1, beach with a view of the seashore,49,19.440994262695312
2, a mountain with sunrise in the background,0,21.037763595581055
2, a mountain with sunrise in the background,1,22.18836212158203
2, a mountain with sunrise in the background,2,19.31979751586914
2, a mountain with sunrise in the background,3,22.302711486816406
2, a mountain with sunrise in the background,4,20.706459045410156
2, a mountain with sunrise in the background,5,22.51797866821289
2, a mountain with sunrise in the background,6,23.103803634643555
2, a mountain with sunrise in the background,7,24.782447814941406
2, a mountain with sunrise in the background,8,20.30301284790039
2, a mountain with sunrise in the background,9,21.36328887939453
2, a mountain with sunrise in the background,10,22.88814926147461
2, a mountain with sunrise in the background,11,22.814115524291992
2, a mountain with sunrise in the background,12,22.983667373657227
2, a mountain with sunrise in the background,13,21.036693572998047
2, a mountain with sunrise in the background,14,18.759719848632812
2, a mountain with sunrise in the background,15,23.239456176757812
2, a mountain with sunrise in the background,16,21.460893630981445
2, a mountain with sunrise in the background,17,21.187362670898438
2, a mountain with sunrise in the background,18,20.327373504638672
2, a mountain with sunrise in the background,19,20.46599769592285
2, a mountain with sunrise in the background,20,21.125810623168945
2, a mountain with sunrise in the background,21,21.592811584472656
2, a mountain with sunrise in the background,22,22.51182746887207
2, a mountain with sunrise in the background,23,22.158592224121094
2, a mountain with sunrise in the background,24,21.69371795654297
2, a mountain with sunrise in the background,25,20.527530670166016
2, a mountain with sunrise in the background,26,22.388687133789062
2, a mountain with sunrise in the background,27,22.876724243164062
2, a mountain with sunrise in the background,28,23.725854873657227
2, a mountain with sunrise in the background,29,22.244077682495117
2, a mountain with sunrise in the background,30,22.46807289123535
2, a mountain with sunrise in the background,31,21.567943572998047
2, a mountain with sunrise in the background,32,22.569475173950195
2, a mountain with sunrise in the background,33,21.9256591796875
2, a mountain with sunrise in the background,34,24.4139461517334
2, a mountain with sunrise in the background,35,20.43720817565918
2, a mountain with sunrise in the background,36,22.42482566833496
2, a mountain with sunrise in the background,37,21.54203224182129
2, a mountain with sunrise in the background,38,20.94305419921875
2, a mountain with sunrise in the background,39,20.110502243041992
2, a mountain with sunrise in the background,40,22.01569938659668
2, a mountain with sunrise in the background,41,22.878189086914062
2, a mountain with sunrise in the background,42,20.85041618347168
2, a mountain with sunrise in the background,43,22.701723098754883
2, a mountain with sunrise in the background,44,22.882625579833984
2, a mountain with sunrise in the background,45,21.64590072631836
2, a mountain with sunrise in the background,46,20.237655639648438
2, a mountain with sunrise in the background,47,22.521833419799805
2, a mountain with sunrise in the background,48,18.39959716796875
2, a mountain with sunrise in the background,49,22.785259246826172
3, a man holding a bouquet,0,25.72884178161621
3, a man holding a bouquet,1,22.254680633544922
3, a man holding a bouquet,2,24.161876678466797
3, a man holding a bouquet,3,24.52956199645996
3, a man holding a bouquet,4,24.233484268188477
3, a man holding a bouquet,5,24.209789276123047
3, a man holding a bouquet,6,26.223939895629883
3, a man holding a bouquet,7,22.293272018432617
3, a man holding a bouquet,8,24.380817413330078
3, a man holding a bouquet,9,25.283912658691406
3, a man holding a bouquet,10,24.10590362548828
3, a man holding a bouquet,11,26.381755828857422
3, a man holding a bouquet,12,24.697750091552734
3, a man holding a bouquet,13,23.39790916442871
3, a man holding a bouquet,14,22.590974807739258
3, a man holding a bouquet,15,23.28870391845703
3, a man holding a bouquet,16,25.824779510498047
3, a man holding a bouquet,17,23.351076126098633
3, a man holding a bouquet,18,21.55805778503418
3, a man holding a bouquet,19,26.175817489624023
3, a man holding a bouquet,20,22.130306243896484
3, a man holding a bouquet,21,23.715248107910156
3, a man holding a bouquet,22,25.50293731689453
3, a man holding a bouquet,23,21.330347061157227
3, a man holding a bouquet,24,26.16792869567871
3, a man holding a bouquet,25,25.5789794921875
3, a man holding a bouquet,26,21.734872817993164
3, a man holding a bouquet,27,28.175798416137695
3, a man holding a bouquet,28,25.4420108795166
3, a man holding a bouquet,29,22.397829055786133
3, a man holding a bouquet,30,23.72985076904297
3, a man holding a bouquet,31,21.754758834838867
3, a man holding a bouquet,32,22.929302215576172
3, a man holding a bouquet,33,25.916015625
3, a man holding a bouquet,34,25.76177215576172
3, a man holding a bouquet,35,27.97265625
3, a man holding a bouquet,36,21.451217651367188
3, a man holding a bouquet,37,21.68431282043457
3, a man holding a bouquet,38,20.665912628173828
3, a man holding a bouquet,39,24.211076736450195
3, a man holding a bouquet,40,27.6224365234375
3, a man holding a bouquet,41,19.56983184814453
3, a man holding a bouquet,42,25.535865783691406
3, a man holding a bouquet,43,22.989038467407227
3, a man holding a bouquet,44,23.853782653808594
3, a man holding a bouquet,45,20.361143112182617
3, a man holding a bouquet,46,22.885122299194336
3, a man holding a bouquet,47,19.272136688232422
3, a man holding a bouquet,48,25.353309631347656
3, a man holding a bouquet,49,23.671283721923828
4, a garden,0,24.041536331176758
4, a garden,1,23.905696868896484
4, a garden,2,24.694929122924805
4, a garden,3,24.055152893066406
4, a garden,4,24.304319381713867
4, a garden,5,22.818817138671875
4, a garden,6,22.71327781677246
4, a garden,7,24.541358947753906
4, a garden,8,24.777109146118164
4, a garden,9,22.902931213378906
4, a garden,10,23.37440299987793
4, a garden,11,24.600831985473633
4, a garden,12,23.92580795288086
4, a garden,13,22.836008071899414
4, a garden,14,23.541364669799805
4, a garden,15,24.139108657836914
4, a garden,16,24.405956268310547
4, a garden,17,24.72526741027832
4, a garden,18,23.06573486328125
4, a garden,19,24.38538360595703
4, a garden,20,25.073253631591797
4, a garden,21,24.274497985839844
4, a garden,22,25.480484008789062
4, a garden,23,24.241649627685547
4, a garden,24,23.14955711364746
4, a garden,25,22.03443717956543
4, a garden,26,23.720125198364258
4, a garden,27,23.165603637695312
4, a garden,28,22.45062255859375
4, a garden,29,24.514225006103516
4, a garden,30,23.983633041381836
4, a garden,31,23.202678680419922
4, a garden,32,23.066844940185547
4, a garden,33,23.5571231842041
4, a garden,34,23.644176483154297
4, a garden,35,23.488798141479492
4, a garden,36,23.570459365844727
4, a garden,37,24.90018653869629
4, a garden,38,24.436256408691406
4, a garden,39,23.3436279296875
4, a garden,40,23.364057540893555
4, a garden,41,22.7088623046875
4, a garden,42,24.437101364135742
4, a garden,43,23.825767517089844
4, a garden,44,23.710840225219727
4, a garden,45,24.578371047973633
4, a garden,46,23.557172775268555
4, a garden,47,24.196701049804688
4, a garden,48,23.487346649169922
4, a garden,49,24.23031997680664
5, a violet vase on a table,0,30.75789451599121
5, a violet vase on a table,1,26.20282554626465
5, a violet vase on a table,2,25.997453689575195
5, a violet vase on a table,3,28.75465965270996
5, a violet vase on a table,4,28.418996810913086
5, a violet vase on a table,5,26.525014877319336
5, a violet vase on a table,6,32.0054817199707
5, a violet vase on a table,7,27.398008346557617
5, a violet vase on a table,8,29.667646408081055
5, a violet vase on a table,9,29.34023666381836
5, a violet vase on a table,10,25.926511764526367
5, a violet vase on a table,11,26.63475227355957
5, a violet vase on a table,12,27.204683303833008
5, a violet vase on a table,13,27.538162231445312
5, a violet vase on a table,14,26.567291259765625
5, a violet vase on a table,15,25.69190216064453
5, a violet vase on a table,16,30.843931198120117
5, a violet vase on a table,17,22.421117782592773
5, a violet vase on a table,18,29.14736557006836
5, a violet vase on a table,19,28.727684020996094
5, a violet vase on a table,20,29.492372512817383
5, a violet vase on a table,21,23.973508834838867
5, a violet vase on a table,22,26.3636531829834
5, a violet vase on a table,23,27.432559967041016
5, a violet vase on a table,24,23.210508346557617
5, a violet vase on a table,25,26.665857315063477
5, a violet vase on a table,26,30.046594619750977
5, a violet vase on a table,27,26.042020797729492
5, a violet vase on a table,28,23.85575294494629
5, a violet vase on a table,29,25.88055419921875
5, a violet vase on a table,30,29.428869247436523
5, a violet vase on a table,31,31.346141815185547
5, a violet vase on a table,32,17.762426376342773
5, a violet vase on a table,33,24.21200942993164
5, a violet vase on a table,34,24.529876708984375
5, a violet vase on a table,35,30.11223602294922
5, a violet vase on a table,36,29.873228073120117
5, a violet vase on a table,37,26.13668441772461
5, a violet vase on a table,38,26.88588523864746
5, a violet vase on a table,39,26.608091354370117
5, a violet vase on a table,40,27.858158111572266
5, a violet vase on a table,41,28.166807174682617
5, a violet vase on a table,42,25.946680068969727
5, a violet vase on a table,43,29.518001556396484
5, a violet vase on a table,44,27.707895278930664
5, a violet vase on a table,45,23.643539428710938
5, a violet vase on a table,46,30.449031829833984
5, a violet vase on a table,47,30.617645263671875
5, a violet vase on a table,48,27.834659576416016
5, a violet vase on a table,49,26.763486862182617
6, a vase on a table,0,21.227567672729492
6, a vase on a table,1,21.827688217163086
6, a vase on a table,2,25.16986083984375
6, a vase on a table,3,20.39142608642578
6, a vase on a table,4,22.481393814086914
6, a vase on a table,5,22.353181838989258
6, a vase on a table,6,21.34142303466797
6, a vase on a table,7,21.10669708251953
6, a vase on a table,8,22.24980354309082
