prompt_index,prompt,image_index,score
0, a chair,0,22.930809020996094
0, a chair,1,22.827205657958984
0, a chair,2,21.826881408691406
0, a chair,3,21.16507339477539
0, a chair,4,21.145877838134766
0, a chair,5,24.416152954101562
0, a chair,6,21.30172348022461
0, a chair,7,20.430803298950195
0, a chair,8,23.042388916015625
0, a chair,9,23.066612243652344
0, a chair,10,24.12160301208496
0, a chair,11,21.637149810791016
0, a chair,12,25.33057975769043
0, a chair,13,23.380718231201172
0, a chair,14,23.133052825927734
0, a chair,15,23.714065551757812
0, a chair,16,23.566394805908203
0, a chair,17,24.747758865356445
0, a chair,18,21.661922454833984
0, a chair,19,22.97508430480957
0, a chair,20,22.95119857788086
0, a chair,21,20.174144744873047
0, a chair,22,21.14423370361328
0, a chair,23,21.776269912719727
0, a chair,24,22.569503784179688
0, a chair,25,25.219036102294922
0, a chair,26,21.936899185180664
0, a chair,27,21.347824096679688
0, a chair,28,24.998897552490234
0, a chair,29,22.982105255126953
0, a chair,30,23.27143096923828
0, a chair,31,21.93889617919922
0, a chair,32,23.980846405029297
0, a chair,33,23.772335052490234
0, a chair,34,23.15424919128418
0, a chair,35,24.830631256103516
0, a chair,36,22.066513061523438
0, a chair,37,24.173791885375977
0, a chair,38,22.024423599243164
0, a chair,39,21.598831176757812
0, a chair,40,22.559589385986328
0, a chair,41,24.134353637695312
0, a chair,42,24.080198287963867
0, a chair,43,23.35106658935547
0, a chair,44,25.046974182128906
0, a chair,45,21.78400230407715
0, a chair,46,22.970603942871094
0, a chair,47,24.530960083007812
0, a chair,48,23.55030059814453
0, a chair,49,21.57815933227539
1, a chair,0,15.302750587463379
1, a chair,1,20.242170333862305
1, a chair,2,15.43868350982666
1, a chair,3,13.663627624511719
1, a chair,4,19.027835845947266
1, a chair,5,19.01752281188965
1, a chair,6,21.77937126159668
1, a chair,7,13.163074493408203
1, a chair,8,20.223352432250977
1, a chair,9,20.793193817138672
1, a chair,10,13.184348106384277
1, a chair,11,18.862361907958984
1, a chair,12,19.977951049804688
1, a chair,13,20.303462982177734
1, a chair,14,11.989510536193848
1, a chair,15,20.290990829467773
1, a chair,16,18.5819149017334
1, a chair,17,20.859724044799805
1, a chair,18,19.959003448486328
1, a chair,19,13.322572708129883
1, a chair,20,20.963916778564453
1, a chair,21,20.53862190246582
1, a chair,22,20.65886688232422
1, a chair,23,22.124662399291992
1, a chair,24,19.566600799560547
1, a chair,25,21.024816513061523
1, a chair,26,16.19525909423828
1, a chair,27,20.602840423583984
1, a chair,28,19.02124786376953
1, a chair,29,21.322542190551758
1, a chair,30,19.021780014038086
1, a chair,31,21.343883514404297
1, a chair,32,18.35275650024414
1, a chair,33,20.090274810791016
1, a chair,34,19.060932159423828
1, a chair,35,16.66668128967285
1, a chair,36,23.66399574279785
1, a chair,37,19.497772216796875
1, a chair,38,12.40833568572998
1, a chair,39,21.40316390991211
1, a chair,40,13.214529991149902
1, a chair,41,19.881893157958984
1, a chair,42,19.85539436340332
1, a chair,43,13.20844554901123
1, a chair,44,19.521177291870117
1, a chair,45,20.050283432006836
1, a chair,46,15.781646728515625
1, a chair,47,18.784088134765625
1, a chair,48,20.338830947875977
1, a chair,49,14.577860832214355
2, a chair,0,16.21626091003418
2, a chair,1,21.434345245361328
2, a chair,2,21.28644561767578
2, a chair,3,24.408275604248047
2, a chair,4,18.978374481201172
2, a chair,5,22.950397491455078
2, a chair,6,17.441646575927734
2, a chair,7,18.16484260559082
2, a chair,8,15.862071990966797
2, a chair,9,16.461606979370117
2, a chair,10,15.016206741333008
2, a chair,11,20.3250732421875
2, a chair,12,17.904836654663086
2, a chair,13,25.456064224243164
2, a chair,14,19.705730438232422
2, a chair,15,18.99395179748535
2, a chair,16,17.507522583007812
2, a chair,17,21.661331176757812
2, a chair,18,21.13705825805664
2, a chair,19,14.969626426696777
2, a chair,20,15.06010627746582
2, a chair,21,15.199169158935547
2, a chair,22,17.639142990112305
2, a chair,23,16.872167587280273
2, a chair,24,19.685039520263672
2, a chair,25,22.818714141845703
2, a chair,26,13.582184791564941
2, a chair,27,20.686281204223633
2, a chair,28,20.432828903198242
2, a chair,29,15.174691200256348
2, a chair,30,19.15260887145996
2, a chair,31,19.966447830200195
2, a chair,32,20.410673141479492
2, a chair,33,17.597501754760742
2, a chair,34,19.421031951904297
2, a chair,35,17.888334274291992
2, a chair,36,19.393320083618164
2, a chair,37,21.2369384765625
2, a chair,38,16.47743797302246
2, a chair,39,18.169057846069336
2, a chair,40,21.439233779907227
2, a chair,41,16.802791595458984
2, a chair,42,21.40887451171875
2, a chair,43,16.64501190185547
2, a chair,44,21.157854080200195
2, a chair,45,18.640291213989258
2, a chair,46,15.663475036621094
2, a chair,47,22.46306037902832
2, a chair,48,19.911706924438477
2, a chair,49,20.07308006286621
3, a chair,0,17.42314910888672
3, a chair,1,23.391986846923828
3, a chair,2,19.62197494506836
3, a chair,3,19.792577743530273
3, a chair,4,19.8282527923584
3, a chair,5,20.222124099731445
3, a chair,6,19.84254264831543
3, a chair,7,20.37868309020996
3, a chair,8,26.756662368774414
3, a chair,9,19.807817459106445
3, a chair,10,20.182497024536133
3, a chair,11,18.920045852661133
3, a chair,12,21.86056137084961
3, a chair,13,20.570764541625977
3, a chair,14,21.95928192138672
3, a chair,15,21.78136444091797
3, a chair,16,18.576276779174805
3, a chair,17,16.32784652709961
3, a chair,18,22.381498336791992
3, a chair,19,20.746841430664062
3, a chair,20,20.70066261291504
3, a chair,21,22.821533203125
3, a chair,22,19.321739196777344
3, a chair,23,21.486209869384766
3, a chair,24,20.988187789916992
3, a chair,25,20.35888671875
3, a chair,26,21.204269409179688
3, a chair,27,13.373504638671875
3, a chair,28,20.298131942749023
3, a chair,29,16.174163818359375
3, a chair,30,20.18825340270996
3, a chair,31,20.181909561157227
3, a chair,32,20.04499626159668
3, a chair,33,21.84189796447754
3, a chair,34,21.72886085510254
3, a chair,35,16.573406219482422
3, a chair,36,24.792993545532227
3, a chair,37,20.964017868041992
3, a chair,38,20.873979568481445
3, a chair,39,17.067880630493164
3, a chair,40,20.646041870117188
3, a chair,41,23.853120803833008
3, a chair,42,20.240680694580078
3, a chair,43,21.112886428833008
3, a chair,44,17.252456665039062
3, a chair,45,21.352930068969727
3, a chair,46,23.31257438659668
3, a chair,47,19.441423416137695
3, a chair,48,17.907800674438477
3, a chair,49,20.136375427246094
4, a chair,0,24.359973907470703
4, a chair,1,24.935178756713867
4, a chair,2,22.73343849182129
4, a chair,3,24.781200408935547
4, a chair,4,25.116586685180664
4, a chair,5,24.28375244140625
4, a chair,6,25.142166137695312
4, a chair,7,21.017826080322266
4, a chair,8,24.109912872314453
4, a chair,9,21.99468231201172
4, a chair,10,22.951496124267578
4, a chair,11,22.25651741027832
4, a chair,12,26.384029388427734
4, a chair,13,22.68737030029297
4, a chair,14,24.2884464263916
4, a chair,15,23.771364212036133
4, a chair,16,21.77195167541504
4, a chair,17,21.78400421142578
4, a chair,18,25.26180648803711
4, a chair,19,24.579788208007812
4, a chair,20,21.743505477905273
4, a chair,21,21.928585052490234
4, a chair,22,22.657272338867188
4, a chair,23,22.996618270874023
4, a chair,24,23.414478302001953
4, a chair,25,23.97530746459961
4, a chair,26,23.102197647094727
4, a chair,27,24.88199234008789
4, a chair,28,23.748367309570312
4, a chair,29,23.44558334350586
4, a chair,30,22.768835067749023
4, a chair,31,22.86590576171875
4, a chair,32,22.675981521606445
4, a chair,33,26.078350067138672
4, a chair,34,22.8438663482666
4, a chair,35,23.703147888183594
4, a chair,36,22.486221313476562
4, a chair,37,20.443401336669922
4, a chair,38,21.912538528442383
4, a chair,39,24.348487854003906
4, a chair,40,23.129600524902344
4, a chair,41,23.09670639038086
4, a chair,42,23.591232299804688
4, a chair,43,23.062129974365234
4, a chair,44,23.992855072021484
4, a chair,45,23.08778190612793
4, a chair,46,23.619516372680664
4, a chair,47,24.629215240478516
4, a chair,48,24.186927795410156
4, a chair,49,26.136857986450195
5, a chair,0,21.357458114624023
5, a chair,1,20.801340103149414
5, a chair,2,19.900821685791016
5, a chair,3,22.484039306640625
5, a chair,4,21.980350494384766
5, a chair,5,23.587926864624023
5, a chair,6,20.966501235961914
5, a chair,7,23.76406478881836
5, a chair,8,21.01592445373535
5, a chair,9,21.742090225219727
5, a chair,10,19.84892463684082
5, a chair,11,20.511945724487305
5, a chair,12,21.345720291137695
5, a chair,13,18.74542236328125
5, a chair,14,18.56789207458496
5, a chair,15,21.202213287353516
5, a chair,16,22.975248336791992
5, a chair,17,22.762022018432617
5, a chair,18,20.04477310180664
5, a chair,19,21.80515480041504
5, a chair,20,19.97343635559082
5, a chair,21,20.285364151000977
5, a chair,22,22.38884925842285
5, a chair,23,21.774642944335938
5, a chair,24,22.85343360900879
5, a chair,25,19.5126895904541
5, a chair,26,23.864871978759766
5, a chair,27,22.06033706665039
5, a chair,28,19.75575065612793
5, a chair,29,21.959041595458984
5, a chair,30,19.164600372314453
5, a chair,31,23.39026641845703
5, a chair,32,21.270246505737305
5, a chair,33,21.681507110595703
5, a chair,34,21.01119613647461
5, a chair,35,22.791635513305664
5, a chair,36,19.807180404663086
5, a chair,37,20.76668930053711
5, a chair,38,22.25413703918457
5, a chair,39,20.800403594970703
5, a chair,40,19.830652236938477
5, a chair,41,19.979957580566406
5, a chair,42,23.123302459716797
5, a chair,43,19.00157928466797
5, a chair,44,20.134735107421875
5, a chair,45,21.752792358398438
5, a chair,46,22.866958618164062
5, a chair,47,21.687381744384766
5, a chair,48,20.082395553588867
5, a chair,49,21.803653717041016
6, a chair,0,20.203569412231445
6, a chair,1,18.33580780029297
6, a chair,2,21.141809463500977
6, a chair,3,21.01764488220215
6, a chair,4,18.0858097076416
6, a chair,5,18.692853927612305
6, a chair,6,18.77105140686035
6, a chair,7,20.484933853149414
6, a chair,8,20.963546752929688
6, a chair,9,18.70353126525879
6, a chair,10,21.97208023071289
6, a chair,11,16.933090209960938
6, a chair,12,17.28974151611328
6, a chair,13,18.699983596801758
6, a chair,14,21.381555557250977
6, a chair,15,22.491003036499023
6, a chair,16,15.945586204528809
6, a chair,17,19.29829216003418
6, a chair,18,20.017559051513672
6, a chair,19,19.4661922454834
6, a chair,20,19.062726974487305
6, a chair,21,18.370258331298828
6, a chair,22,14.641569137573242
6, a chair,23,20.703834533691406
6, a chair,24,19.109390258789062
6, a chair,25,20.302818298339844
6, a chair,26,19.059146881103516
6, a chair,27,20.474199295043945
6, a chair,28,20.56761932373047
6, a chair,29,20.52016258239746
6, a chair,30,21.410289764404297
6, a chair,31,20.36511993408203
6, a chair,32,19.697101593017578
6, a chair,33,17.91062355041504
6, a chair,34,16.769086837768555
6, a chair,35,19.89982795715332
6, a chair,36,19.202457427978516
6, a chair,37,19.615238189697266
6, a chair,38,20.096525192260742
6, a chair,39,18.404237747192383
6, a chair,40,19.444169998168945
6, a chair,41,21.500818252563477
6, a chair,42,19.82235336303711
6, a chair,43,22.17411994934082
6, a chair,44,20.194541931152344
6, a chair,45,20.102277755737305
6, a chair,46,19.770671844482422
6, a chair,47,19.578716278076172
6, a chair,48,19.060060501098633
6, a chair,49,19.80900764465332
7, a chair,0,19.523935317993164
7, a chair,1,20.958215713500977
7, a chair,2,19.523544311523438
7, a chair,3,17.38818359375
7, a chair,4,18.775705337524414
7, a chair,5,18.957027435302734
7, a chair,6,18.30039405822754
7, a chair,7,19.905454635620117
7, a chair,8,18.421850204467773
7, a chair,9,17.463132858276367
7, a chair,10,20.6325740814209
7, a chair,11,19.724767684936523
7, a chair,12,17.79401969909668
7, a chair,13,20.63642692565918
7, a chair,14,17.938196182250977
7, a chair,15,16.082569122314453
7, a chair,16,20.020740509033203
7, a chair,17,17.98308563232422
7, a chair,18,16.909440994262695
7, a chair,19,16.993486404418945
7, a chair,20,14.127410888671875
7, a chair,21,16.236846923828125
7, a chair,22,18.512210845947266
7, a chair,23,17.32610321044922
7, a chair,24,18.598600387573242
7, a chair,25,20.834327697753906
7, a chair,26,19.523868560791016
