prompt_index,prompt,image_index,score
0, snowy ice,0,17.219999313354492
0, snowy ice,1,19.593015670776367
0, snowy ice,2,20.55475616455078
0, snowy ice,3,19.261646270751953
0, snowy ice,4,18.571531295776367
0, snowy ice,5,16.752471923828125
0, snowy ice,6,19.917884826660156
0, snowy ice,7,20.080692291259766
0, snowy ice,8,18.795827865600586
0, snowy ice,9,18.645456314086914
0, snowy ice,10,18.65349006652832
0, snowy ice,11,19.017427444458008
0, snowy ice,12,18.394535064697266
0, snowy ice,13,20.268661499023438
0, snowy ice,14,18.8613338470459
0, snowy ice,15,19.893178939819336
0, snowy ice,16,19.28009033203125
0, snowy ice,17,18.313541412353516
0, snowy ice,18,18.580196380615234
0, snowy ice,19,19.155715942382812
0, snowy ice,20,19.179201126098633
0, snowy ice,21,20.329660415649414
0, snowy ice,22,18.45339584350586
0, snowy ice,23,19.70856475830078
0, snowy ice,24,20.243051528930664
0, snowy ice,25,19.33392333984375
0, snowy ice,26,18.089656829833984
0, snowy ice,27,21.15208625793457
0, snowy ice,28,18.354394912719727
0, snowy ice,29,18.53005599975586
0, snowy ice,30,19.29534912109375
0, snowy ice,31,21.186843872070312
0, snowy ice,32,18.571788787841797
0, snowy ice,33,17.890594482421875
0, snowy ice,34,20.833942413330078
0, snowy ice,35,19.19906234741211
0, snowy ice,36,19.550256729125977
0, snowy ice,37,20.888219833374023
0, snowy ice,38,18.638530731201172
0, snowy ice,39,19.94734001159668
0, snowy ice,40,17.716861724853516
0, snowy ice,41,21.081356048583984
0, snowy ice,42,19.188800811767578
0, snowy ice,43,20.105070114135742
0, snowy ice,44,18.665128707885742
0, snowy ice,45,19.716461181640625
0, snowy ice,46,20.75115966796875
0, snowy ice,47,18.516143798828125
0, snowy ice,48,19.149906158447266
0, snowy ice,49,19.574968338012695
1, blooming sunflower field,0,24.85320281982422
1, blooming sunflower field,1,24.56488800048828
1, blooming sunflower field,2,25.518146514892578
1, blooming sunflower field,3,24.46415138244629
1, blooming sunflower field,4,25.420230865478516
1, blooming sunflower field,5,26.231700897216797
