prompt_index,prompt,image_index,score
0, grand canyon,0,20.67316246032715
0, grand canyon,1,19.910842895507812
0, grand canyon,2,21.834901809692383
0, grand canyon,3,21.837800979614258
0, grand canyon,4,21.015663146972656
0, grand canyon,5,14.69301986694336
0, grand canyon,6,20.713281631469727
0, grand canyon,7,22.229934692382812
0, grand canyon,8,20.10554313659668
0, grand canyon,9,18.30167007446289
0, grand canyon,10,16.381635665893555
0, grand canyon,11,20.35494613647461
0, grand canyon,12,21.675153732299805
0, grand canyon,13,19.10910987854004
0, grand canyon,14,22.68821907043457
0, grand canyon,15,21.228113174438477
0, grand canyon,16,21.407569885253906
0, grand canyon,17,19.131277084350586
0, grand canyon,18,17.334802627563477
0, grand canyon,19,20.444049835205078
0, grand canyon,20,20.408580780029297
0, grand canyon,21,18.03670883178711
0, grand canyon,22,20.39638900756836
0, grand canyon,23,20.994935989379883
0, grand canyon,24,21.65410614013672
0, grand canyon,25,20.67281150817871
0, grand canyon,26,22.369033813476562
0, grand canyon,27,22.47492027282715
0, grand canyon,28,19.654951095581055
0, grand canyon,29,20.55584716796875
0, grand canyon,30,21.62063980102539
0, grand canyon,31,21.09413719177246
0, grand canyon,32,21.378175735473633
0, grand canyon,33,21.639612197875977
0, grand canyon,34,15.973027229309082
0, grand canyon,35,22.106853485107422
0, grand canyon,36,19.83157730102539
0, grand canyon,37,18.721385955810547
0, grand canyon,38,20.534347534179688
0, grand canyon,39,21.786542892456055
0, grand canyon,40,16.311973571777344
0, grand canyon,41,20.488088607788086
0, grand canyon,42,16.49859619140625
0, grand canyon,43,18.3656005859375
0, grand canyon,44,15.800209045410156
0, grand canyon,45,17.280927658081055
0, grand canyon,46,23.500619888305664
0, grand canyon,47,22.34676742553711
0, grand canyon,48,18.55441665649414
0, grand canyon,49,18.280010223388672
1, swimming pool,0,17.92963981628418
1, swimming pool,1,18.54058837890625
1, swimming pool,2,16.70840835571289
1, swimming pool,3,16.598228454589844
1, swimming pool,4,20.215167999267578
1, swimming pool,5,18.718021392822266
1, swimming pool,6,17.463525772094727
1, swimming pool,7,18.884065628051758
1, swimming pool,8,20.322002410888672
1, swimming pool,9,19.594898223876953
1, swimming pool,10,17.057876586914062
1, swimming pool,11,16.399456024169922
1, swimming pool,12,19.14756965637207
1, swimming pool,13,15.081791877746582
1, swimming pool,14,18.025827407836914
1, swimming pool,15,19.22511100769043
1, swimming pool,16,17.34406089782715
1, swimming pool,17,20.824235916137695
1, swimming pool,18,17.342580795288086
1, swimming pool,19,17.519729614257812
1, swimming pool,20,19.415462493896484
1, swimming pool,21,17.557241439819336
1, swimming pool,22,18.04568862915039
1, swimming pool,23,18.740846633911133
1, swimming pool,24,18.257280349731445
1, swimming pool,25,17.739418029785156
1, swimming pool,26,18.786611557006836
1, swimming pool,27,18.93813705444336
1, swimming pool,28,17.986980438232422
1, swimming pool,29,18.196325302124023
1, swimming pool,30,19.233577728271484
1, swimming pool,31,18.128036499023438
1, swimming pool,32,18.149288177490234
1, swimming pool,33,19.136520385742188
1, swimming pool,34,17.084413528442383
1, swimming pool,35,20.92038345336914
1, swimming pool,36,19.75751304626465
1, swimming pool,37,19.665672302246094
1, swimming pool,38,18.81833839416504
1, swimming pool,39,17.62621307373047
1, swimming pool,40,18.788652420043945
1, swimming pool,41,17.72262191772461
1, swimming pool,42,18.057456970214844
1, swimming pool,43,19.575424194335938
1, swimming pool,44,19.07419204711914
1, swimming pool,45,17.615245819091797
1, swimming pool,46,16.75168228149414
1, swimming pool,47,20.245677947998047
1, swimming pool,48,18.520429611206055
1, swimming pool,49,18.379379272460938
2, beach with a view of the sea,0,15.881021499633789
2, beach with a view of the sea,1,15.497175216674805
2, beach with a view of the sea,2,18.448179244995117
2, beach with a view of the sea,3,17.347251892089844
2, beach with a view of the sea,4,18.210237503051758
2, beach with a view of the sea,5,14.676859855651855
2, beach with a view of the sea,6,16.1684513092041
2, beach with a view of the sea,7,16.070261001586914
2, beach with a view of the sea,8,16.18271827697754
2, beach with a view of the sea,9,17.003225326538086
2, beach with a view of the sea,10,17.70694923400879
