prior_preserving_name,prompt
toy,"A soft plush toy in the shape of a cat, sitting on a cozy pink blanket in a child's bedroom, with sunlight streaming through a window.     "
toy,"A plastic cat-shaped toy with vibrant colors placed on a shiny wooden table, surrounded by children's crayons and paper."
toy,"A small ceramic cat figurine toy resting on a bookshelf filled with colorful storybooks."
toy,"A rubber cat toy floating on a clear blue swimming pool surface, with reflections of sunlight."
toy,"A handcrafted wooden toy cat on a rustic outdoor picnic table with a forest background."
toy,"A metallic cat-shaped toy displayed on a futuristic glowing platform with a sci-fi backdrop."
toy,"A fluffy cat-shaped pillow toy placed on a modern grey sofa in a minimalist living room."
toy,"A toy cat made of Legos, displayed on a kid's playmat with scattered building blocks."
toy,"A porcelain toy cat sitting on a polished marble countertop in a bright kitchen with flowers in the background."
toy,"A knitted cat-shaped toy propped up on a rocking chair, next to a crackling fireplace."
toy,"A realistic rubber cat toy hiding in the grass in a sunny garden setting."
toy,"A futuristic robotic cat toy placed on a clean, white laboratory table with glowing blue accents."
toy,"A squishy cat-shaped stress toy on an office desk, next to a laptop and coffee cup."
toy,"A shiny glass cat toy placed under a spotlight in a museum exhibit with dark surroundings."
toy,"A cartoonish foam cat toy sitting on a bed covered in colorful patterned sheets."
toy,"A clay cat toy drying on a pottery wheel with an artisan's tools scattered around."
toy,"A traditional Japanese fabric cat doll displayed on a tatami mat with shoji screens in the background."
toy,"A neon-colored plastic cat toy glowing under black light in a fun arcade setting."
toy,"A small 3D-printed cat toy on a designer’s workbench surrounded by tools and material samples."
toy,"A soft silicone cat toy lying on a sandy beach with seashells and the ocean in the background."
