prompt,custom_prompt_A,custom_prompt_B,custom_prompt_C
{} dog in grand canyon, a dog, grand canyon, NA
{} dog sitting at the beach with a view of the sea, a dog, beach with a view of the sea, NA
{} dog in times square, a dog, times square, NA
{} dog wearing sunglasses, a dog, wearing sunglasses, NA
{} dog working on the laptop, a dog, working on the laptop, NA
{} dog on a boat in the sea, a dog, a boat in the sea, NA
{} dog wearing headphones, a dog, wearing headphones, NA
{} dog in a construction outfit, a dog, construction outfit, NA
{} dog on top of a mountain, a dog, on top of a mountain, NA
a koala in the style of {} dog, a dog, a koala, NA
a backpack in the style of {} dog, a dog, a backpack, NA
{} dog made of crochet, a dog, made of crochet, NA
a sweater in the style of {} dog, a dog, a sweater, NA
a photo of a {} dog in Van Gogh style, a dog, Van Gogh style, NA
